Quarter,Time,Tm,Detail,CLE,LAR
1.0,10:18,Browns,Jerome Ford 24 yard pass from Joe Flacco (Dustin Hopkins kick),7,0
,6:28,Rams,Lucas Havrisik 44 yard field goal,7,3
,3:59,Rams,Puka Nacua 70 yard pass from Matthew Stafford (Lucas Havrisik kick),7,10
2.0,2:06,Browns,Dustin Hopkins 40 yard field goal,10,10
,0:00,Rams,Lucas Havrisik 28 yard field goal,10,13
3.0,4:58,Browns,Dustin Hopkins 24 yard field goal,13,13
,0:39,Rams,Demarcus Robinson 7 yard pass from Matthew Stafford (Lucas Havrisik kick),13,20
4.0,8:49,Browns,Harrison Bryant 8 yard pass from Joe Flacco (Dustin Hopkins kick failed),19,20
,3:48,Rams,Cooper Kupp 3 yard pass from Matthew Stafford (Lucas Havrisik kick),19,27
,1:56,Rams,Kyren Williams 1 yard rush (Lucas Havrisik kick),19,34
,0:36,Rams,"Safety, Joe Flacco sacked in end zone by",19,36
