Unnamed: 0,CLE,LAR
First Downs,20,20
Rush-Yds-TDs,23-87-0,25-120-1
Cmp-Att-Yd-TD-INT,23-44-254-2-1,22-37-279-3-0
Sacked-Yards,2-14,0-0
Net Pass Yards,240,279
Total Yards,327,399
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,7-86,7-45
Third Down Conv.,7-16,4-12
Fourth Down Conv.,0-2,0-0
Time of Possession,34:03,25:57
