Quarter,Time,Down,ToGo,Location,CLE,LAR,Detail,EPB,EPA
1,2:19,4,9,CLE 49,7,10,"Corey Bojorquez punts 51 yards, touchback.",-0.130,-0.280
1,2:12,1,10,LAR 20,7,10,Matthew Stafford pass complete short right to Cooper Kupp for 5 yards (tackle by Mike Ford),0.280,0.410
1,1:33,2,5,LAR 25,7,10,Matthew Stafford pass incomplete deep middle intended for Tutu Atwell,0.410,-0.300
1,1:27,3,5,LAR 25,7,10,"Penalty on Dalvin Tomlinson: Defensive Offside, 5 yards (accepted) (no play)",-0.300,0.940
1,1:27,1,10,LAR 30,7,10,Kyren Williams left end for 1 yard (tackle by Jeremiah Owusu-Koramoah and Martin Emerson),0.940,0.530
1,0:54,2,9,LAR 31,7,10,"Matthew Stafford pass incomplete deep left intended for Tutu Atwell. Penalty on Martin Emerson: Defensive Pass Interference, 41 yards (accepted) (no play)",0.530,3.710
1,0:46,1,10,CLE 28,7,10,Matthew Stafford pass incomplete deep left intended for Puka Nacua,3.710,3.170
1,0:41,2,10,CLE 28,7,10,Matthew Stafford pass incomplete short left intended for Kyren Williams,3.170,2.480
1,0:36,3,10,CLE 28,7,10,Matthew Stafford pass complete short left to Puka Nacua for 3 yards (tackle by Martin Emerson),2.480,1.800
Quarter,Time,Down,ToGo,Location,CLE,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,7,CLE 25,7,10,Lucas Havrisik 43 yard field goal no good,1.800,-1.140
2,14:56,1,10,CLE 33,7,10,Jerome Ford left tackle for no gain (tackle by Ernest Jones and Larrell Murchison),1.140,0.590
2,14:14,2,10,CLE 33,7,10,Joe Flacco pass complete short right to Elijah Moore for 11 yards,0.590,1.860
2,13:33,1,10,CLE 44,7,10,Jerome Ford right end for -6 yards (tackle by Bobby Brown),1.860,0.510
2,12:53,2,16,CLE 38,7,10,Joe Flacco pass complete short middle to Cedric Tillman for 13 yards (tackle by John Johnson and Ernest Jones),0.510,1.550
2,12:12,3,3,LAR 49,7,10,Kareem Hunt right tackle for -1 yards (tackle by Byron Young and Ernest Jones),1.550,-0.060
2,11:33,4,4,LAR 50,7,10,"Corey Bojorquez punts 35 yards, fair catch by Austin Trammell at LA-15",-0.060,0.220
2,11:24,1,10,LAR 15,7,10,Royce Freeman left tackle for no gain (tackle by Ogbonnia Okoronkwo),-0.220,-0.710
2,10:41,2,10,LAR 15,7,10,Matthew Stafford pass complete short right to Cooper Kupp for 3 yards (tackle by Kahlef Hailassie),-0.710,-1.000
2,10:03,3,7,LAR 18,7,10,Matthew Stafford pass incomplete short right,-1.000,-2.240
2,9:57,4,7,LAR 18,7,10,"Ethan Evans punts 53 yards, returned by James Proche for 15 yards (tackle by Ben Skowronek)",-2.240,-1.860
2,9:48,1,10,CLE 44,7,10,Joe Flacco pass complete short right to Kareem Hunt for no gain (tackle by Ernest Jones and Keir Thomas),1.860,1.320
2,9:11,2,10,CLE 44,7,10,Joe Flacco pass complete short right to Amari Cooper for 6 yards (tackle by Ahkello Witherspoon),1.320,1.420
2,8:32,3,4,LAR 50,7,10,Joe Flacco pass incomplete short right intended for Amari Cooper,1.420,-0.060
2,8:28,4,4,LAR 50,7,10,"Corey Bojorquez punts 39 yards, fair catch by Austin Trammell at LA-11",-0.060,0.370
2,8:21,1,10,LAR 11,7,10,Matthew Stafford pass complete deep right to Puka Nacua for 20 yards (tackle by Mike Ford),-0.370,1.000
2,7:56,1,10,LAR 31,7,10,Kyren Williams up the middle for 2 yards (tackle by Martin Emerson and Dalvin Tomlinson),1.000,0.730
2,7:28,2,8,LAR 33,7,10,Matthew Stafford pass incomplete short right intended for Tyler Higbee,0.730,0.040
2,7:21,3,8,LAR 33,7,10,Matthew Stafford pass complete short left to Ben Skowronek for 6 yards (tackle by Juan Thornhill),0.040,-0.780
2,6:46,4,2,LAR 39,7,10,Ethan Evans punts 59 yards downed by Christian Rozeboom,-0.780,0.380
2,6:30,1,10,CLE 2,7,10,Kareem Hunt up the middle for 1 yard (tackle by Ernest Jones),-0.380,-0.710
2,5:49,2,9,CLE 3,7,10,Joe Flacco pass incomplete short left intended for Elijah Moore (defended by Derion Kendrick),-0.710,-1.300
2,5:44,3,9,CLE 3,7,10,Joe Flacco pass incomplete deep right intended for Elijah Moore,-1.300,-2.490
2,5:39,4,9,CLE 3,7,10,"Corey Bojorquez punts 49 yards, returned by Austin Trammell for no gain (tackle by Pierre Strong and D'Anthony Bell). Penalty on Tre'Vius Tomlinson: Offensive Holding, 10 yards (accepted) . Penalty on Keir Thomas: Offensive Holding, 10 yards (declined)",-2.490,-1.470
2,5:28,1,10,LAR 38,7,10,Kyren Williams left guard for 3 yards (tackle by Sione Takitaki and Martin Emerson),1.470,1.330
2,4:56,2,7,LAR 41,7,10,Matthew Stafford pass incomplete deep left,1.330,0.630
2,4:50,3,7,LAR 41,7,10,Matthew Stafford pass incomplete short right intended for Cooper Kupp,0.630,-0.650
2,4:47,4,7,LAR 41,7,10,"Ethan Evans punts 59 yards, touchback.",-0.650,-0.280
2,4:37,1,10,CLE 20,7,10,"Joe Flacco pass complete deep right to Elijah Moore for 42 yards (tackle by Derion Kendrick) LAR challenged the runner was in bounds ruling, and the play was upheld.",0.280,3.050
2,4:22,1,10,LAR 38,7,10,Joe Flacco pass incomplete deep right intended for Elijah Moore,3.050,2.510
2,4:15,2,10,LAR 38,7,10,Jerome Ford left tackle for 10 yards (tackle by John Johnson),2.510,3.710
2,3:25,1,10,LAR 28,7,10,"Joe Flacco pass complete short middle to David Njoku for no gain (tackle by Ernest Jones). Penalty on Derion Kendrick: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",3.710,4.040
2,3:15,1,10,LAR 23,7,10,Kareem Hunt left tackle for 1 yard (tackle by Ernest Jones and Kobie Turner),4.040,3.630
2,2:20,2,9,LAR 22,7,10,Joe Flacco pass incomplete short left,3.630,2.940
2,2:15,3,9,LAR 22,7,10,Joe Flacco pass incomplete deep middle intended for Elijah Moore,2.940,1.990
2,2:11,4,9,LAR 22,10,10,Dustin Hopkins 40 yard field goal good,1.990,3.000
2,2:06,,,CLE 35,10,10,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,2:06,1,10,LAR 25,10,10,Kyren Williams right guard for 2 yards (tackle by Ogbonnia Okoronkwo and Juan Thornhill),0.610,0.330
2,2:00,2,8,LAR 27,10,10,Matthew Stafford pass complete short left to Kyren Williams for 6 yards (tackle by Greg Newsome and Jeremiah Owusu-Koramoah),0.330,0.430
2,1:25,3,2,LAR 33,10,10,Matthew Stafford pass complete short right to Tyler Higbee for 14 yards (tackle by Anthony Walker and Jeremiah Owusu-Koramoah),0.430,2.060
2,1:03,1,10,LAR 47,10,10,Matthew Stafford pass incomplete short left intended for Cooper Kupp,2.060,1.520
2,0:58,2,10,LAR 47,10,10,Matthew Stafford pass complete short right to Ben Skowronek for 6 yards (tackle by Mike Ford),1.520,1.620
2,0:53,3,4,CLE 47,10,10,Matthew Stafford pass complete short left to Tyler Higbee for 21 yards (tackle by Juan Thornhill),1.620,3.840
2,0:45,1,10,CLE 26,10,10,Matthew Stafford pass complete short left to Cooper Kupp for 6 yards (tackle by Martin Emerson),3.840,4.110
2,0:42,2,4,CLE 20,10,10,Matthew Stafford pass incomplete deep right intended for Ben Skowronek,4.110,3.400
2,0:37,3,4,CLE 20,10,10,Kyren Williams right end for 8 yards (tackle by Mike Ford),3.400,4.780
2,0:32,1,10,CLE 12,10,10,Matthew Stafford pass incomplete short middle intended for Kyren Williams (defended by Anthony Walker),4.780,4.100
2,0:28,2,10,CLE 12,10,10,Matthew Stafford pass incomplete short right,4.100,3.120
2,0:25,,,,,,Timeout #1 by Cleveland Browns,,
2,0:25,3,10,CLE 12,10,10,Kyren Williams right tackle for 3 yards (tackle by Ogbonnia Okoronkwo),3.120,2.830
2,0:05,,,,,,Timeout #2 by Los Angeles Rams,,
2,0:05,4,7,CLE 9,10,13,Lucas Havrisik 28 yard field goal good,2.830,3.000
Quarter,Time,Down,ToGo,Location,CLE,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,10,13,"Dustin Hopkins kicks off 56 yards, returned by Austin Trammell for 8 yards (tackle by Kahlef Hailassie)",0.000,-0.060
3,14:55,1,10,LAR 17,10,13,Kyren Williams left end for 18 yards (tackle by Juan Thornhill and Kahlef Hailassie),-0.060,1.270
3,14:16,1,10,LAR 35,10,13,Kyren Williams right end for 3 yards (tackle by Sione Takitaki),1.270,1.130
3,13:36,2,7,LAR 38,10,13,Matthew Stafford pass complete short right to Kyren Williams for 4 yards (tackle by Kahlef Hailassie),1.130,0.960
3,12:49,3,3,LAR 42,10,13,Matthew Stafford pass incomplete deep left intended for Puka Nacua,0.960,-0.590
3,12:40,4,3,LAR 42,10,13,"Ethan Evans punts 58 yards, touchback.",-0.590,-0.280
3,12:32,1,10,CLE 20,10,13,Joe Flacco pass incomplete short left intended for Cedric Tillman,0.280,-0.270
3,12:29,2,10,CLE 20,10,13,Kareem Hunt up the middle for 7 yards (tackle by Ernest Jones and John Johnson),-0.270,-0.030
3,11:49,3,3,CLE 27,10,13,Joe Flacco pass complete short middle to David Njoku for 8 yards (tackle by Derion Kendrick and John Johnson),-0.030,1.270
3,11:07,1,10,CLE 35,10,13,Joe Flacco pass complete short right to Harrison Bryant for 9 yards (tackle by Jordan Fuller),1.270,1.940
3,10:29,2,1,CLE 44,10,13,Jerome Ford right tackle for 5 yards (tackle by Ernest Jones and Bobby Brown),1.940,2.190
3,9:40,1,10,CLE 49,10,13,"Joe Flacco pass complete short right to David Njoku for 26 yards (tackle by Russ Yeast and Jonah Williams) LAR challenged the runner was in bounds ruling, and the original play was overturned. Joe Flacco pass incomplete short right intended for David Njoku",2.190,1.650
3,9:34,2,10,CLE 49,10,13,Joe Flacco pass complete short left to David Bell for 6 yards (tackle by Christian Rozeboom),1.650,1.750
3,8:55,3,4,LAR 45,10,13,Joe Flacco pass complete short left to David Bell for 6 yards (tackle by Jordan Fuller),1.750,2.980
3,8:09,1,10,LAR 39,10,13,Joe Flacco pass complete short left to David Njoku for 9 yards (tackle by Ernest Jones),2.980,3.660
3,7:29,2,1,LAR 30,10,13,Kareem Hunt left guard for 4 yards (tackle by Ernest Jones and John Johnson),3.660,3.840
3,6:52,1,10,LAR 26,10,13,"Joe Flacco pass complete deep right to Elijah Moore for no gain (tackle by Derion Kendrick). Penalty on Cedric Tillman: Illegal Formation, 5 yards (accepted) (no play)",3.840,3.510
3,6:40,1,15,LAR 31,10,13,Joe Flacco pass complete deep right to Elijah Moore for 22 yards (tackle by Jordan Fuller),3.510,5.140
3,5:58,1,9,LAR 9,10,13,Jerome Ford up the middle for 3 yards (tackle by Jonah Williams and Aaron Donald),5.140,4.950
3,5:13,2,6,LAR 6,10,13,Joe Flacco pass incomplete short left intended for Elijah Moore,4.950,4.040
3,5:06,3,6,LAR 6,10,13,"Joe Flacco pass incomplete short right intended for David Njoku (defended by Ahkello Witherspoon). Penalty on David Njoku: Offensive Pass Interference, 10 yards (declined)",4.040,2.990
3,5:02,4,6,LAR 6,13,13,Dustin Hopkins 24 yard field goal good,2.990,3.000
3,4:58,,,CLE 35,13,13,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,4:58,1,10,LAR 25,13,13,Matthew Stafford pass complete short right to Cooper Kupp for 9 yards (tackle by Grant Delpit),0.610,1.280
3,4:19,2,1,LAR 34,13,13,Kyren Williams left end for 10 yards (tackle by Grant Delpit and Jeremiah Owusu-Koramoah),1.280,1.860
3,3:44,1,10,LAR 44,13,13,"Penalty on Puka Nacua: False Start, 5 yards (accepted) (no play)",1.860,1.530
3,3:20,1,15,LAR 39,13,13,Puka Nacua right end for 31 yards (tackle by Juan Thornhill),1.530,3.580
3,2:37,1,10,CLE 30,13,13,"Penalty on Coleman Shelton: False Start, 5 yards (accepted) (no play)",3.580,3.250
3,2:37,1,15,CLE 35,13,13,Matthew Stafford pass incomplete short left intended for Tyler Higbee (defended by Martin Emerson),3.250,2.360
3,2:06,2,15,CLE 35,13,13,"Penalty on Cooper Kupp: False Start, 5 yards (accepted) (no play)",2.360,1.680
3,2:06,2,20,CLE 40,13,13,Matthew Stafford pass complete deep right to Demarcus Robinson for 30 yards (tackle by Juan Thornhill),1.680,4.910
3,1:32,1,10,CLE 10,13,13,Kyren Williams up the middle for 3 yards (tackle by Juan Thornhill and Za'Darius Smith),4.910,4.760
3,0:45,2,7,CLE 7,13,19,"Matthew Stafford pass complete short right to Demarcus Robinson for 7 yards, touchdown",4.760,7.000
3,0:39,,,CLE 15,13,20,Lucas Havrisik kicks extra point good,0.000,0.000
3,0:39,,,LAR 35,13,20,"Ethan Evans kicks off 65 yards, touchback.",0.000,0.610
3,0:39,1,10,CLE 25,13,20,Joe Flacco pass incomplete deep right intended for David Njoku,0.610,0.060
3,0:31,2,10,CLE 25,13,20,Joe Flacco pass complete short right to Jordan Akins for 6 yards (tackle by Christian Rozeboom),0.060,0.170
Quarter,Time,Down,ToGo,Location,CLE,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,4,CLE 31,13,20,Kareem Hunt up the middle for 5 yards (tackle by Byron Young),0.170,1.330
4,14:20,1,10,CLE 36,13,20,Joe Flacco pass incomplete deep left,1.330,0.790
4,14:15,2,10,CLE 36,13,20,Joe Flacco pass complete short right to Elijah Moore for 8 yards (tackle by Ahkello Witherspoon),0.790,1.160
4,13:38,3,2,CLE 44,13,20,Kareem Hunt right guard for 6 yards (tackle by Bobby Brown),1.160,2.260
4,12:54,1,10,LAR 50,13,20,Joe Flacco pass complete short left to Cedric Tillman for 7 yards (tackle by Russ Yeast and Byron Young),2.260,2.660
4,12:09,2,3,LAR 43,13,20,Pierre Strong left tackle for 7 yards (tackle by Jordan Fuller),2.660,3.180
4,11:43,1,10,LAR 36,13,20,Joe Flacco pass complete short left to Harrison Bryant for 4 yards (tackle by Troy Reeder),3.180,3.180
4,11:02,2,6,LAR 32,13,20,Joe Flacco pass complete short right to Harrison Bryant for 5 yards (tackle by Ernest Jones and Kobie Turner),3.180,3.140
4,10:24,3,1,LAR 27,13,20,Kareem Hunt right guard for 6 yards (tackle by Ahkello Witherspoon),3.140,4.170
4,9:43,1,10,LAR 21,13,20,Pierre Strong right tackle for 13 yards (tackle by Keir Thomas),4.170,5.370
4,8:56,1,8,LAR 8,19,20,"Joe Flacco pass complete short left to Harrison Bryant for 8 yards, touchdown",5.370,7.000
4,8:49,,,LAR 15,19,20,Dustin Hopkins kicks extra point no good,0.000,-1.000
4,8:49,,,CLE 35,19,20,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
4,8:49,1,10,LAR 25,19,20,"Puka Nacua right end for 3 yards (tackle by Grant Delpit). Penalty on Demarcus Robinson: Offensive Holding, 10 yards (accepted)",0.610,-0.010
4,8:21,1,17,LAR 18,19,20,Kyren Williams right end for -2 yards (tackle by Kahlef Hailassie),-0.010,-1.290
4,7:50,2,19,LAR 16,19,20,"Matthew Stafford pass incomplete deep right intended for Demarcus Robinson. Penalty on Rob Havenstein: Offensive Holding, 10 yards (declined)",-1.290,-2.140
4,7:41,3,19,LAR 16,19,20,Matthew Stafford pass complete short middle to Kyren Williams for 14 yards (tackle by Greg Newsome and Grant Delpit),-2.140,-1.370
4,7:02,4,5,LAR 30,19,20,"Ethan Evans punts 64 yards, returned by James Proche for 15 yards (tackle by Tre'Vius Tomlinson and Hunter Long)",-1.370,-0.340
4,6:51,1,10,CLE 21,19,20,Joe Flacco pass deep right intended for Elijah Moore is intercepted by John Johnson at LA-34 and returned for 42 yards (tackle by Geron Christian and Wyatt Teller),0.340,-3.970
4,6:32,1,10,CLE 24,19,20,Kyren Williams left tackle for 3 yards (tackle by Shelby Harris),3.970,3.840
4,5:56,2,7,CLE 21,19,20,Matthew Stafford pass complete short right to Cooper Kupp for 13 yards (tackle by Jeremiah Owusu-Koramoah),3.840,5.370
4,5:21,1,8,CLE 8,19,20,Kyren Williams up the middle for 3 yards (tackle by Jeremiah Owusu-Koramoah and Sione Takitaki),5.370,5.150
4,4:42,2,5,CLE 5,19,20,Kyren Williams left end for 2 yards (tackle by Martin Emerson and Sione Takitaki),5.150,4.720
4,3:51,3,3,CLE 3,19,26,"Matthew Stafford pass complete short right to Cooper Kupp for 3 yards, touchdown",4.720,7.000
4,3:48,,,CLE 15,19,27,Lucas Havrisik kicks extra point good,0.000,0.000
4,3:48,,,LAR 35,19,27,"Ethan Evans kicks off 65 yards, touchback.",0.000,0.610
4,3:48,1,10,CLE 25,19,27,Jerome Ford up the middle for 7 yards (tackle by Ernest Jones and Jordan Fuller),0.610,1.010
4,3:16,2,3,CLE 32,19,27,Jerome Ford right tackle for 2 yards (tackle by Kobie Turner and Aaron Donald),1.010,0.560
4,2:39,3,1,CLE 34,19,27,"Penalty on Ethan Pocic: False Start, 4 yards (accepted) (no play)",0.560,0.040
4,2:39,3,5,CLE 30,19,27,Joe Flacco pass incomplete short right intended for Elijah Moore,0.040,-1.370
4,2:36,4,5,CLE 30,19,27,Joe Flacco pass incomplete short middle intended for David Njoku (defended by Russ Yeast),-1.370,-3.580
4,2:29,1,10,CLE 30,19,27,"Matthew Stafford pass complete short right to Demarcus Robinson for 15 yards CLE challenged the runner was in bounds ruling, and the play was upheld.",3.580,4.580
4,2:23,1,10,CLE 15,19,27,Kyren Williams right guard for 7 yards (tackle by Jordan Elliott),4.580,5.220
4,2:17,,,,,,Timeout #2 by Cleveland Browns,,
4,2:17,2,3,CLE 8,19,27,Kyren Williams left guard for 5 yards (tackle by Anthony Walker),5.220,6.510
4,2:10,,,,,,Timeout #3 by Cleveland Browns,,
4,2:10,1,3,CLE 3,19,27,"Kyren Williams right tackle for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Kyren Williams right tackle for 2 yards (tackle by Greg Newsome)",6.510,5.910
4,2:00,2,1,CLE 1,19,33,"Kyren Williams up the middle for 1 yard, touchdown",5.910,7.000
4,1:56,,,CLE 15,19,34,Lucas Havrisik kicks extra point good,0.000,0.000
4,1:56,,,LAR 35,19,34,"Ethan Evans kicks off 65 yards, touchback.",0.000,0.610
4,1:56,1,10,CLE 25,19,34,"Joe Flacco pass incomplete short left. Penalty on Joe Flacco: Intentional Grounding, 11 yards (accepted)",0.610,-1.540
4,1:37,2,21,CLE 14,19,34,Joe Flacco pass incomplete short right intended for Elijah Moore,-1.540,-2.550
4,1:28,3,21,CLE 14,19,34,Joe Flacco sacked by Kobie Turner for -13 yards,-2.550,-2.490
4,0:43,4,34,CLE 1,19,36,Joe Flacco sacked by and Aaron Donald for -1 yards and Kobie Turner for -1 yards,-2.490,-2.000
4,0:36,,,CLE 20,19,36,"Corey Bojorquez kicks off 64 yards,",0.000,0.610
4,0:36,1,10,LAR 25,19,36,Matthew Stafford kneels for -2 yards,0.610,-0.210
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
