Quarter,Time,Down,ToGo,Location,IND,MIN,Detail,EPB,EPA
2,12:40,2,10,IND 48,0,6,Peyton Manning pass complete short middle to Anthony Gonzalez for 10 yards (tackle by Cedric Griffin),1.580,2.790
2,11:58,1,10,MIN 42,0,6,Peyton Manning pass incomplete short left intended for Anthony Gonzalez,2.790,2.240
2,11:54,2,10,MIN 42,0,6,Peyton Manning pass complete short left to Dominic Rhodes for 5 yards (tackle by Chad Greenway and Cedric Griffin),2.240,2.210
2,11:10,3,5,MIN 37,0,6,Peyton Manning sacked by Jared Allen for -5 yards,2.210,0.460
2,10:47,4,10,MIN 42,0,6,"Hunter Smith punts 31 yards, fair catch by Charles Gordon",0.460,0.370
2,10:37,1,10,MIN 11,0,6,Adrian Peterson right guard for 7 yards (tackle by Freddy Keiaho and Bob Sanders),-0.370,0.000
2,10:02,2,3,MIN 18,0,6,Adrian Peterson for 4 yards (tackle by Clint Session),0.000,0.410
2,9:24,1,10,MIN 22,0,6,Adrian Peterson left tackle for 23 yards (tackle by Antoine Bethea and Robert Mathis),0.410,1.930
2,8:39,1,10,MIN 45,0,6,Aundrae Allison left end for 1 yard (tackle by Kelvin Hayden),1.930,1.520
2,8:12,2,9,MIN 46,0,6,Chester Taylor for 4 yards (tackle by Dwight Freeney and Gary Brackett),1.520,1.360
2,7:27,3,5,,0,6,"Tarvaris Jackson pass incomplete short right intended for Sidney Rice. Penalty on Freddy Keiaho: Illegal Contact, 5 yards (no play)",1.360,2.590
2,7:20,1,10,IND 45,0,6,Adrian Peterson for 5 yards (tackle by Raheem Brock),2.590,2.720
2,6:44,2,5,IND 40,0,6,Tarvaris Jackson left guard for 1 yard (tackle by Robert Mathis),2.720,2.150
2,6:00,3,4,IND 39,0,6,Tarvaris Jackson left end for -1 yards (tackle by Tim Jennings),2.150,0.590
2,5:36,4,5,IND 40,0,6,Chris Kluwe punts 37 yards,0.590,0.380
2,5:23,1,10,IND 3,0,6,Joseph Addai right guard for 6 yards (tackle by Ray Edwards),-0.380,-0.340
2,4:53,2,4,IND 9,0,6,Peyton Manning pass incomplete deep left intended for Reggie Wayne (defended by Cedric Griffin),-0.340,-0.720
2,4:45,3,4,IND 9,0,6,Peyton Manning pass complete short right to Tom Santi for 5 yards (tackle by Ben Leber and E.J. Henderson),-0.720,-0.280
2,4:03,1,10,IND 14,0,6,"Peyton Manning pass complete short right to Joseph Addai for 2 yards (tackle by E.J. Henderson). Penalty on Ryan Diem: Ineligible Downfield Pass, 5 yards (no play)",-0.280,-0.570
2,3:36,1,15,IND 9,0,6,Joseph Addai left tackle for 2 yards (tackle by Darren Sharper),-0.570,-1.000
2,3:00,2,13,IND 11,0,6,Peyton Manning pass complete short right to Gijon Robinson for 3 yards (tackle by Darren Sharper),-1.000,-1.400
2,2:36,3,10,IND 14,0,6,Peyton Manning pass incomplete short right intended for Marvin Harrison (defended by Antoine Winfield),-1.400,-2.470
2,2:31,4,10,IND 14,0,6,"Hunter Smith punts 47 yards, returned by Charles Gordon for 9 yards (tackle by Clint Session)",-2.470,-2.130
2,2:21,1,10,MIN 48,0,6,Adrian Peterson left guard for 2 yards (tackle by Keyunta Dawson and Bob Sanders),2.130,1.850
2,2:00,2,8,,0,6,Adrian Peterson left end for 5 yards (tackle by Gary Brackett and Freddy Keiaho),1.850,1.820
2,1:21,2,8,,0,6,Timeout #1 by Minnesota Vikings,1.850,1.820
2,1:21,3,3,IND 45,0,6,Tarvaris Jackson pass incomplete short middle intended for Bernard Berrian,1.820,0.270
2,1:17,4,3,IND 45,0,6,"Chris Kluwe punts 45 yards, touchback. Penalty on Aundrae Allison: Illegal Touch Kick",0.270,-0.280
2,1:08,1,10,IND 20,0,6,Peyton Manning pass complete short middle to Tom Santi for 8 yards (tackle by Chad Greenway),0.280,0.810
2,0:54,2,2,IND 28,0,6,Peyton Manning pass complete short middle to Anthony Gonzalez for 6 yards (tackle by Charles Gordon),0.810,1.200
2,0:46,2,2,IND 28,0,6,Timeout #1 by Indianapolis Colts,0.810,1.200
2,0:46,1,10,IND 34,0,6,Peyton Manning pass incomplete short middle intended for Tom Santi,1.200,0.660
2,0:40,2,10,IND 34,0,6,Peyton Manning pass incomplete short middle intended for Dominic Rhodes,0.660,-0.030
2,0:35,3,10,IND 34,0,6,Peyton Manning pass incomplete short left intended for Tom Santi,-0.030,-1.110
2,0:31,4,10,IND 34,0,6,"Hunter Smith punts 46 yards, out of bounds",-1.110,-0.280
2,0:21,1,10,MIN 20,0,6,Tarvaris Jackson pass complete deep middle to Visanthe Shiancoe for 23 yards (tackle by Kelvin Hayden),0.280,1.800
2,0:15,1,10,MIN 20,0,6,Timeout #2 by Minnesota Vikings,0.280,1.800
2,0:15,1,10,MIN 43,0,6,Tarvaris Jackson pass complete deep middle to Bobby Wade for 22 yards (tackle by Antoine Bethea),1.800,3.250
2,0:05,1,10,MIN 43,0,6,Timeout #3 by Minnesota Vikings,1.800,3.250
2,0:05,1,10,IND 35,0,9,Ryan Longwell 53 yard field goal good,3.250,3.000
Quarter,Time,Down,ToGo,Location,IND,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 30,0,9,"Adam Vinatieri kicks off 69 yards, returned by Chester Taylor for 37 yards (tackle by Philip Wheeler)",0.000,1.470
3,14:52,1,10,MIN 38,0,9,Tarvaris Jackson pass complete short right to Jim Kleinsasser for 12 yards (tackle by Antoine Bethea),1.470,2.260
3,14:16,1,10,,0,9,Adrian Peterson left tackle for 4 yards (tackle by Keyunta Dawson and Robert Mathis),2.260,2.250
3,13:41,2,6,IND 46,0,9,Adrian Peterson right end for no gain (tackle by Gary Brackett),2.250,1.550
3,13:10,3,6,IND 46,0,9,Tarvaris Jackson pass complete short middle to Aundrae Allison for 21 yards (tackle by Antoine Bethea),1.550,3.910
3,12:28,1,10,IND 25,0,9,Adrian Peterson left guard for 4 yards (tackle by Darrell Reid and LaJuan Ramsey),3.910,3.900
3,11:47,2,6,IND 21,0,9,Tarvaris Jackson sacked by Darrell Reid for -5 yards,3.900,2.540
3,11:19,3,11,IND 26,0,9,Tarvaris Jackson pass complete short middle to Chester Taylor for -2 yards (tackle by Marlin Jackson),2.540,1.590
3,10:44,4,13,IND 28,0,12,Ryan Longwell 46 yard field goal good,1.590,3.000
3,10:44,,,MIN 30,0,12,"Ryan Longwell kicks off 71 yards, returned by Justin Forsett for 16 yards (tackle by Vinny Ciurciu)",0.000,-0.220
3,10:34,1,10,IND 15,0,12,Peyton Manning pass complete short right to Joseph Addai for 14 yards (tackle by Tyrell Johnson),-0.220,0.870
3,9:59,1,10,IND 29,0,12,Peyton Manning pass complete short middle to Joseph Addai for -1 yards (tackle by Chad Greenway),0.870,0.190
3,9:15,2,11,IND 28,0,12,Peyton Manning sacked by E.J. Henderson for -10 yards,0.190,-2.040
3,8:41,3,21,IND 18,0,12,Peyton Manning pass complete short right to Tom Santi for 13 yards (tackle by Antoine Winfield),-2.040,-1.310
3,8:05,4,8,IND 31,0,12,"Hunter Smith punts 51 yards, muffed catch by Aundrae Allison, recovered by Aundrae Allison and returned for no gain. Penalty on Buster Davis: Illegal Formation, 5 yards (no play)",-1.310,-1.630
3,7:52,4,13,IND 26,0,12,"Hunter Smith punts 47 yards, returned by Aundrae Allison for 27 yards (tackle by Philip Wheeler)",-1.630,-2.520
3,7:40,1,10,IND 46,0,12,Tarvaris Jackson pass complete short middle to Adrian Peterson for 13 yards (tackle by Bob Sanders),2.520,3.380
3,7:00,1,10,IND 33,0,12,Adrian Peterson for 4 yards (tackle by Clint Session),3.380,3.380
3,6:24,2,6,IND 29,0,12,Tarvaris Jackson pass incomplete short right intended for Sidney Rice,3.380,2.680
3,6:19,3,6,IND 29,0,12,Tarvaris Jackson pass complete short right to Aundrae Allison for 16 yards (tackle by Kelvin Hayden and Gary Brackett),2.680,4.710
3,5:32,1,10,IND 13,0,12,Adrian Peterson left guard for no gain (tackle by Gary Brackett),4.710,4.050
3,4:57,2,10,IND 13,0,12,Tarvaris Jackson pass complete short right to Naufahu Tahi for 3 yards (tackle by Freddy Keiaho),4.050,3.650
3,4:18,3,7,IND 10,0,12,Tarvaris Jackson pass incomplete short middle intended for Chester Taylor,3.650,2.760
3,4:13,4,7,IND 10,0,15,Ryan Longwell 28 yard field goal good,2.760,3.000
3,4:13,,,MIN 30,0,15,"Ryan Longwell kicks off 74 yards, touchback",0.000,0.280
3,4:09,1,10,IND 20,0,15,Dominic Rhodes for 4 yards (tackle by Pat Williams),0.280,0.270
3,3:37,2,6,IND 24,0,15,Peyton Manning pass incomplete short middle intended for Marvin Harrison (defended by Kevin Williams),0.270,-0.430
3,3:31,3,6,IND 24,0,15,"Peyton Manning pass complete deep left to Anthony Gonzalez for 58 yards, lateral to Reggie Wayne for 17 yards (tackle by Antoine Winfield)",-0.430,6.970
3,2:56,1,1,MIN 1,0,15,Peyton Manning for no gain,6.970,5.910
3,2:17,2,1,MIN 1,0,15,Peyton Manning for no gain,5.910,5.170
3,1:29,3,1,MIN 1,6,15,"Joseph Addai left guard for 1 yard, touchdown",5.170,7.000
3,1:29,,,MIN 2,7,15,Adam Vinatieri kicks extra point good,0.000,0.000
3,1:29,,,IND 30,7,15,"Adam Vinatieri kicks off 71 yards, returned by Chester Taylor for 35 yards (tackle by Adam Vinatieri)",0.000,1.200
3,1:16,1,10,MIN 34,7,15,Adrian Peterson for -1 yards (tackle by Freddy Keiaho),1.200,0.520
3,0:47,2,11,MIN 33,7,15,"Tarvaris Jackson sacked by Dwight Freeney for -7 yards. Tarvaris Jackson fumbles (forced by Dwight Freeney), recovered by Keyunta Dawson at MIN-28",0.520,-3.710
3,0:38,1,10,MIN 28,7,15,Peyton Manning pass complete short middle to Marvin Harrison for 16 yards (tackle by E.J. Henderson),3.710,4.780
3,0:05,1,10,MIN 12,7,15,Joseph Addai left guard for no gain (tackle by Pat Williams),4.780,4.100
Quarter,Time,Down,ToGo,Location,IND,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,MIN 12,7,15,Peyton Manning pass incomplete short left intended for Joseph Addai,4.100,3.120
4,14:56,3,10,MIN 12,7,15,Peyton Manning pass incomplete short middle intended for Tom Santi,3.120,2.630
4,14:51,4,10,MIN 12,7,15,Adam Vinatieri 30 yard field goal no good,2.630,-0.340
4,14:47,1,10,MIN 21,7,15,Adrian Peterson left tackle for 2 yards (tackle by Clint Session),0.340,0.070
4,14:09,2,8,MIN 23,7,15,Tarvaris Jackson pass complete short right to Bobby Wade for 9 yards (tackle by Kelvin Hayden),0.070,1.070
4,13:34,1,10,MIN 32,7,15,Tarvaris Jackson pass incomplete deep right intended for Bobby Wade,1.070,0.530
4,13:26,2,10,MIN 32,7,15,Adrian Peterson left tackle for 2 yards (tackle by Robert Mathis and Keyunta Dawson),0.530,0.100
4,12:42,3,8,MIN 34,7,15,Tarvaris Jackson pass incomplete short right intended for Aundrae Allison,0.100,-1.110
4,12:36,4,8,MIN 34,7,15,"Chris Kluwe punts 46 yards, out of bounds",-1.110,-0.280
4,12:27,1,10,IND 20,7,15,Peyton Manning pass complete short left to Anthony Gonzalez for 10 yards (tackle by Cedric Griffin),0.280,0.940
4,11:48,1,10,IND 30,7,15,Peyton Manning pass complete short right to Reggie Wayne for 3 yards (tackle by Charles Gordon),0.940,0.800
4,11:12,2,7,IND 33,7,15,Dominic Rhodes for 1 yard (tackle by Fred Evans and Ray Edwards),0.800,0.230
4,10:37,3,6,IND 34,7,15,Peyton Manning pass incomplete short middle intended for Reggie Wayne is intercepted by Charles Gordon at IND-47,0.230,-2.460
4,10:30,1,10,IND 47,7,15,Adrian Peterson for 4 yards (tackle by Dwight Freeney),2.460,2.450
4,9:55,2,6,IND 43,7,15,Adrian Peterson right end for 7 yards (tackle by Freddy Keiaho),2.450,3.180
4,9:20,1,10,IND 36,7,15,Adrian Peterson right guard for -3 yards (tackle by Eric Foster),3.180,2.230
4,8:36,2,13,IND 39,7,15,Adrian Peterson right guard for 8 yards (tackle by Melvin Bullitt and Clint Session),2.230,2.610
4,7:55,3,5,IND 31,7,15,Chester Taylor right guard for 1 yard (tackle by Gary Brackett),2.610,1.460
4,7:15,4,4,IND 30,7,15,Ryan Longwell 48 yard field goal no good,1.460,-1.530
4,7:09,1,10,IND 39,7,15,Peyton Manning pass complete deep left to Reggie Wayne for 17 yards (tackle by Cedric Griffin),1.530,2.650
4,6:37,1,10,MIN 44,7,15,Peyton Manning pass complete short left to Gijon Robinson for 12 yards (tackle by Tyrell Johnson),2.650,3.450
4,6:01,1,10,MIN 32,13,15,"Peyton Manning pass complete deep middle to Reggie Wayne for 32 yards, touchdown",3.450,7.000
4,6:01,,,,15,15,"Two Point Attempt: Dominic Rhodes right guard, conversion succeeds",1.000,1.000
4,6:01,,,IND 30,15,15,"Adam Vinatieri kicks off 71 yards, returned by Chester Taylor for 21 yards (tackle by Melvin Bullitt)",0.000,0.280
4,5:47,1,10,MIN 20,15,15,Tarvaris Jackson pass complete short right to Bobby Wade for 11 yards (tackle by Kelvin Hayden),0.280,1.000
4,5:14,1,10,MIN 31,15,15,Adrian Peterson for 4 yards (tackle by Freddy Keiaho and Gary Brackett),1.000,1.000
4,4:36,2,6,MIN 35,15,15,Tarvaris Jackson pass incomplete short right intended for Bobby Wade (defended by Kelvin Hayden),1.000,0.300
4,4:30,3,6,MIN 35,15,15,Tarvaris Jackson pass incomplete deep right intended for Bernard Berrian,0.300,-1.040
4,4:21,4,6,MIN 35,15,15,"Chris Kluwe punts 43 yards, returned by Justin Forsett for 5 yards (tackle by Ben Leber). Penalty on Bernard Berrian: Illegal Substitution, 5 yards",-1.040,-1.070
4,4:11,1,10,IND 32,15,15,Joseph Addai left end for 7 yards (tackle by Tyrell Johnson),1.070,1.470
4,4:05,2,3,IND 39,15,15,Joseph Addai right guard for 6 yards (tackle by Tyrell Johnson and Jared Allen),1.470,1.930
4,3:31,1,10,IND 45,15,15,Peyton Manning pass complete short left to Anthony Gonzalez for 7 yards (tackle by Cedric Griffin),1.930,2.330
4,3:31,2,3,MIN 48,15,15,Peyton Manning pass complete short middle to Anthony Gonzalez for 7 yards (tackle by Tyrell Johnson),2.330,2.850
4,3:31,1,10,MIN 41,15,15,Joseph Addai left end for 1 yard,2.850,2.440
4,2:00,2,9,MIN 40,15,15,Peyton Manning pass incomplete deep middle intended for Anthony Gonzalez,2.440,1.750
4,1:56,3,9,MIN 40,15,15,Peyton Manning pass incomplete short middle intended for Anthony Gonzalez (defended by Darren Sharper),1.750,0.590
4,1:51,4,9,MIN 40,15,15,"Hunter Smith punts 38 yards, touchback",0.590,0.380
4,1:42,1,10,MIN 2,15,15,Adrian Peterson for 1 yard,-0.380,-0.710
4,1:37,1,10,MIN 2,15,15,Timeout #1 by Indianapolis Colts,-0.380,-0.710
4,1:37,2,9,MIN 3,15,15,Adrian Peterson left guard for 6 yards (tackle by Freddy Keiaho),-0.710,-0.600
4,1:30,2,9,MIN 3,15,15,Timeout #2 by Indianapolis Colts,-0.710,-0.600
4,1:30,3,3,MIN 9,15,15,Tarvaris Jackson pass complete short right to Naufahu Tahi for -5 yards (tackle by Melvin Bullitt),-0.600,-2.490
4,1:20,3,3,MIN 9,15,15,Timeout #3 by Indianapolis Colts,-0.600,-2.490
4,1:20,4,8,MIN 4,15,15,"Chris Kluwe punts 56 yards, returned by Justin Forsett for 25 yards (tackle by Cullen Loeffler). Penalty on Darrell Reid: Unnecessary Roughness, 15 yards",-2.490,-2.260
4,1:07,1,10,,15,15,Joseph Addai for 1 yard (tackle by Kevin Williams),2.260,1.850
4,0:37,2,9,MIN 49,15,15,Peyton Manning pass incomplete short right intended for Gijon Robinson,1.850,1.160
4,0:34,3,9,MIN 49,15,15,Peyton Manning pass complete deep middle to Reggie Wayne for 20 yards (tackle by Charles Gordon),1.160,3.640
4,0:09,1,10,MIN 29,15,15,Peyton Manning spiked the ball,3.640,3.100
4,0:08,2,10,MIN 29,18,15,Adam Vinatieri 47 yard field goal good,3.100,3.000
4,0:08,,,IND 30,18,15,"Adam Vinatieri kicks off 40 yards, muffed catch by Jim Kleinsasser, recovered by Aundrae Allison and returned for no gain",0.000,0.940
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
