Quarter,Time,Tm,Detail,IND,MIN
1.0,10:10,Vikings,Ryan Longwell 45 yard field goal,0,3
,0:09,Vikings,Ryan Longwell 27 yard field goal,0,6
2.0,0:00,Vikings,Ryan Longwell 53 yard field goal,0,9
3.0,10:38,Vikings,Ryan Longwell 46 yard field goal,0,12
,4:09,Vikings,Ryan Longwell 28 yard field goal,0,15
,1:24,Colts,Joseph Addai 1 yard rush (Adam Vinatieri kick),7,15
4.0,5:54,Colts,Reggie Wayne 32 yard pass from Peyton Manning (Dominic Rhodes run),15,15
,0:03,Colts,Adam Vinatieri 47 yard field goal,18,15
