Unnamed: 0,MIA,PIT
First Downs,15,20
Rush-Yds-TDs,18-38-2,38-146-0
Cmp-Att-Yd-TD-INT,18-37-262-0-2,15-25-209-3-0
Sacked-Yards,3-22,3-13
Net Pass Yards,240,196
Total Yards,278,342
Fumbles-Lost,1-0,1-1
Turnovers,2,1
Penalties-Yards,6-63,1-10
Third Down Conv.,5-13,7-15
Fourth Down Conv.,0-1,1-1
Time of Possession,24:33,35:27
