Unnamed: 0,DET,SFO
First Downs,16,13
Rush-Yds-TDs,31-114-0,32-84-1
Cmp-Att-Yd-TD-INT,18-33-181-0-3,20-31-230-1-0
Sacked-Yards,2-6,1-4
Net Pass Yards,175,226
Total Yards,289,310
Fumbles-Lost,3-3,1-1
Turnovers,6,1
Penalties-Yards,1-10,4-29
Third Down Conv.,2-12,5-17
Fourth Down Conv.,0-1,1-2
Time of Possession,29:22,30:38
