Quarter,Time,Down,ToGo,Location,DET,SFO,Detail,EPB,EPA
1,7:11,3,8,SFO 8,0,0,Drew Stanton pass incomplete short middle intended for Calvin Johnson (defended by Dre' Bly),3.580,2.950
1,7:11,4,8,SFO 8,3,0,Jason Hanson 27 yard field goal good,2.950,3.000
1,,,,DET 30,3,0,"Jason Hanson kicks off 64 yards, returned by Josh Morgan for 6 yards (tackle by Marvin White)",0.000,-0.350
1,6:54,1,10,SFO 12,3,0,Alex Smith sacked by Jason Hunter for -4 yards,-0.350,-1.070
1,6:19,2,14,SFO 8,3,0,Frank Gore right guard for 1 yard (tackle by Sammie Lee Hill),-1.070,-1.770
1,5:33,3,13,SFO 9,3,0,Frank Gore middle for -5 yards (tackle by Landon Cohen),-1.770,-2.490
1,5:01,4,18,SFO 4,3,0,"Andy Lee punts 57 yards, returned by Brian Witherspoon for 9 yards (tackle by Marcus Hudson)",-2.490,-2.130
1,4:50,1,10,DET 48,3,0,Maurice Morris left end for 3 yards (tackle by Shawntae Spencer),2.130,1.990
1,4:14,2,7,SFO 49,3,0,Derrick Williams left end for 4 yards (tackle by Patrick Willis and Dashon Goldson),1.990,1.820
1,3:35,3,3,SFO 45,3,0,Drew Stanton pass incomplete short right intended for Will Heller (defended by Manny Lawson),1.820,0.270
1,3:28,4,3,SFO 45,3,0,Nick Harris punts 23 yards,0.270,-0.410
1,3:19,1,10,SFO 22,3,0,Frank Gore right tackle for 14 yards (tackle by Cliff Avril),0.410,1.330
1,2:40,1,10,SFO 36,3,0,Alex Smith pass complete deep middle to Michael Crabtree for 50 yards (tackle by Will Peterson),1.330,4.650
1,1:50,1,10,DET 14,3,0,Frank Gore right guard for -1 yards (tackle by Ernie Sims),4.650,3.850
1,1:06,2,11,DET 15,3,0,Alex Smith pass incomplete short middle intended for Delanie Walker,3.850,3.060
1,1:02,3,11,DET 15,3,0,Alex Smith pass incomplete short right intended for Jason Hill,3.060,2.440
1,0:57,4,11,DET 15,3,3,Ricky Schmitt 33 yard field goal good,2.440,3.000
1,,,,SFO 30,3,3,"Ricky Schmitt kicks off 70 yards, returned by Brian Witherspoon for 31 yards (tackle by Reggie Smith)",0.000,1.000
1,0:47,1,10,DET 31,3,3,Drew Stanton pass complete short left to Calvin Johnson for 9 yards (tackle by Dre' Bly),1.000,1.680
1,0:08,2,1,DET 40,3,3,Maurice Morris middle for 6 yards (tackle by Takeo Spikes),1.680,1.990
Quarter,Time,Down,ToGo,Location,DET,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DET 46,3,3,Maurice Morris right end for -4 yards (tackle by Takeo Spikes),1.990,0.910
2,14:24,2,14,DET 42,3,3,Drew Stanton pass complete short left to Maurice Morris for 14 yards (tackle by Patrick Willis),0.910,2.650
2,13:37,1,10,SFO 44,3,3,"Drew Stanton sacked by Ahmad Brooks for -8 yards. Drew Stanton fumbles (forced by Ahmad Brooks), recovered by Takeo Spikes at SFO-47 (tackle by Jeff Backus)",2.650,-2.060
2,13:29,1,10,SFO 47,3,3,Frank Gore middle for 6 yards (tackle by Marvin White),2.060,2.330
2,12:51,2,4,DET 47,3,3,Alex Smith pass complete short left to Vernon Davis for 14 yards (tackle by Julian Peterson),2.330,3.380
2,12:04,1,10,DET 33,3,3,Alex Smith pass incomplete short middle intended for Josh Morgan (defended by Marvin White),3.380,2.840
2,12:02,2,10,DET 33,3,3,Alex Smith pass complete short left to Delanie Walker for 2 yards (tackle by Anthony Henry),2.840,2.410
2,11:20,3,8,DET 31,3,3,Alex Smith pass complete short left to Frank Gore for 7 yards (tackle by DeAndre Levy),2.410,2.020
2,10:50,,,,3,3,Timeout #1 by San Francisco 49ers,0.000,2.020
2,10:50,4,1,DET 24,3,3,Frank Gore right guard for no gain (tackle by DeAndre Levy),2.020,-0.540
2,10:42,1,10,DET 24,3,3,Maurice Morris right tackle for 2 yards (tackle by Takeo Spikes),0.540,0.270
2,10:03,2,8,DET 26,3,3,Maurice Morris middle for 2 yards (tackle by Aubrayo Franklin),0.270,-0.160
2,9:18,3,6,DET 28,3,3,"Drew Stanton pass complete deep left to Calvin Johnson for 20 yards (tackle by Ahmad Brooks). Calvin Johnson fumbles (forced by Ahmad Brooks), recovered by Mark Roman at SFO-48 (tackle by Bryant Johnson)",-0.160,-2.130
2,9:07,1,10,SFO 48,3,3,Alex Smith pass incomplete short right intended for Frank Gore (defended by Jason Hunter),2.130,1.580
2,9:03,2,10,SFO 48,3,3,Alex Smith pass complete short left to Delanie Walker for 12 yards (tackle by Louis Delmas),1.580,2.920
2,8:32,1,10,DET 40,3,3,Frank Gore middle for 2 yards (tackle by Julian Peterson),2.920,2.640
2,7:52,2,8,DET 38,3,3,"Alex Smith pass incomplete short right intended for Delanie Walker. Penalty on Eric Heitmann: Offensive Holding, 10 yards (no play)",2.640,1.290
2,7:45,2,18,DET 48,3,3,Alex Smith pass complete short left to Frank Gore for 7 yards (tackle by Anthony Henry),1.290,1.550
2,6:59,3,11,DET 41,3,3,Alex Smith pass incomplete deep right intended for Josh Morgan,1.550,0.530
2,6:53,4,11,DET 41,3,3,Andy Lee punts 37 yards,0.530,0.380
2,6:43,1,10,DET 4,3,3,Maurice Morris middle for 1 yard (tackle by Justin Smith),-0.380,-0.710
2,6:09,2,9,DET 5,3,3,Maurice Morris right tackle for 6 yards (tackle by Manny Lawson),-0.710,-0.600
2,5:24,3,3,DET 11,3,3,Drew Stanton middle for -2 yards (tackle by Mark Roman),-0.600,-2.490
2,4:57,4,5,DET 9,3,3,Nick Harris punts 45 yards,-2.490,-1.990
2,4:43,1,10,SFO 46,3,3,Alex Smith pass complete short left to Moran Norris for 2 yards (tackle by Anthony Henry),1.990,1.720
2,4:18,2,8,SFO 48,3,3,Alex Smith pass complete short right to Josh Morgan for 7 yards (tackle by Louis Delmas),1.720,1.950
2,4:13,3,1,DET 45,3,3,Alex Smith pass complete deep left to Delanie Walker for 22 yards (tackle by DeAndre Levy),1.950,4.040
2,3:37,1,10,DET 23,3,3,Alex Smith pass incomplete short right intended for Michael Crabtree,4.040,3.500
2,3:31,2,10,DET 23,3,3,Alex Smith pass complete short right to Josh Morgan for 1 yard (tackle by Will Peterson),3.500,2.940
2,2:59,3,9,DET 22,3,3,Alex Smith pass complete short middle to Michael Crabtree for 1 yard (tackle by Louis Delmas),2.940,2.060
2,2:16,4,8,DET 21,3,6,Ricky Schmitt 39 yard field goal good,2.060,3.000
2,,,,SFO 30,,,"Ricky Schmitt kicks off 61 yards, returned by Brian Witherspoon for 14 yards (tackle by Marcus Hudson)",,
2,2:04,1,10,DET 23,3,6,Maurice Morris right guard for 1 yard (tackle by Ray McDonald),0.480,0.070
2,2:00,2,9,DET 24,3,6,Drew Stanton pass complete short left to Bryant Johnson for 13 yards,0.070,1.400
2,1:55,1,10,DET 37,3,6,Drew Stanton pass incomplete short left intended for Maurice Morris,1.400,0.860
2,1:51,2,10,DET 37,3,6,Drew Stanton pass incomplete short left intended for Maurice Morris is intercepted by Patrick Willis at DET-46 and returned for 6 yards,0.860,-2.920
2,1:42,1,10,DET 40,3,6,Alex Smith pass incomplete short right intended for Josh Morgan,2.920,2.370
2,1:37,2,10,DET 40,3,6,Alex Smith pass incomplete short middle intended for Frank Gore (defended by Cliff Avril),2.370,1.680
2,1:32,3,10,DET 40,3,6,Alex Smith pass complete short right to Michael Crabtree for 11 yards (tackle by Cliff Avril and Louis Delmas). Penalty on Louis Delmas: Illegal Contact (Declined),1.680,3.640
2,1:26,1,10,DET 29,3,6,Alex Smith pass complete short middle to Michael Robinson for 4 yards (tackle by Andre Fluellen and DeAngelo Smith),3.640,3.640
2,0:44,2,6,DET 25,3,6,Alex Smith pass complete short right to Vernon Davis for 2 yards (tackle by Marvin White and Will Peterson),3.640,3.200
2,0:35,,,,3,6,Timeout #2 by San Francisco 49ers,0.000,3.200
2,0:35,3,4,DET 23,3,6,Alex Smith pass complete short left to Josh Morgan for 7 yards (tackle by Anthony Henry),3.200,4.510
2,0:30,1,10,DET 16,3,6,Alex Smith pass incomplete deep middle intended for Jason Hill (defended by DeAndre Levy),4.510,3.900
2,0:26,2,10,DET 16,3,6,Alex Smith pass complete short right to Josh Morgan for 6 yards (tackle by Will Peterson),3.900,4.170
2,0:20,3,4,DET 10,3,6,Alex Smith pass incomplete short middle intended for Michael Robinson (defended by Dewayne White),4.170,2.840
2,0:15,,,,3,6,Timeout #1 by Detroit Lions,0.000,2.840
2,0:15,4,4,DET 10,3,6,"Ricky Schmitt 28 yard field goal no good, blocked by Grady Jackson, recovered by Matt Wilhelm and returned for 28 yards",2.840,0.060
2,0:10,1,10,DET 17,3,6,Drew Stanton kneels for -1 yards,-0.060,-0.730
Quarter,Time,Down,ToGo,Location,DET,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 30,3,6,"Jason Hanson kicks off 63 yards, returned by Josh Morgan for 25 yards (tackle by Jake Nordin)",0.000,1.070
3,14:54,1,10,SFO 32,3,6,Frank Gore middle for no gain (tackle by Ernie Sims),1.070,0.530
3,14:16,2,10,SFO 32,3,6,Frank Gore left guard for no gain (tackle by Julian Peterson),0.530,-0.160
3,13:34,3,10,SFO 32,3,6,Alex Smith pass complete short right to Michael Crabtree for 6 yards (tackle by Cliff Avril),-0.160,-0.850
3,13:34,4,4,SFO 38,3,6,Andy Lee punts 44 yards,-0.850,-0.040
3,13:11,1,10,DET 18,3,6,Maurice Morris left tackle for 1 yard (tackle by Aubrayo Franklin),0.040,-0.320
3,12:37,2,9,DET 19,3,6,Drew Stanton pass complete short right to Maurice Morris for 4 yards (tackle by Shawntae Spencer),-0.320,-0.530
3,11:52,3,5,DET 23,3,6,"Drew Stanton pass complete short middle to Dennis Northcutt for 24 yards (tackle by Dre' Bly). Penalty on Will Heller: Offensive Pass Interfere, 10 yards (no play)",-0.530,-1.970
3,11:24,3,15,DET 13,3,6,Drew Stanton left end for 3 yards (tackle by Parys Haralson),-1.970,-2.390
3,10:54,4,12,DET 16,3,6,Nick Harris punts 33 yards,-2.390,-2.320
3,10:39,1,10,DET 49,3,6,Alex Smith pass complete short left to Frank Gore for 19 yards (tackle by Cliff Avril and Will Peterson),2.320,3.580
3,10:10,1,10,DET 30,3,6,Frank Gore left guard for 7 yards (tackle by Louis Delmas),3.580,3.980
3,9:24,2,3,DET 23,3,6,Frank Gore middle for 15 yards (tackle by Marvin White),3.980,5.370
3,8:42,1,8,DET 8,3,6,Frank Gore middle for 6 yards (tackle by Louis Delmas and Anthony Henry),5.370,5.720
3,8:01,2,2,DET 2,3,6,Frank Gore right tackle for no gain (tackle by Zack Follett and Andre Fluellen),5.720,4.950
3,7:24,3,2,DET 2,3,12,"Alex Smith pass complete short right to Vernon Davis for 2 yards, touchdown",4.950,7.000
,,,,,,,"DET challenged the illegal forward pass ruling, and the play was upheld.",,
3,,,,DET 2,3,13,Ricky Schmitt kicks extra point good,0.000,0.000
3,,,,SFO 30,3,13,"Ricky Schmitt kicks off 70 yards, touchback",0.000,0.280
3,7:08,1,10,DET 20,3,13,Maurice Morris middle for 3 yards (tackle by Michael Lewis),0.280,0.140
3,6:36,2,7,DET 23,3,13,Drew Stanton middle for 6 yards (tackle by Patrick Willis and Isaac Sopoaga),0.140,0.230
3,5:55,3,1,DET 29,3,13,Maurice Morris right end for -4 yards (tackle by Manny Lawson),0.230,-1.700
3,5:21,4,5,DET 25,3,13,"Nick Harris punts 38 yards, fair catch by Arnaz Battle",-1.700,-1.400
3,5:13,1,10,SFO 37,3,13,Frank Gore right guard for 3 yards (tackle by DeAndre Levy),1.400,1.260
3,4:37,2,7,SFO 40,3,13,Frank Gore middle for 4 yards (tackle by Cliff Avril),1.260,1.090
3,3:57,3,3,SFO 44,3,13,Frank Gore right tackle for 2 yards (tackle by Julian Peterson and DeAndre Levy),1.090,-0.320
3,3:23,4,1,SFO 46,3,13,Alex Smith pass complete short right to Frank Gore for 48 yards (tackle by Turk McBride),-0.320,5.830
3,2:29,1,6,DET 6,3,13,Frank Gore left guard for no gain (tackle by Grady Jackson),5.830,4.950
3,1:48,2,6,DET 6,3,13,Frank Gore middle for 5 yards (tackle by Julian Peterson and Marvin White),4.950,5.170
3,1:28,3,1,DET 1,3,19,"Frank Gore middle for 1 yard, touchdown",5.170,7.000
3,,,,DET 2,3,20,Ricky Schmitt kicks extra point good,0.000,0.000
3,,,,SFO 30,3,20,"Ricky Schmitt kicks off 61 yards, returned by Brian Witherspoon for 18 yards (tackle by Scott McKillop)",0.000,0.740
3,1:02,1,10,DET 27,3,20,Maurice Morris right guard for 3 yards (tackle by Patrick Willis),0.740,0.600
3,0:27,2,7,DET 30,3,20,Drew Stanton pass complete short left to Calvin Johnson for 30 yards (tackle by Patrick Willis),0.600,2.920
3,0:03,1,10,SFO 40,3,20,Jerome Felton middle for 1 yard (tackle by Aubrayo Franklin and Parys Haralson),2.920,2.510
Quarter,Time,Down,ToGo,Location,DET,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,SFO 39,3,20,Drew Stanton pass complete short right to Will Heller for 1 yard (tackle by Manny Lawson),2.510,1.950
4,14:13,3,8,SFO 38,3,20,Drew Stanton pass incomplete deep right intended for Bryant Johnson,1.950,0.720
4,14:06,4,8,SFO 38,3,20,"Drew Stanton pass incomplete short middle intended for Calvin Johnson. Penalty on Dashon Goldson: Defensive Pass Interfere, 9 yards (no play)",0.720,3.640
4,14:01,1,10,SFO 29,3,20,Drew Stanton pass incomplete deep left intended for Calvin Johnson is intercepted by Dashon Goldson at SFO-8 and returned for 34 yards,3.640,-1.730
4,13:50,1,10,SFO 42,3,20,Josh Morgan right end for 16 yards (tackle by DeAndre Levy),1.730,2.790
4,13:21,1,10,DET 42,3,20,Frank Gore middle for -1 yards (tackle by Will Peterson),2.790,2.110
4,12:38,2,11,DET 43,3,20,Frank Gore right tackle for 2 yards (tackle by Ernie Sims),2.110,1.680
4,11:57,3,9,DET 41,3,20,Frank Gore left end for -1 yards (tackle by Louis Delmas),1.680,0.460
4,11:16,4,10,DET 42,3,20,Andy Lee punts 40 yards,0.460,0.380
4,11:08,1,10,DET 2,3,20,Drew Stanton pass complete short right to Jerome Felton for 2 yards (tackle by Manny Lawson),-0.380,-0.630
4,10:45,2,8,DET 4,3,20,Maurice Morris right guard for 3 yards (tackle by Manny Lawson),-0.630,-0.840
4,10:07,3,5,DET 7,3,20,"Drew Stanton pass incomplete deep middle intended for Bryant Johnson. Penalty on Dre' Bly: Defensive Holding, 5 yards (no play)",-0.840,-0.350
4,9:58,1,10,DET 12,3,20,Drew Stanton pass complete short middle to Will Heller for 16 yards (tackle by Mark Roman),-0.350,0.810
4,9:31,1,10,DET 28,3,20,Drew Stanton pass incomplete short right intended for Will Heller,0.810,0.260
4,9:27,2,10,DET 28,3,20,Drew Stanton pass incomplete short left intended for Dennis Northcutt,0.260,-0.430
4,9:21,3,10,DET 28,3,20,Drew Stanton middle for 6 yards (tackle by Dashon Goldson and Parys Haralson),-0.430,-1.110
4,8:50,4,4,DET 34,3,20,"Nick Harris punts 49 yards, returned by Arnaz Battle for 10 yards (tackle by Don Muhlbach)",-1.110,-0.740
4,8:34,1,10,SFO 27,3,20,"Frank Gore right guard for no gain (tackle by Julian Peterson). Frank Gore fumbles (forced by Julian Peterson), recovered by Sammie Lee Hill at SFO-29 (tackle by Adam Snyder)",0.740,-3.640
4,8:22,1,10,SFO 29,3,20,Drew Stanton pass incomplete short left intended for Dennis Northcutt is intercepted by Dre' Bly at SFO-19 and returned for 26 yards,3.640,-1.930
4,8:12,1,10,SFO 45,3,20,Frank Gore middle for 2 yards (tackle by Grady Jackson and Turk McBride),1.930,1.650
4,7:29,2,8,SFO 47,3,20,Frank Gore right tackle for no gain (tackle by Ernie Sims and Turk McBride),1.650,0.960
4,6:47,3,8,SFO 47,3,20,Alex Smith pass incomplete short left intended for Michael Robinson (defended by Anthony Henry),0.960,-0.260
4,6:40,4,8,SFO 47,3,20,"Andy Lee punts 53 yards, touchback",-0.260,-0.280
4,6:32,1,10,DET 20,3,20,Daunte Culpepper pass complete short right to Calvin Johnson for 9 yards (tackle by Shawntae Spencer),0.280,0.950
4,6:10,2,1,DET 29,3,20,Daunte Culpepper for 12 yards,0.950,1.660
4,5:40,1,10,DET 41,3,20,Daunte Culpepper pass complete short right to Maurice Morris for 7 yards (tackle by Manny Lawson),1.660,2.070
4,5:07,2,3,DET 48,3,20,Daunte Culpepper pass complete short right to Calvin Johnson for 9 yards (tackle by Shawntae Spencer),2.070,2.720
4,4:59,1,10,SFO 43,3,20,Daunte Culpepper pass incomplete short right intended for Maurice Morris,2.720,2.180
4,4:55,2,10,SFO 43,3,20,Daunte Culpepper pass complete short middle to Jake Nordin for 14 yards (tackle by Mark Roman),2.180,3.640
4,4:28,1,10,SFO 29,3,20,Daunte Culpepper pass incomplete short left intended for Derrick Williams,3.640,3.100
4,4:21,2,10,SFO 29,3,20,"Daunte Culpepper pass complete short middle to Maurice Morris for 7 yards (tackle by Michael Lewis). Penalty on Shawntae Spencer: Defensive Holding, 5 yards (no play)",3.100,3.970
4,4:16,1,10,SFO 24,3,20,Daunte Culpepper pass incomplete deep right intended for Calvin Johnson,3.970,3.430
4,4:10,2,10,SFO 24,3,20,Daunte Culpepper right end for 4 yards (tackle by Michael Lewis),3.430,3.270
4,4:03,3,6,SFO 20,3,20,Daunte Culpepper pass incomplete short right intended for Calvin Johnson (defended by Shawntae Spencer),3.270,2.150
4,3:59,4,6,SFO 20,6,20,Jason Hanson 38 yard field goal good,2.150,3.000
4,,,,DET 30,6,20,"Jason Hanson kicks off 70 yards, touchback",0.000,0.280
4,3:55,1,10,SFO 20,6,20,Frank Gore left tackle for 1 yard (tackle by Ernie Sims),0.280,-0.130
4,3:46,,,,6,20,Timeout #2 by Detroit Lions,0.000,-0.130
4,3:46,2,9,SFO 21,6,20,Frank Gore right tackle for 7 yards (tackle by Julian Peterson and DeAndre Levy),-0.130,0.100
4,3:40,,,,6,20,Timeout #3 by Detroit Lions,0.000,0.100
4,3:40,3,2,SFO 28,6,20,Frank Gore left end for 1 yard (tackle by Zack Follett and DeAndre Levy),0.100,-1.440
4,3:01,4,1,SFO 29,6,20,"Andy Lee punts 40 yards, returned by Brian Witherspoon for 1 yard (tackle by Jason Hill)",-1.440,-1.070
4,2:51,1,10,DET 32,6,20,Daunte Culpepper pass incomplete short left intended for Bryant Johnson,1.070,0.530
4,2:43,2,10,DET 32,6,20,Daunte Culpepper pass complete short left to Maurice Morris for 4 yards (tackle by Patrick Willis),0.530,0.370
4,2:10,3,6,DET 36,6,20,Daunte Culpepper pass complete short left to Will Heller for 5 yards (tackle by Dashon Goldson),0.370,-0.650
4,2:00,4,1,DET 41,6,20,"Daunte Culpepper pass complete short right to Calvin Johnson for 3 yards (tackle by Dre' Bly). Calvin Johnson fumbles (forced by Dre' Bly), recovered by Dre' Bly at DET-44 and returned for 2 yards (tackle by Calvin Johnson)",-0.650,-2.790
4,1:53,1,10,DET 42,6,20,Alex Smith kneels for -1 yards,2.790,2.110
4,1:12,2,11,DET 43,6,20,Alex Smith kneels for -1 yards,2.110,1.290
4,0:30,3,12,DET 44,6,20,Alex Smith kneels for -1 yards,1.290,0.270
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
