Quarter,Time,Down,ToGo,Location,ATL,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,NOR 30,0,0,"Olindo Mare kicks off 68 yards, returned by Jerious Norwood for 20 yards (tackle by Kevin Kaesviharn)",0.000,0.410
1,14:55,1,10,ATL 22,0,0,Byron Leftwich pass complete short left to Roddy White for 9 yards (tackle by Jason Craft),0.410,1.080
1,14:21,2,1,ATL 31,0,0,Warrick Dunn right tackle for 2 yards (tackle by Mark Simoneau),1.080,1.140
1,13:47,1,10,ATL 33,0,0,"Warrick Dunn left guard for 2 yards (tackle by Scott Fujita). Penalty on Dwayne Blakley: False Start, 5 yards (no play)",1.140,0.810
1,13:19,1,15,ATL 28,0,0,Byron Leftwich pass complete short middle to Roddy White for 13 yards (tackle by Josh Bullocks),0.810,1.670
1,12:44,2,2,ATL 41,0,0,Warrick Dunn right tackle for 6 yards (tackle by Brian Young and Scott Shanle),1.670,2.060
1,12:04,1,10,ATL 47,0,0,Byron Leftwich pass complete short middle to Michael Jenkins for 4 yards (tackle by Roman Harper),2.060,2.060
1,11:27,2,6,NOR 49,0,0,Byron Leftwich pass incomplete short right intended for Joe Horn,2.060,1.360
1,11:20,3,6,NOR 49,0,0,"Byron Leftwich sacked by Scott Fujita for -7 yards. Byron Leftwich fumbles (forced by Scott Fujita), recovered by Kynan Forney at ATL-44",1.360,-0.460
1,10:44,4,13,ATL 44,0,0,"Michael Koenen punts 45 yards, returned by Lance Moore for 48 yards (tackle by Ovie Mughelli)",-0.460,-2.850
1,10:30,1,10,ATL 41,0,0,Drew Brees pass complete short left to Billy Miller for 7 yards (tackle by Keith Brooking),2.850,3.250
1,10:01,2,3,ATL 34,0,0,Drew Brees pass incomplete short left intended for Marques Colston,3.250,2.540
1,9:59,3,3,ATL 34,0,0,Drew Brees pass incomplete deep left intended for Marques Colston,2.540,1.090
1,9:51,4,3,ATL 34,0,0,"Steve Weatherford punts 27 yards, fair catch by Adam Jennings",1.090,0.380
1,9:44,1,10,ATL 7,0,0,Byron Leftwich pass incomplete deep left intended for Laurent Robinson,-0.380,-0.780
1,9:38,2,10,ATL 7,0,0,Jerious Norwood left guard for 1 yard (tackle by Hollis Thomas and Scott Fujita),-0.780,-1.300
1,8:57,2,10,ATL 7,0,0,Timeout #1 by Atlanta Falcons,-0.780,-1.300
1,8:57,3,9,ATL 8,0,0,Byron Leftwich pass incomplete short right intended for Joe Horn,-1.300,-2.490
1,8:54,4,9,ATL 8,0,0,"Michael Koenen punts 48 yards, returned by Lance Moore for 7 yards (tackle by Travis Williams)",-2.490,-2.320
1,8:41,1,10,ATL 49,0,0,Reggie Bush left guard for 9 yards (tackle by Michael Boley),2.320,3.000
1,8:04,2,1,ATL 40,0,0,Reggie Bush left tackle for 3 yards (tackle by Keith Brooking and Demorrio Williams),3.000,3.120
1,7:23,1,10,ATL 37,0,6,"Drew Brees pass complete deep middle to Devery Henderson for 37 yards, touchdown. Penalty on Devery Henderson: Taunting, 15 yards",3.120,7.000
1,7:23,,,ATL 2,0,7,Olindo Mare kicks extra point good,0.000,0.000
1,7:23,,,NOR 15,0,7,"Olindo Mare kicks off 70 yards, returned by Jerious Norwood for 18 yards (tackle by Chris Reis)",0.000,1.140
1,7:09,1,10,ATL 33,0,7,"Jerious Norwood left guard for 5 yards (tackle by Will Smith). Penalty on Todd McClure: Offensive Holding, 10 yards (no play)",1.140,0.480
1,6:44,1,20,ATL 23,0,7,Byron Leftwich pass complete short middle to Jerious Norwood for 3 yards (tackle by Mark Simoneau and Scott Shanle),0.480,-0.350
1,6:05,2,17,ATL 26,0,7,Jerious Norwood left guard for 30 yards (tackle by Roman Harper),-0.350,2.650
1,5:35,1,10,NOR 44,0,7,Ovie Mughelli left guard for 3 yards (tackle by Scott Fujita and Will Smith),2.650,2.520
1,4:59,2,7,NOR 41,0,7,Warrick Dunn left tackle for -2 yards (tackle by Charles Grant),2.520,1.550
1,4:20,3,9,NOR 43,0,7,Byron Leftwich pass complete short right to Roddy White for 16 yards (tackle by Mike McKenzie),1.550,3.780
1,3:49,1,10,NOR 27,0,7,Jerious Norwood left end for 3 yards (tackle by Mike McKenzie),3.780,3.640
1,3:13,1,10,NOR 27,0,7,Timeout #2 by Atlanta Falcons,3.780,3.640
1,3:13,2,7,NOR 24,0,7,Byron Leftwich pass complete short right to Dwayne Blakley for 4 yards (tackle by Mark Simoneau),3.640,3.470
1,2:35,3,3,NOR 20,0,7,Byron Leftwich pass incomplete short right intended for Ovie Mughelli,3.470,2.220
1,2:30,4,3,NOR 20,3,7,Morten Andersen 38 yard field goal good,2.220,3.000
1,2:30,,,ATL 30,3,7,"Michael Koenen kicks off 67 yards, returned by Pierre Thomas for 21 yards (tackle by Daren Stone)",0.000,0.540
1,2:21,1,10,NOR 24,3,7,Reggie Bush right tackle for 8 yards (tackle by Demorrio Williams and DeAngelo Hall),0.540,1.080
1,1:41,2,2,NOR 32,3,7,Reggie Bush left guard for 2 yards (tackle by Michael Boley),1.080,1.200
,,,,,,,"NOR challenged the first down ruling, and the original play was overturned.",,
1,1:06,1,10,NOR 34,3,7,Drew Brees pass complete short right to Reggie Bush for 4 yards (tackle by Michael Boley),1.200,1.200
1,0:45,2,6,NOR 38,3,7,Reggie Bush right end for 1 yard (tackle by Chauncey Davis),1.200,0.630
1,0:02,3,5,NOR 39,3,7,Drew Brees pass incomplete deep right intended for Marques Colston,0.630,-0.780
Quarter,Time,Down,ToGo,Location,ATL,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,5,NOR 39,3,7,"Steve Weatherford punts 42 yards, returned by Adam Jennings for 12 yards (tackle by Scott Shanle)",-0.780,-1.000
2,14:47,1,10,ATL 31,3,7,Warrick Dunn left tackle for 7 yards (tackle by Scott Fujita and Will Smith),1.000,1.410
2,14:15,2,3,ATL 38,3,7,Warrick Dunn left end for 1 yard (tackle by Josh Bullocks),1.410,0.830
2,13:43,3,2,ATL 39,3,7,Warrick Dunn right end for 3 yards (tackle by Mike McKenzie),0.830,1.730
2,13:03,1,10,ATL 42,3,7,Byron Leftwich pass complete deep left to Laurent Robinson for 23 yards (tackle by Scott Fujita),1.730,3.250
