Unnamed: 0,ATL,NOR
First Downs,18,14
Rush-Yds-TDs,24-75-0,22-91-1
Cmp-Att-Yd-TD-INT,27-41-273-1-0,22-34-219-2-1
Sacked-Yards,3-14,0-0
Net Pass Yards,259,219
Total Yards,334,310
Fumbles-Lost,3-0,0-0
Turnovers,0,1
Penalties-Yards,9-52,6-49
Third Down Conv.,9-18,4-12
Fourth Down Conv.,0-0,1-3
Time of Possession,35:27,24:33
