Unnamed: 0,CLE,CIN
First Downs,13,23
Rush-Yds-TDs,17-69-0,37-152-1
Cmp-Att-Yd-TD-INT,15-33-168-1-0,21-27-234-3-0
Sacked-Yards,3-24,2-15
Net Pass Yards,144,219
Total Yards,213,371
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,4-28,2-20
Third Down Conv.,4-13,8-14
Fourth Down Conv.,1-2,1-1
Time of Possession,23:57,36:03
