Quarter,Time,Down,ToGo,Location,CLE,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,CLE 20,0,0,Isaiah Crowell right guard for 3 yards (tackle by Carlos Dunlap),0.280,0.140
1,14:24,2,7,CLE 23,0,0,Johnny Manziel pass incomplete short right intended for Isaiah Crowell,0.140,-0.560
1,14:16,3,7,CLE 23,0,0,Johnny Manziel pass complete short middle to Travis Benjamin for 9 yards (tackle by Dre Kirkpatrick),-0.560,1.070
1,13:35,1,10,CLE 32,0,0,Johnny Manziel pass incomplete short middle intended for Duke Johnson,1.070,0.530
1,13:30,2,10,CLE 32,0,0,Isaiah Crowell middle for 2 yards (tackle by Vincent Rey),0.530,0.100
1,12:53,3,8,CLE 34,0,0,"Penalty on Joe Thomas: False Start, 5 yards (no play)",0.100,-0.560
1,12:37,3,13,CLE 29,0,0,Johnny Manziel pass incomplete deep left intended for Travis Benjamin (defended by Adam Jones),-0.560,-1.440
1,12:29,4,13,CLE 29,0,0,"Andy Lee punts 34 yards, out of bounds",-1.440,-1.400
1,12:21,1,10,CIN 37,0,0,Jeremy Hill left end for 7 yards (tackle by Karlos Dansby and Craig Robertson),1.400,1.800
1,11:44,2,3,CIN 44,0,0,Jeremy Hill left guard for 6 yards (tackle by Nate Orchard),1.800,2.260
1,11:09,1,10,,0,0,Andy Dalton pass incomplete short left intended for A.J. Green,2.260,1.710
1,11:05,2,10,,0,0,Andy Dalton right end for -1 yards (tackle by Craig Robertson),1.710,0.890
1,10:20,3,11,CIN 49,0,0,Andy Dalton pass complete short middle to Marvin Jones for 29 yards (tackle by Armonty Bryant),0.890,4.110
1,9:36,1,10,CLE 22,0,0,Andy Dalton pass complete short right to Marvin Jones for 2 yards (tackle by Ibraheim Campbell),4.110,3.830
1,8:53,2,8,CLE 20,0,0,Jeremy Hill right tackle for no gain,3.830,3.140
1,8:16,3,8,CLE 20,0,0,Andy Dalton pass complete short left to Mohamed Sanu for 7 yards (tackle by K'Waun Williams and Karlos Dansby),3.140,2.720
1,7:50,4,1,CLE 13,0,0,Jeremy Hill right guard for 4 yards (tackle by Jamie Meder),2.720,5.140
1,7:12,1,9,CLE 9,0,6,"Andy Dalton pass complete short middle to Tyler Eifert for 9 yards, touchdown",5.140,7.000
1,7:12,,,CLE 9,0,7,Mike Nugent kicks extra point good,0.000,0.000
1,7:12,,,CIN 35,0,7,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
1,7:08,1,10,CLE 20,0,7,Johnny Manziel pass complete short left to Taylor Gabriel for 3 yards (tackle by Vincent Rey),0.280,0.140
1,6:35,2,7,CLE 23,0,7,Duke Johnson for 5 yards (tackle by Domata Peko and Vontaze Burfict),0.140,0.100
1,6:14,3,2,CLE 28,0,7,Johnny Manziel pass complete short middle to Jim Dray for 13 yards (tackle by Vontaze Burfict),0.100,1.660
1,5:40,1,10,CLE 41,0,7,Johnny Manziel pass complete short right to Gary Barnidge for 10 yards (tackle by Adam Jones),1.660,2.320
1,4:58,1,10,CIN 49,0,7,Isaiah Crowell left tackle for 13 yards (tackle by George Iloka),2.320,3.180
1,4:15,1,10,CIN 36,0,7,Isaiah Crowell right guard for 2 yards (tackle by Vincent Rey),3.180,2.910
1,3:36,2,8,CIN 34,0,7,Johnny Manziel left end for 4 yards (tackle by Vincent Rey),2.910,2.740
1,2:51,3,4,CIN 30,0,7,Johnny Manziel pass complete short right to Isaiah Crowell for 15 yards (tackle by George Iloka),2.740,4.580
1,2:10,1,10,CIN 15,0,7,Johnny Manziel pass complete short right to Dwayne Bowe for 4 yards (tackle by Dre Kirkpatrick),4.580,4.640
1,1:29,2,6,CIN 11,0,7,Johnny Manziel for 7 yards (tackle by Dre Kirkpatrick),4.640,6.280
1,1:04,1,4,CIN 4,0,7,Duke Johnson for -5 yards (tackle by Brandon Thompson),6.280,4.380
1,0:23,2,9,CIN 9,0,7,Johnny Manziel pass incomplete short left intended for Taylor Gabriel (defended by Adam Jones),4.380,3.360
1,0:14,3,9,CIN 9,0,7,Johnny Manziel pass incomplete short middle intended for Gary Barnidge,3.360,2.830
1,0:10,4,9,CIN 9,3,7,Travis Coons 27 yard field goal good,2.830,3.000
1,0:10,,,CLE 35,3,7,"Travis Coons kicks off 63 yards, returned by Adam Jones for 13 yards (tackle by Marlon Moore)",0.000,0.220
Quarter,Time,Down,ToGo,Location,CLE,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
