Unnamed: 0,NYJ,KAN
First Downs,17,18
Rush-Yds-TDs,22-117-0,27-72-0
Cmp-Att-Yd-TD-INT,20-44-188-0-6,25-33-237-1-0
Sacked-Yards,0-0,2-16
Net Pass Yards,188,221
Total Yards,305,293
Fumbles-Lost,3-2,1-1
Turnovers,8,1
Penalties-Yards,3-15,5-59
Third Down Conv.,7-14,7-15
Fourth Down Conv.,1-2,0-1
Time of Possession,27:55,32:05
