Quarter,Time,Tm,Detail,NYJ,KAN
1.0,0:13,Chiefs,Travis Kelce 12 yard pass from Alex Smith (Cairo Santos kick),0,7
2.0,6:11,Chiefs,Cairo Santos 27 yard field goal,0,10
,6:02,Chiefs,Demetrius Harris 27 yard fumble return (Cairo Santos kick),0,17
,2:06,Jets,Nick Folk 28 yard field goal,3,17
4.0,3:28,Chiefs,Derrick Johnson 55 yard interception return (Cairo Santos kick),3,24
