Quarter,Time,Down,ToGo,Location,NYJ,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Cairo Santos kicks off 60 yards, returned by Jalin Marshall for 34 yards (tackle by Demetrius Harris)",,
1,14:55,1,10,NYJ 39,0,0,Matt Forte middle for 1 yard (tackle by Frank Zombo and Derrick Johnson),1.530,1.120
1,14:15,2,9,NYJ 40,0,0,Ryan Fitzpatrick pass complete short middle to Brandon Marshall for 11 yards (tackle by Phillip Gaines),1.120,2.320
1,13:36,1,10,KAN 49,0,0,Matt Forte middle for -2 yards (tackle by Frank Zombo and Derrick Johnson),2.320,1.510
1,12:53,2,12,NYJ 49,0,0,Ryan Fitzpatrick pass incomplete short left intended for Eric Decker,1.510,0.830
1,12:48,3,12,NYJ 49,0,0,Ryan Fitzpatrick pass complete short middle to Brandon Marshall for 9 yards (tackle by Eric Berry),0.830,0.460
1,12:21,4,3,KAN 42,0,0,"Lac Edwards punts 35 yards, returned by Tyreek Hill for 10 yards (tackle by Josh Martin)",0.460,0.060
1,12:12,1,10,KAN 17,0,0,Alex Smith pass complete short left to Ross Travis for 4 yards (tackle by Darron Lee),-0.060,0.080
1,11:37,2,6,KAN 21,0,0,Spencer Ware left tackle for -1 yards (tackle by Leonard Williams),0.080,-0.870
1,10:56,3,7,KAN 20,0,0,Alex Smith pass complete short right to Travis Kelce for 10 yards (tackle by David Harris),-0.870,0.940
1,10:19,1,10,KAN 30,0,0,Alex Smith pass incomplete short right intended for Jeremy Maclin,0.940,0.390
1,10:16,2,10,KAN 30,0,0,Alex Smith pass complete short left to Jeremy Maclin for 9 yards (tackle by Marcus Williams),0.390,0.890
1,9:44,3,1,KAN 39,0,0,Spencer Ware left end for 17 yards (tackle by Sheldon Richardson),0.890,2.650
1,8:59,1,10,NYJ 44,0,0,Alex Smith pass complete short right to Charcandrick West for 2 yards (tackle by Jordan Jenkins),2.650,2.380
1,8:26,2,8,NYJ 42,0,0,"Penalty on Steve McLendon: Neutral Zone Infraction, 5 yards (no play)",2.380,3.060
1,8:15,2,3,NYJ 37,0,0,Alex Smith pass complete short left to Ross Travis for 6 yards (tackle by Buster Skrine and Jordan Jenkins),3.060,3.510
1,7:46,1,10,NYJ 31,0,0,Spencer Ware middle for 4 yards (tackle by Steve McLendon),3.510,3.510
1,7:09,2,6,NYJ 27,0,0,"Spencer Ware left guard for 5 yards (tackle by Lawrence Thomas). Penalty on Mitch Morse: Offensive Holding, 10 yards (no play)",3.510,2.160
1,6:52,2,16,NYJ 37,0,0,Spencer Ware left tackle for 7 yards (tackle by David Harris),2.160,2.410
1,6:05,3,9,NYJ 30,0,0,Alex Smith sacked by Darron Lee and Lorenzo Mauldin for -8 yards,2.410,0.720
1,5:21,4,17,NYJ 38,0,0,Dustin Colquitt punts 37 yards,0.720,0.380
1,5:09,1,10,NYJ 1,0,0,Matt Forte middle for 3 yards (tackle by Dee Ford),-0.380,-0.560
1,4:32,2,7,NYJ 4,0,0,Matt Forte right end for 5 yards (tackle by Marcus Peters),-0.560,-0.480
1,3:54,3,2,NYJ 9,0,0,"Ryan Fitzpatrick middle for 12 yards (tackle by Frank Zombo). Ryan Fitzpatrick fumbles (forced by Frank Zombo), recovered by Ryan Fitzpatrick at NYJ-21",-0.480,0.340
1,3:12,1,10,NYJ 21,0,0,Matt Forte middle for 1 yard (tackle by Derrick Johnson),0.340,-0.070
1,2:36,2,9,NYJ 22,0,0,Ryan Fitzpatrick pass incomplete deep left intended for Brandon Marshall (defended by Steven Nelson),-0.070,-0.760
1,2:30,3,9,NYJ 22,0,0,Ryan Fitzpatrick pass incomplete short right intended for Jalin Marshall is intercepted by Marcus Peters at NYJ-35,-0.760,-3.250
1,2:24,1,10,NYJ 35,0,0,Tyreek Hill left end for -3 yards (tackle by Darron Lee),3.250,2.300
1,1:53,2,13,NYJ 38,0,0,Spencer Ware right end for 13 yards (tackle by Sheldon Richardson),2.300,3.910
1,1:05,1,10,NYJ 25,0,0,Alex Smith pass complete short middle to Tyreek Hill for 13 yards (tackle by Darrelle Revis),3.910,4.780
1,0:21,1,10,NYJ 12,0,6,"Alex Smith pass complete short left to Travis Kelce for 12 yards, touchdown",4.780,7.000
1,0:21,,,NYJ 12,0,7,Cairo Santos kicks extra point good,0.000,0.000
1,0:21,,,KAN 35,0,7,"Cairo Santos kicks off 65 yards, touchback",0.000,-0.610
