Quarter,Time,Tm,Detail,NWE,DET
1.0,5:00,Patriots,Shayne Graham 19 yard field goal,3,0
,0:00,Lions,Calvin Johnson 19 yard pass from Shaun Hill (Dave Rayner kick),3,7
2.0,5:58,Lions,Maurice Morris 1 yard rush (Dave Rayner kick),3,14
,0:45,Patriots,BenJarvus Green-Ellis 15 yard rush (Shayne Graham kick),10,14
,0:00,Lions,Dave Rayner 44 yard field goal,10,17
3.0,10:58,Patriots,Wes Welker 5 yard pass from Tom Brady (Shayne Graham kick),17,17
,6:50,Lions,Maurice Morris 1 yard rush (Dave Rayner kick),17,24
,5:12,Patriots,Deion Branch 79 yard pass from Tom Brady (Shayne Graham kick),24,24
4.0,13:45,Patriots,Deion Branch 22 yard pass from Tom Brady (Shayne Graham kick),31,24
,6:42,Patriots,Wes Welker 16 yard pass from Tom Brady (Shayne Graham kick),38,24
,3:14,Patriots,BenJarvus Green-Ellis 1 yard rush (Shayne Graham kick),45,24
