Quarter,Time,Down,ToGo,Location,NWE,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,NWE 30,0,0,"Shayne Graham kicks off 64 yards, returned by Stefan Logan for 23 yards (tackle by Pierre Woods)",0.000,0.870
1,14:54,1,10,DET 29,0,0,Shaun Hill pass complete short right to Maurice Morris for 5 yards (tackle by Gary Guyton and Vince Wilfork),0.870,1.000
1,14:22,2,5,DET 34,0,0,Maurice Morris middle for 7 yards (tackle by Jerod Mayo),1.000,1.660
1,13:46,1,10,DET 41,0,0,Maurice Morris left tackle for 3 yards (tackle by Gary Guyton),1.660,1.530
1,13:08,2,7,DET 44,0,0,Shaun Hill pass incomplete short right intended for Calvin Johnson,1.530,0.830
1,13:03,3,7,DET 44,0,0,Shaun Hill pass complete short right to Maurice Morris for 2 yards (tackle by Gary Guyton and James Sanders),0.830,-0.320
1,12:25,4,5,DET 46,0,0,"Nick Harris punts 46 yards, returned by Julian Edelman for 11 yards (tackle by Isaiah Ekejiuba)",-0.320,-0.150
1,12:11,1,10,NWE 19,0,0,Tom Brady pass complete short left to Alge Crumpler for 27 yards (tackle by Amari Spievey and Julian Peterson),0.150,1.990
1,11:45,1,10,NWE 46,0,0,BenJarvus Green-Ellis middle for 4 yards (tackle by Amari Spievey),1.990,1.990
1,11:08,2,6,,0,0,Tom Brady pass incomplete short middle intended for Wes Welker,1.990,1.290
1,11:04,3,6,,0,0,Tom Brady sacked by Ndamukong Suh for -3 yards,1.290,-0.260
1,10:36,4,9,NWE 47,0,0,"Zoltan Mesko punts 53 yards, touchback",-0.260,-0.280
1,10:28,1,10,DET 20,0,0,Maurice Morris left end for no gain (tackle by Jerod Mayo),0.280,-0.270
1,9:59,2,10,DET 20,0,0,Shaun Hill pass complete short left to Maurice Morris for 3 yards (tackle by Jerod Mayo),-0.270,-0.560
1,9:22,3,7,DET 23,0,0,Shaun Hill pass incomplete deep right intended for Nate Burleson,-0.560,-1.830
1,9:12,4,7,DET 23,0,0,"Nick Harris punts 48 yards, returned by Julian Edelman for 28 yards (tackle by Nick Harris)",-1.830,-2.720
1,8:59,1,10,DET 43,0,0,Tom Brady pass incomplete short right intended for Deion Branch,2.720,2.180
1,8:52,2,10,DET 43,0,0,Danny Woodhead right tackle for 4 yards (tackle by Brandon McDonald),2.180,2.010
1,8:15,3,6,DET 39,0,0,Tom Brady pass complete short middle to Wes Welker for 9 yards (tackle by Chris Houston),2.010,3.580
1,7:35,1,10,DET 30,0,0,Tom Brady pass complete deep right to Wes Welker for 19 yards (tackle by Louis Delmas),3.580,4.840
1,6:55,1,10,DET 11,0,0,Danny Woodhead left tackle for 2 yards (tackle by Julian Peterson and Turk McBride),4.840,4.510
1,6:16,2,8,DET 9,0,0,Tom Brady pass complete short left to Rob Gronkowski for 1 yard (tackle by Julian Peterson),4.510,3.760
1,5:30,3,7,DET 8,0,0,Tom Brady pass complete short right to Wes Welker for 6 yards (tackle by Amari Spievey),3.760,3.250
1,5:04,4,1,DET 2,3,0,Shayne Graham 19 yard field goal good,3.250,3.000
1,5:00,,,NWE 30,3,0,"Shayne Graham kicks off 63 yards, returned by Stefan Logan for 22 yards (tackle by Devin McCourty)",0.000,0.870
1,4:53,1,10,DET 29,3,0,Shaun Hill pass incomplete deep left intended for Nate Burleson (defended by Brandon Meriweather),0.870,0.330
1,4:47,2,10,DET 29,3,0,Aaron Brown right tackle for 2 yards (tackle by Rob Ninkovich and Gary Guyton),0.330,-0.100
1,4:12,3,8,DET 31,3,0,Shaun Hill pass complete short left to Nate Burleson for 9 yards (tackle by Jerod Mayo),-0.100,1.600
1,3:36,1,10,DET 40,3,0,Aaron Brown left tackle for 7 yards (tackle by Devin McCourty),1.600,2.000
1,3:02,2,3,DET 47,3,0,Shaun Hill pass complete short right to Brandon Pettigrew for 8 yards (tackle by Patrick Chung and Gary Guyton),2.000,2.590
1,2:26,1,10,NWE 45,3,0,Aaron Brown left tackle for 4 yards (tackle by Vince Wilfork and Rob Ninkovich),2.590,2.580
1,1:49,2,6,NWE 41,3,0,Shaun Hill pass incomplete short middle intended for Brandon Pettigrew (defended by Gary Guyton),2.580,1.880
1,1:45,3,6,NWE 41,3,0,Shaun Hill for 8 yards (tackle by Devin McCourty),1.880,3.380
1,1:19,1,10,NWE 33,3,0,Aaron Brown middle for 1 yard (tackle by Vince Wilfork and Jerod Mayo),3.380,2.970
1,0:47,2,9,NWE 32,3,0,Shaun Hill right end for 13 yards (tackle by Patrick Chung),2.970,4.310
1,0:03,1,10,NWE 19,3,6,"Shaun Hill pass complete deep right to Calvin Johnson for 19 yards, touchdown",4.310,7.000
1,0:03,,,NWE 2,3,7,Dave Rayner kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,NWE,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,,,DET 30,3,7,"Dave Rayner kicks off 68 yards, returned by Brandon Tate for 16 yards (tackle by C.C. Brown)",0.000,0.040
2,14:54,1,10,NWE 18,3,7,BenJarvus Green-Ellis left tackle for -3 yards (tackle by Ndamukong Suh),0.040,-0.930
2,14:12,2,13,NWE 15,3,7,"Tom Brady pass complete short right to Danny Woodhead for 14 yards (tackle by DeAndre Levy). Penalty on Logan Mankins: Illegal Peelback, 7 yards (no play)",-0.930,-1.510
2,13:56,2,20,NWE 8,3,7,Tom Brady pass complete short right to Danny Woodhead for 5 yards (tackle by Chris Houston),-1.510,-1.970
2,13:13,3,15,NWE 13,3,7,Tom Brady pass complete short middle to Danny Woodhead for 8 yards (tackle by Ndamukong Suh and Amari Spievey),-1.970,-1.960
2,12:33,4,7,NWE 21,3,7,"Zoltan Mesko punts 50 yards, returned by Stefan Logan for 8 yards (tackle by Tracy White)",-1.960,-1.400
