Unnamed: 0,NWE,DET
First Downs,20,25
Rush-Yds-TDs,25-109-2,27-129-2
Cmp-Att-Yd-TD-INT,21-27-341-4-0,27-46-285-1-2
Sacked-Yards,1-3,2-8
Net Pass Yards,338,277
Total Yards,447,406
Fumbles-Lost,0-0,0-0
Turnovers,0,2
Penalties-Yards,5-50,8-66
Third Down Conv.,4-8,7-14
Fourth Down Conv.,0-0,2-3
Time of Possession,28:55,31:05
