Quarter,Time,Tm,Detail,CHI,MIN
1.0,13:57,Vikings,Moe Williams 1 yard rush (Aaron Elling kick),0,7
,10:35,Bears,Paul Edinger 42 yard field goal,3,7
2.0,11:18,Vikings,Aaron Elling 23 yard field goal,3,10
,1:55,Vikings,Jim Kleinsasser 3 yard pass from Daunte Culpepper (Aaron Elling kick),3,17
,0:39,Bears,David Terrell 14 yard pass from Kordell Stewart (Paul Edinger kick),10,17
3.0,4:43,Bears,Paul Edinger 43 yard field goal,13,17
4.0,2:56,Vikings,Jim Kleinsasser 11 yard pass from Daunte Culpepper (Aaron Elling kick),13,24
