Unnamed: 0,CHI,MIN
First Downs,10,25
Rush-Yds-TDs,17-80-0,39-202-1
Cmp-Att-Yd-TD-INT,14-23-145-1-1,20-26-214-2-0
Sacked-Yards,3-17,3-16
Net Pass Yards,128,198
Total Yards,208,400
Fumbles-Lost,2-0,3-1
Turnovers,1,1
Penalties-Yards,6-50,3-25
Third Down Conv.,2-9,9-14
Fourth Down Conv.,0-0,0-0
Time of Possession,21:18,38:42
