Quarter,Time,Tm,Detail,NYG,WAS
1.0,6:22,Giants,Lawrence Tynes 39 yard field goal,3,0
,4:16,Redskins,Josh Morgan 13 yard offensive fumble return (Kai Forbath kick),3,7
2.0,2:32,Giants,Martellus Bennett 4 yard pass from Eli Manning (Lawrence Tynes kick),10,7
,0:41,Redskins,Kai Forbath 33 yard field goal,10,10
,0:00,Giants,Lawrence Tynes 40 yard field goal,13,10
3.0,3:09,Giants,Lawrence Tynes 35 yard field goal,16,10
4.0,11:31,Redskins,Pierre Garcon 8 yard pass from Robert Griffin III (Kai Forbath kick),16,17
