Unnamed: 0,NYG,WAS
First Downs,21,20
Rush-Yds-TDs,29-117-0,31-207-0
Cmp-Att-Yd-TD-INT,20-33-280-1-0,13-21-163-1-0
Sacked-Yards,1-7,0-0
Net Pass Yards,273,163
Total Yards,390,370
Fumbles-Lost,0-0,2-1
Turnovers,0,1
Penalties-Yards,9-73,4-56
Third Down Conv.,9-15,4-8
Fourth Down Conv.,0-0,0-0
Time of Possession,33:13,26:47
