Unnamed: 0,DET,DAL
First Downs,22,19
Rush-Yds-TDs,25-85-0,21-58-1
Cmp-Att-Yd-TD-INT,28-42-306-4-1,23-32-321-2-1
Sacked-Yards,5-29,4-14
Net Pass Yards,277,307
Total Yards,362,365
Fumbles-Lost,0-0,5-3
Turnovers,1,4
Penalties-Yards,7-65,4-45
Third Down Conv.,9-17,6-10
Fourth Down Conv.,1-1,0-1
Time of Possession,32:07,27:53
