Quarter,Time,Down,ToGo,Location,SDG,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,HOU 30,,,"Neil Rackers kicks off 67 yards, returned by Jacob Hester for 1 yard",,
1,14:59,1,10,SDG 4,0,0,Jacob Hester middle for 2 yards (tackle by Antonio Smith and Brian Cushing),-0.380,-0.630
1,14:25,2,8,SDG 6,0,0,Ryan Mathews middle for no gain (tackle by Mario Williams),-0.630,-1.190
1,13:42,3,8,SDG 6,0,0,Philip Rivers pass complete short left to Darren Sproles for 6 yards (tackle by Kareem Jackson),-1.190,-2.490
1,13:20,4,2,SDG 12,0,0,"Mike Scifres punts 1 yard, returned by Bernard Pollard for 5 yards (tackle by Steve Gregory)",-2.490,-5.370
1,13:10,1,8,SDG 8,0,6,"Arian Foster left tackle for 8 yards, touchdown",5.370,7.000
1,,,,SDG 2,0,7,Neil Rackers kicks extra point good,0.000,0.000
1,,,,HOU 30,0,7,"Neil Rackers kicks off 72 yards, returned by Darren Sproles for 34 yards (tackle by Darryl Sharpton). Penalty on Eric Weddle: Illegal Block Above the , 10 yards",0.000,0.410
1,12:57,1,10,SDG 22,0,7,Ryan Mathews right end for 5 yards (tackle by Glover Quin),0.410,0.540
1,12:11,2,5,SDG 27,0,7,Ryan Mathews left tackle for 6 yards (tackle by Bernard Pollard and Eugene Wilson),0.540,1.140
1,11:30,1,10,SDG 33,0,7,Philip Rivers sacked by Mario Williams and Antonio Smith for -5 yards,1.140,-0.080
1,10:51,2,15,SDG 28,0,7,Ryan Mathews right end for 5 yards (tackle by Zach Diles),-0.080,-0.100
1,10:08,3,10,SDG 33,0,7,Philip Rivers pass complete short left to Patrick Crayton for 12 yards (tackle by Glover Quin),-0.100,1.930
,,,,,,,"HOU challenged the pass completion ruling, and the play was upheld.",,
1,9:36,1,10,SDG 45,6,7,"Philip Rivers pass complete deep right to Seyi Ajirotutu for 55 yards, touchdown",1.930,7.000
1,,,,HOU 2,7,7,Kris Brown kicks extra point good,0.000,0.000
1,,,,SDG 30,7,7,"Kris Brown kicks off 70 yards, returned by Jacoby Jones for 26 yards (tackle by Donald Strickland)",0.000,0.670
1,9:21,1,10,HOU 26,7,7,Arian Foster right guard for 15 yards (tackle by Eric Weddle),0.670,1.660
1,8:59,1,10,HOU 41,7,7,Arian Foster left guard for -1 yards (tackle by Antonio Garay and Steve Gregory),1.660,0.990
1,8:28,2,11,HOU 40,7,7,Matt Schaub pass complete short left to Joel Dreessen for 4 yards (tackle by Antwan Applewhite),0.990,0.830
1,7:47,3,7,HOU 44,7,7,"Matt Schaub pass incomplete deep right intended for Kevin Walter. Penalty on Quentin Jammer: Defensive Pass Interfere, 31 yards (no play)",0.830,3.910
1,7:39,1,10,SDG 25,7,7,Arian Foster left end for 5 yards (tackle by Kevin Burnett),3.910,4.040
1,7:20,2,5,SDG 20,7,7,Arian Foster middle for 4 yards (tackle by Antoine Cason),4.040,4.060
1,6:45,3,1,SDG 16,7,7,Matt Schaub middle for 1 yard (tackle by Antwan Barnes),4.060,4.580
1,6:11,1,10,SDG 15,7,7,Arian Foster right tackle for -1 yards (tackle by Eric Weddle),4.580,3.810
1,5:35,2,11,SDG 16,7,7,Arian Foster middle for 6 yards (tackle by Quentin Jammer and Vaughn Martin),3.810,4.000
1,4:56,3,5,SDG 10,7,7,Matt Schaub pass incomplete short left intended for Jacoby Jones (defended by Eric Weddle),4.000,2.810
1,4:50,4,5,SDG 10,7,10,Neil Rackers 27 yard field goal good,2.810,3.000
1,,,,HOU 30,7,10,"Neil Rackers kicks off 78 yards, touchback",0.000,0.280
1,4:47,1,10,SDG 20,7,10,Philip Rivers pass complete short left to Patrick Crayton for 11 yards (tackle by Eugene Wilson),0.280,1.000
1,4:09,1,10,SDG 31,7,10,Ryan Mathews middle for 8 yards (tackle by Bernard Pollard and Zach Diles),1.000,1.540
1,3:34,2,2,SDG 39,7,10,Ryan Mathews middle for 2 yards (tackle by Brian Cushing and Zach Diles),1.540,1.660
1,2:50,1,10,SDG 41,7,10,Philip Rivers pass complete short left to Kion Wilson for 37 yards (tackle by Bernard Pollard),1.660,4.110
1,2:50,1,10,HOU 22,7,10,Ryan Mathews right end for 11 yards,4.110,4.840
1,1:14,1,10,HOU 11,13,10,"Philip Rivers pass complete short middle to Randy McMichael for 11 yards, touchdown. Penalty on Glover Quin: Defensive Holding (Declined)",4.840,7.000
1,,,,HOU 2,14,10,Kris Brown kicks extra point good,0.000,0.000
1,,,,SDG 30,14,10,"Kris Brown kicks off 65 yards, returned by Jacoby Jones for 27 yards (tackle by Tyrone Carter)",0.000,1.070
1,1:01,1,10,HOU 32,14,10,Matt Schaub pass incomplete short middle intended for Andre Johnson (defended by Eric Weddle),1.070,0.530
1,0:55,2,10,HOU 32,14,10,Derrick Ward middle for 6 yards (tackle by Quentin Jammer and Steve Gregory),0.530,0.630
1,0:55,3,4,HOU 38,14,10,Matt Schaub pass incomplete short left intended for Joel Dreessen,0.630,-0.850
1,0:13,4,4,HOU 38,14,10,Matt Turk punts 34 yards,-0.850,-0.810
Quarter,Time,Down,ToGo,Location,SDG,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SDG 28,14,10,Philip Rivers pass complete short middle to Ryan Mathews for 13 yards (tackle by Kevin Bentley and Kareem Jackson),0.810,1.660
2,14:20,1,10,SDG 41,14,10,"Ryan Mathews right guard for 3 yards (tackle by Bernard Pollard). Ryan Mathews fumbles (forced by Bernard Pollard), recovered by Glover Quin at SDG-44 (tackle by Patrick Crayton)",1.660,-2.650
2,14:12,1,10,SDG 44,14,10,Matt Schaub pass incomplete short right intended for Arian Foster,2.650,2.110
2,14:06,2,10,SDG 44,14,10,Arian Foster right end for 1 yard (tackle by Quentin Jammer),2.110,1.550
2,13:38,3,9,SDG 43,14,10,Matt Schaub pass complete short right to Arian Foster for 10 yards (tackle by Eric Weddle),1.550,3.380
2,12:53,1,10,SDG 33,14,10,Arian Foster left tackle for 14 yards (tackle by Kevin Burnett),3.380,4.310
2,12:18,1,10,SDG 19,14,10,Arian Foster left tackle for 5 yards (tackle by Luis Castillo),4.310,4.530
2,11:40,2,5,SDG 14,14,10,Arian Foster left tackle for 4 yards (tackle by Antoine Cason and Eric Weddle),4.530,4.690
2,11:04,3,1,SDG 10,14,10,Arian Foster middle for 2 yards (tackle by Tyrone Carter and Travis Johnson),4.690,5.370
2,10:31,1,8,SDG 8,14,10,"Matt Schaub pass incomplete short right intended for Andre Johnson. Penalty on Quentin Jammer: Defensive Pass Interfere, 6 yards (no play)",5.370,6.740
2,10:27,1,2,SDG 2,14,16,"Arian Foster left guard for 2 yards, touchdown",6.740,7.000
2,,,,SDG 2,14,17,Neil Rackers kicks extra point good,0.000,0.000
2,,,,HOU 30,14,17,"Neil Rackers kicks off 72 yards, returned by Darren Sproles for 22 yards (tackle by James Casey)",0.000,0.280
2,10:17,1,10,SDG 20,14,17,Ryan Mathews middle for 2 yards (tackle by Brian Cushing and Kevin Bentley),0.280,0.000
2,9:33,2,8,SDG 22,14,17,Philip Rivers pass complete short right to Jacob Hester for 10 yards (tackle by Eugene Wilson and Kevin Bentley),0.000,1.070
2,8:50,1,10,SDG 32,14,17,Philip Rivers pass complete short left to Seyi Ajirotutu for 15 yards (tackle by Kareem Jackson),1.070,2.060
2,8:15,1,10,SDG 47,14,17,Philip Rivers pass complete short middle to Ryan Mathews for 5 yards (tackle by Kevin Bentley and Zach Diles),2.060,2.190
2,7:35,2,5,HOU 48,14,17,Mike Tolbert left tackle for no gain (tackle by Bernard Pollard and Zach Diles),2.190,1.490
2,6:50,3,5,HOU 48,14,17,Philip Rivers pass incomplete short right intended for Gary Banks,1.490,0.070
2,6:45,4,5,HOU 48,14,17,"Mike Scifres punts 38 yards, fair catch by Jacoby Jones",0.070,0.380
2,6:38,1,10,HOU 10,14,17,Matt Schaub pass complete deep middle to James Casey for 33 yards (tackle by Tyrone Carter),-0.380,1.800
2,6:00,1,10,HOU 43,14,17,Matt Schaub pass complete short right to Andre Johnson for 12 yards (tackle by Antoine Cason),1.800,2.590
