Unnamed: 0,OAK,DET
First Downs,18,14
Rush-Yds-TDs,26-94-1,33-112-1
Cmp-Att-Yd-TD-INT,21-39-190-0-3,13-21-117-1-1
Sacked-Yards,3-19,0-0
Net Pass Yards,171,117
Total Yards,265,229
Fumbles-Lost,3-1,3-1
Turnovers,4,2
Penalties-Yards,8-51,3-30
Third Down Conv.,5-14,4-13
Fourth Down Conv.,3-3,0-0
Time of Possession,30:46,29:14
