Quarter,Time,Tm,Detail,OAK,DET
1.0,12:54,Lions,Jason Hanson 54 yard field goal,0,3
,0:58,Lions,Olandis Gary 2 yard rush (Jason Hanson kick),0,10
2.0,0:00,Raiders,Sebastian Janikowski 55 yard field goal,3,10
3.0,11:06,Lions,Cory Schlesinger 33 yard pass from Joey Harrington (Jason Hanson kick),3,17
,2:55,Raiders,Charlie Garner 7 yard rush (Sebastian Janikowski kick),10,17
4.0,12:45,Lions,Jason Hanson 42 yard field goal,10,20
,9:14,Raiders,Sebastian Janikowski 24 yard field goal,13,20
,5:52,Lions,Jason Hanson 39 yard field goal,13,23
