Quarter,Time,Tm,Detail,HOU,BAL
1.0,7:06,Texans,Randy Bullock 27 yard field goal,3,0
2.0,14:56,Texans,Randy Bullock 29 yard field goal,6,0
,4:11,Ravens,Justin Tucker 28 yard field goal,6,3
,2:39,Ravens,Daryl Smith 37 yard interception return (Justin Tucker kick),6,10
,0:45,Ravens,Tandon Doss 82 yard punt return (Justin Tucker kick),6,17
,0:00,Texans,Randy Bullock 47 yard field goal,9,17
3.0,11:05,Ravens,Bernard Pierce 1 yard rush (Justin Tucker kick),9,24
4.0,9:09,Ravens,Justin Tucker 45 yard field goal,9,27
,1:08,Ravens,Justin Tucker 43 yard field goal,9,30
