Unnamed: 0,HOU,BAL
First Downs,18,16
Rush-Yds-TDs,23-94-0,31-75-1
Cmp-Att-Yd-TD-INT,25-35-194-0-1,16-24-171-0-0
Sacked-Yards,3-24,2-10
Net Pass Yards,170,161
Total Yards,264,236
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,14-113,10-87
Third Down Conv.,3-12,8-16
Fourth Down Conv.,0-1,0-0
Time of Possession,30:36,29:24
