Quarter,Time,Tm,Detail,SEA,MIN
1.0,10:26,Seahawks,D.K. Metcalf 10 yard pass from Russell Wilson (Jason Myers kick),7,0
,6:37,Vikings,Tyler Conklin 7 yard pass from Kirk Cousins (Greg Joseph kick),7,7
,0:27,Seahawks,Jason Myers 53 yard field goal,10,7
2.0,11:12,Seahawks,Chris Carson 30 yard rush (Jason Myers kick),17,7
,5:28,Vikings,Adam Thielen 15 yard pass from Kirk Cousins (Greg Joseph kick),17,14
,0:16,Vikings,Justin Jefferson 3 yard pass from Kirk Cousins (Greg Joseph kick),17,21
3.0,6:34,Vikings,Greg Joseph 43 yard field goal,17,24
4.0,13:47,Vikings,Greg Joseph 33 yard field goal,17,27
,4:31,Vikings,Greg Joseph 20 yard field goal,17,30
