Unnamed: 0,SEA,MIN
First Downs,21,28
Rush-Yds-TDs,18-106-1,34-140-0
Cmp-Att-Yd-TD-INT,23-32-298-1-0,30-38-323-3-0
Sacked-Yards,2-15,1-10
Net Pass Yards,283,313
Total Yards,389,453
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,4-35,4-40
Third Down Conv.,3-8,9-14
Fourth Down Conv.,0-1,0-0
Time of Possession,24:07,35:53
