Quarter,Time,Tm,Detail,JAX,TEN
1.0,13:22,Titans,Jonnu Smith 13 yard pass from Ryan Tannehill (Stephen Gostkowski kick),0,7
,5:43,Titans,Corey Davis 9 yard pass from Ryan Tannehill (Stephen Gostkowski kick),0,14
,3:43,Jaguars,Tyler Eifert 19 yard pass from Gardner Minshew II (Josh Lambo kick),7,14
2.0,1:47,Titans,Jonnu Smith 4 yard pass from Ryan Tannehill (Stephen Gostkowski kick),7,21
,0:12,Jaguars,Josh Lambo 35 yard field goal,10,21
,0:00,Titans,Stephen Gostkowski 51 yard field goal,10,24
3.0,7:04,Jaguars,James Robinson 17 yard rush (Josh Lambo kick),17,24
,2:04,Titans,Adam Humphries 18 yard pass from Ryan Tannehill (Stephen Gostkowski kick failed),17,30
4.0,14:16,Jaguars,Keelan Cole 2 yard pass from Gardner Minshew II (Josh Lambo kick failed),23,30
,7:25,Jaguars,Chris Thompson 14 yard pass from Gardner Minshew II (Josh Lambo kick),30,30
,1:36,Titans,Stephen Gostkowski 49 yard field goal,30,33
