Unnamed: 0,JAX,TEN
First Downs,30,23
Rush-Yds-TDs,27-165-1,34-123-0
Cmp-Att-Yd-TD-INT,30-45-339-3-2,18-24-239-4-0
Sacked-Yards,2-24,1-8
Net Pass Yards,315,231
Total Yards,480,354
Fumbles-Lost,2-0,0-0
Turnovers,2,0
Penalties-Yards,8-60,4-30
Third Down Conv.,10-14,7-11
Fourth Down Conv.,1-1,0-0
Time of Possession,33:22,26:38
