Unnamed: 0,SDG,OAK
First Downs,15,17
Rush-Yds-TDs,33-120-0,29-122-1
Cmp-Att-Yd-TD-INT,15-27-140-2-0,23-31-224-1-1
Sacked-Yards,1-7,4-30
Net Pass Yards,133,194
Total Yards,253,316
Fumbles-Lost,1-1,4-3
Turnovers,1,4
Penalties-Yards,6-75,8-60
Third Down Conv.,3-13,3-12
Fourth Down Conv.,0-0,0-3
Time of Possession,28:07,31:53
