Quarter,Time,Down,ToGo,Location,DAL,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,GNB 30,0,0,"Mason Crosby kicks off 51 yards, returned by Scott Chandler for 11 yards (tackle by Brett Swain)",0.000,0.940
1,14:55,1,10,DAL 30,0,0,Marion Barber middle for 7 yards (tackle by Frank Zombo),0.940,1.340
1,14:24,2,3,DAL 37,0,0,Marion Barber right tackle for 2 yards (tackle by Charlie Peprah and Clay Matthews),1.340,0.890
1,13:43,3,1,DAL 39,0,0,Marion Barber right tackle for no gain (tackle by Ryan Pickett),0.890,-0.780
1,13:11,4,1,DAL 39,0,0,"Mat McBriar punts 51 yards, returned by Tramon Williams for 8 yards (tackle by Barry Church)",-0.780,-0.040
1,12:59,1,10,GNB 18,0,0,Aaron Rodgers pass complete short middle to Brandon Jackson for 3 yards (tackle by Bradie James),0.040,0.010
1,12:25,2,7,GNB 21,0,0,Brandon Jackson left tackle for 5 yards (tackle by Igor Olshansky),0.010,-0.140
1,11:44,3,2,GNB 26,0,0,Aaron Rodgers pass complete short left to Jordy Nelson for 3 yards (tackle by Mike Jenkins),-0.140,0.870
1,11:07,1,10,GNB 29,0,0,Aaron Rodgers for 5 yards (tackle by Jay Ratliff),0.870,1.000
1,10:41,2,5,GNB 34,0,0,John Kuhn right tackle for 3 yards (tackle by Anthony Spencer and Bradie James),1.000,0.700
1,10:02,,,,0,0,Timeout #1 by Dallas Cowboys,0.000,0.700
1,10:02,3,2,GNB 37,0,0,"Aaron Rodgers pass complete short right to James Jones for 13 yards (tackle by Barry Church). James Jones fumbles (forced by Barry Church), recovered by Jordy Nelson at DAL-48 and returned for 3 yards",0.700,2.590
1,9:17,1,10,DAL 45,0,0,Brandon Jackson right tackle for no gain (tackle by Igor Olshansky and Marcus Spears),2.590,2.040
1,8:38,2,10,DAL 45,0,0,Aaron Rodgers pass complete short left to Greg Jennings for 3 yards (tackle by Orlando Scandrick),2.040,1.750
1,7:59,3,7,DAL 42,0,0,Aaron Rodgers pass complete short right to James Jones for 11 yards (tackle by Bryan McCann),1.750,3.510
1,7:20,1,10,DAL 31,0,0,Aaron Rodgers pass complete short left to Tom Crabtree for 4 yards (tackle by Gerald Sensabaugh),3.510,3.510
1,6:47,2,6,DAL 27,0,0,John Kuhn middle for 3 yards (tackle by Keith Brooking and Bradie James),3.510,3.200
1,6:09,3,3,DAL 24,0,0,Aaron Rodgers sacked by Orlando Scandrick and Alan Ball for -12 yards,3.200,0.880
1,5:40,4,15,DAL 36,0,0,"Mason Crosby 54 yard field goal no good, blocked by Jay Ratliff, recovered by Marcus Spears and returned for 54 yards. Penalty on Terence Newman: Illegal Kick, 10 yards",0.880,-0.040
1,5:29,1,10,DAL 18,0,0,Jon Kitna pass complete short right to Jason Witten for 3 yards (tackle by Tramon Williams),0.040,0.010
1,4:51,2,7,DAL 21,0,0,Jon Kitna pass complete short right to Martellus Bennett for -2 yards (tackle by Charlie Peprah),0.010,-1.040
1,4:06,3,9,DAL 19,0,0,Jon Kitna pass complete short left to Jason Witten for 11 yards (tackle by Nick Collins),-1.040,0.940
1,3:24,1,10,DAL 30,0,0,Jon Kitna pass complete short left to Dez Bryant for 5 yards (tackle by Tramon Williams),0.940,1.070
1,2:41,2,5,DAL 35,0,0,Jon Kitna pass incomplete deep left intended for Miles Austin is intercepted by Sam Shields at GNB-37,1.070,-1.400
1,2:35,1,10,GNB 37,0,0,"Aaron Rodgers pass incomplete. Penalty on Orlando Scandrick: Defensive Holding, 5 yards (no play)",1.400,1.730
1,2:27,1,10,GNB 42,0,0,Brandon Jackson middle for 3 yards (tackle by Anthony Spencer),1.730,1.590
1,1:47,2,7,GNB 45,0,0,Brandon Jackson right end for 7 yards (tackle by Keith Brooking),1.590,2.390
1,1:20,1,10,DAL 48,0,0,John Kuhn right tackle for 4 yards (tackle by Bradie James),2.390,2.390
1,0:42,2,6,DAL 44,0,0,Aaron Rodgers pass incomplete deep right intended for Jordy Nelson,2.390,1.690
1,0:37,3,6,DAL 44,0,0,Aaron Rodgers for 27 yards (tackle by Gerald Sensabaugh),1.690,4.440
1,0:05,1,10,DAL 17,0,0,John Kuhn right guard for 2 yards (tackle by Sean Lee),4.440,4.150
Quarter,Time,Down,ToGo,Location,DAL,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,DAL 15,0,0,Aaron Rodgers pass complete short left to James Jones for 6 yards (tackle by Mike Jenkins and Orlando Scandrick),4.150,4.570
2,14:20,3,2,DAL 9,0,6,"Aaron Rodgers pass complete short middle to Brandon Jackson for 9 yards, touchdown",4.570,7.000
2,,,,DAL 2,0,7,Mason Crosby kicks extra point good,0.000,0.000
2,,,,GNB 30,0,7,"Mason Crosby kicks off 67 yards, returned by Bryan McCann for 29 yards (tackle by Nick Collins)",0.000,1.070
2,14:07,1,10,DAL 32,0,7,Felix Jones left tackle for 1 yard (tackle by Ryan Pickett),1.070,0.660
2,13:30,2,9,DAL 33,0,7,Jon Kitna sacked by Clay Matthews for -8 yards,0.660,-1.090
2,12:59,3,17,DAL 25,0,7,Jon Kitna pass complete short right to Miles Austin for 10 yards (tackle by A.J. Hawk),-1.090,-1.040
2,12:26,4,7,DAL 35,0,7,"Mat McBriar punts 65 yards, touchback",-1.040,-0.280
2,12:18,1,10,GNB 20,0,7,Aaron Rodgers pass complete short right to Greg Jennings for 10 yards (tackle by Mike Jenkins),0.280,0.940
2,11:35,1,10,GNB 30,0,7,John Kuhn left tackle for 1 yard (tackle by Igor Olshansky),0.940,0.530
2,10:54,2,9,GNB 31,0,7,Aaron Rodgers right end for 12 yards (tackle by Jay Ratliff),0.530,1.800
2,10:22,1,10,GNB 43,0,7,Brandon Jackson left end for 2 yards (tackle by Stephen Bowen and Keith Brooking),1.800,1.520
2,9:43,2,8,GNB 45,0,7,Aaron Rodgers pass complete short left to James Jones for 22 yards (tackle by Gerald Sensabaugh),1.520,3.380
2,8:55,1,10,DAL 33,0,7,Aaron Rodgers pass complete deep right to James Jones for 31 yards (tackle by Terence Newman). Penalty on Terence Newman: Illegal Contact (Declined),3.380,6.740
2,8:32,1,2,DAL 2,0,13,"Brandon Jackson right tackle for 2 yards, touchdown",6.740,7.000
,,,,,,,"DAL challenged the runner broke the plane ruling, and the play was upheld.",,
2,,,,DAL 2,0,14,Mason Crosby kicks extra point good,0.000,0.000
2,,,,GNB 30,0,14,"Mason Crosby kicks off 64 yards, returned by Bryan McCann for 33 yards (tackle by Brandon Underwood)",0.000,1.530
2,8:17,1,10,DAL 39,0,14,Jon Kitna pass incomplete deep middle intended for Miles Austin,1.530,0.990
2,8:11,2,10,DAL 39,0,14,Jon Kitna pass complete short left to Dez Bryant for 9 yards (tackle by Desmond Bishop),0.990,1.490
2,7:32,3,1,DAL 48,0,14,Marion Barber middle for -3 yards (tackle by Clay Matthews),1.490,-0.390
