Unnamed: 0,DAL,GNB
First Downs,12,26
Rush-Yds-TDs,14-39-0,35-138-1
Cmp-Att-Yd-TD-INT,19-30-183-1-2,27-35-289-3-0
Sacked-Yards,4-17,1-12
Net Pass Yards,166,277
Total Yards,205,415
Fumbles-Lost,4-2,2-0
Turnovers,4,0
Penalties-Yards,5-40,2-20
Third Down Conv.,4-10,10-15
Fourth Down Conv.,0-0,0-1
Time of Possession,22:04,37:56
