Quarter,Time,Tm,Detail,DAL,GNB
2.0,14:15,Packers,Brandon Jackson 9 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
,8:26,Packers,Brandon Jackson 2 yard rush (Mason Crosby kick),0,14
,2:13,Packers,Greg Jennings 8 yard pass from Aaron Rodgers (Mason Crosby kick),0,21
,2:04,Packers,Nick Collins 26 yard fumble return (Mason Crosby kick),0,28
,0:16,Cowboys,Dez Bryant 2 yard pass from Jon Kitna (David Buehler kick),7,28
3.0,8:38,Packers,James Jones 10 yard pass from Aaron Rodgers (Mason Crosby kick),7,35
4.0,13:08,Packers,Mason Crosby 26 yard field goal,7,38
,11:07,Packers,Clay Matthews 62 yard interception return (Mason Crosby kick),7,45
