Unnamed: 0,PIT,HOU
First Downs,20,13
Rush-Yds-TDs,28-104-2,28-176-0
Cmp-Att-Yd-TD-INT,20-30-226-2-0,8-17-93-1-1
Sacked-Yards,0-0,7-42
Net Pass Yards,226,51
Total Yards,330,227
Fumbles-Lost,0-0,3-1
Turnovers,0,2
Penalties-Yards,4-24,7-80
Third Down Conv.,7-12,3-12
Fourth Down Conv.,0-0,0-1
Time of Possession,30:56,29:04
