Quarter,Time,Tm,Detail,PIT,HOU
1.0,10:40,Steelers,Chris Boswell 34 yard field goal,3,0
,6:59,Steelers,Justin Hunter 5 yard pass from Ben Roethlisberger (Chris Boswell kick),10,0
2.0,4:14,Steelers,Roosevelt Nix 1 yard rush (Chris Boswell kick),17,0
,0:53,Steelers,Chris Boswell 36 yard field goal,20,0
3.0,1:48,Steelers,Le'Veon Bell 10 yard rush (Chris Boswell kick),27,0
4.0,12:30,Texans,DeAndre Hopkins 3 yard pass from T.J. Yates (pass failed),27,6
,9:26,Steelers,JuJu Smith-Schuster 18 yard pass from Ben Roethlisberger (Chris Boswell kick),34,6
