Unnamed: 0,HOU,DEN
First Downs,14,19
Rush-Yds-TDs,25-140-0,35-190-2
Cmp-Att-Yd-TD-INT,22-41-131-0-0,14-25-157-1-0
Sacked-Yards,1-0,0-0
Net Pass Yards,131,157
Total Yards,271,347
Fumbles-Lost,4-2,1-0
Turnovers,2,0
Penalties-Yards,2-15,7-83
Third Down Conv.,7-18,3-11
Fourth Down Conv.,0-2,0-0
Time of Possession,29:22,30:38
