Quarter,Time,Tm,Detail,MIN,TAM
2,0:00,Vikings,Blair Walsh 46 yard field goal,3,0
3,7:09,Vikings,Greg Jennings 17 yard pass from Teddy Bridgewater (Blair Walsh kick),10,0
4,14:12,Buccaneers,Patrick Murray 54 yard field goal,10,3
,7:19,Buccaneers,Patrick Murray 45 yard field goal,10,6
,2:02,Buccaneers,Austin Seferian-Jenkins 7 yard pass from Mike Glennon (Patrick Murray kick),10,13
,0:00,Vikings,Blair Walsh 38 yard field goal,13,13
OT,14:43,Vikings,Anthony Barr 27 yard defensive fumble return,19,13
