Unnamed: 0,MIN,TAM
First Downs,22,15
Rush-Yds-TDs,22-97-0,23-66-0
Cmp-Att-Yd-TD-INT,24-42-241-1-0,19-28-171-1-1
Sacked-Yards,1-6,5-12
Net Pass Yards,235,159
Total Yards,332,225
Fumbles-Lost,0-0,2-1
Turnovers,0,2
Penalties-Yards,6-59,8-52
Third Down Conv.,6-15,1-12
Fourth Down Conv.,0-0,2-2
Time of Possession,30:34,29:43
