Quarter,Time,Tm,Detail,TAM,HOU
1.0,4:58,Texans,DeAndre Hopkins 5 yard pass from Ryan Mallett (Randy Bullock kick),0,7
2.0,11:15,Buccaneers,Kyle Brindza 58 yard field goal,3,7
,3:51,Buccaneers,Charles Sims 32 yard pass from Jameis Winston (Kyle Brindza kick failed),9,7
3.0,12:37,Texans,Randy Bullock 39 yard field goal,9,10
4.0,9:14,Texans,Alfred Blue 20 yard rush (Randy Bullock kick failed),9,16
,1:12,Texans,Randy Bullock 19 yard field goal,9,19
