Quarter,Time,Tm,Detail,DAL,NOR
1.0,11:24,Cowboys,Miles Austin 49 yard pass from Tony Romo (Nick Folk kick),7,0
,5:15,Cowboys,Marion Barber III 3 yard rush (Nick Folk kick),14,0
2.0,7:23,Saints,Garrett Hartley 34 yard field goal,14,3
,0:04,Cowboys,Nick Folk 44 yard field goal,17,3
3.0,8:00,Cowboys,Marion Barber III 2 yard rush (Nick Folk kick),24,3
4.0,12:35,Saints,Mike Bell 1 yard rush (Garrett Hartley kick),24,10
,8:00,Saints,Lance Moore 7 yard pass from Drew Brees (Garrett Hartley kick),24,17
