Unnamed: 0,DAL,NOR
First Downs,24,23
Rush-Yds-TDs,36-145-2,13-65-1
Cmp-Att-Yd-TD-INT,22-34-312-1-0,29-45-298-1-1
Sacked-Yards,3-18,4-27
Net Pass Yards,294,271
Total Yards,439,336
Fumbles-Lost,0-0,2-2
Turnovers,0,3
Penalties-Yards,6-49,4-30
Third Down Conv.,8-15,1-7
Fourth Down Conv.,0-0,1-1
Time of Possession,36:26,23:34
