Unnamed: 0,NYG,TAM
First Downs,16,20
Rush-Yds-TDs,30-100-1,22-69-1
Cmp-Att-Yd-TD-INT,20-27-185-2-0,23-39-207-1-2
Sacked-Yards,1-8,1-5
Net Pass Yards,177,202
Total Yards,277,271
Fumbles-Lost,0-0,2-1
Turnovers,0,3
Penalties-Yards,5-41,4-25
Third Down Conv.,5-12,9-14
Fourth Down Conv.,0-0,0-0
Time of Possession,33:31,26:29
