Quarter,Time,Down,ToGo,Location,NYG,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,TAM 30,0,0,"Matt Bryant kicks off 56 yards, returned by Domenik Hixon for 18 yards (tackle by Patrick Chukwurah)",0.000,1.070
1,14:54,1,10,NYG 32,0,0,Eli Manning pass complete short right to Kevin Boss for 3 yards (tackle by Tanard Jackson),1.070,0.930
1,14:06,2,7,NYG 35,0,0,Brandon Jacobs left end for -1 yards (tackle by Barrett Ruud),0.930,0.100
1,13:21,3,8,NYG 34,0,0,Eli Manning pass incomplete short right intended for David Tyree,0.100,-1.110
1,13:17,4,8,NYG 34,0,0,"Jeff Feagles punts 44 yards, fair catch by Ike Hilliard",-1.110,-0.410
1,13:10,1,10,TAM 22,0,0,Earnest Graham up the middle for 2 yards (tackle by Reggie Torbor and Fred Robbins),0.410,0.140
1,12:47,2,8,TAM 24,0,0,Earnest Graham left guard for 4 yards (tackle by Aaron Ross),0.140,-0.030
1,12:10,3,4,TAM 28,0,0,Jeff Garcia pass complete short left to Joey Galloway for 9 yards (tackle by Osi Umenyiora),-0.030,1.400
1,11:30,1,10,TAM 37,0,0,Joey Galloway right end for -4 yards (tackle by Reggie Torbor and Michael Strahan),1.400,0.320
1,10:57,2,14,TAM 33,0,0,Jeff Garcia pass complete short left to Michael Clayton for 13 yards (tackle by James Butler),0.320,1.360
1,10:26,3,1,TAM 46,0,0,B.J. Askew up the middle for 3 yards (tackle by Gerris Wilkinson),1.360,2.190
1,9:46,1,10,TAM 49,0,0,Jeff Garcia pass incomplete short right intended for Alex Smith,2.190,1.650
1,9:40,2,10,TAM 49,0,0,"Penalty on Jeff Garcia: Delay of Game, 5 yards (no play)",1.650,0.970
1,9:40,2,15,TAM 44,0,0,Jeff Garcia pass incomplete short middle intended for Earnest Graham,0.970,0.300
1,9:35,3,15,TAM 44,0,0,Jeff Garcia pass incomplete deep right intended for Joey Galloway,0.300,-0.460
1,9:29,4,15,TAM 44,0,0,Josh Bidwell punts 42 yards,-0.460,0.280
1,9:17,1,10,NYG 14,0,0,Brandon Jacobs up the middle for 3 yards (tackle by Kevin Carter and Jermaine Phillips),-0.280,-0.370
1,8:34,2,7,NYG 17,0,0,Eli Manning pass complete short left to Steve Smith for 6 yards (tackle by Derrick Brooks),-0.370,-0.320
1,7:50,3,1,NYG 23,0,0,Brandon Jacobs right guard for -1 yards (tackle by Kevin Carter and Jovan Haye),-0.320,-1.900
1,7:11,4,2,NYG 22,0,0,"Jeff Feagles punts 33 yards, returned by Ike Hilliard for 1 yard (tackle by Torrance Daniels)",-1.900,-1.990
1,7:02,1,10,TAM 46,0,0,Jeff Garcia pass incomplete deep left intended for Joey Galloway,1.990,1.450
1,6:56,2,10,TAM 46,0,0,Earnest Graham right guard for 11 yards (tackle by Gibril Wilson),1.450,2.720
1,6:11,1,10,NYG 43,0,0,Jeff Garcia pass complete short left to Michael Clayton for 11 yards (tackle by James Butler),2.720,3.450
1,5:30,1,10,NYG 32,0,0,Earnest Graham up the middle for 7 yards (tackle by Gerris Wilkinson and Gibril Wilson),3.450,3.850
1,4:50,2,3,NYG 25,0,0,Earnest Graham up the middle for 2 yards (tackle by Justin Tuck and Osi Umenyiora),3.850,3.400
1,4:19,3,1,NYG 23,0,0,Jeff Garcia up the middle for 2 yards (tackle by Barry Cofield),3.400,4.170
1,3:42,1,10,NYG 21,0,0,Earnest Graham right guard for 1 yard (tackle by Michael Strahan),4.170,3.760
1,3:08,2,9,NYG 20,0,0,Jeff Garcia pass complete short middle to Earnest Graham for 14 yards (tackle by Antonio Pierce),3.760,5.830
1,2:28,1,6,NYG 6,0,0,Earnest Graham right guard for 5 yards (tackle by Michael Strahan),5.830,5.910
1,1:53,2,1,NYG 1,0,6,"Earnest Graham left guard for 1 yard, touchdown",5.910,7.000
1,,,,NYG 2,0,7,Matt Bryant kicks extra point good,0.000,0.000
1,,,,TAM 30,0,7,"Matt Bryant kicks off 64 yards, returned by Domenik Hixon for 19 yards (tackle by Ronde Barber)",0.000,0.610
1,1:43,1,10,NYG 25,0,7,Brandon Jacobs right tackle for -4 yards (tackle by Jovan Haye),0.610,-0.480
1,0:59,,,,0,7,Timeout #1 by New York Giants,0.000,-0.480
1,0:59,2,14,NYG 21,0,7,"Penalty on Gaines Adams: Neutral Zone Infraction, 5 yards (no play)",-0.480,0.200
