Quarter,Time,Tm,Detail,NYG,TAM
1.0,1:49,Buccaneers,Earnest Graham 1 yard rush (Matt Bryant kick),0,7
2.0,10:02,Giants,Brandon Jacobs 5 yard pass from Eli Manning (Lawrence Tynes kick),7,7
,4:06,Giants,Brandon Jacobs 8 yard rush (Lawrence Tynes kick),14,7
3.0,9:56,Giants,Lawrence Tynes 25 yard field goal,17,7
4.0,8:03,Giants,Amani Toomer 4 yard pass from Eli Manning (Lawrence Tynes kick),24,7
,3:25,Buccaneers,Alex Smith 6 yard pass from Jeff Garcia (Matt Bryant kick),24,14
