Quarter,Time,Down,ToGo,Location,ATL,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Connor Barth kicks off 60 yards, returned by Andre Roberts for 63 yards (tackle by Cre'von LeBlanc). Penalty on Kemal Ishmael: Illegal Block Above the Waist, 8 yards",0.000,0.380
1,14:48,1,10,ATL 8,0,0,Devonta Freeman right end for 6 yards (tackle by Jerrell Freeman),-0.380,-0.320
1,14:10,2,4,ATL 14,0,0,Matt Ryan pass complete short left to Mohamed Sanu for 4 yards (tackle by Kyle Fuller),-0.320,0.040
1,13:13,1,10,ATL 18,0,0,Matt Ryan pass complete short middle to Julio Jones for 19 yards (tackle by Marcus Cooper),0.040,1.400
1,12:33,1,10,ATL 37,0,0,Matt Ryan pass complete short right to Taylor Gabriel for 14 yards (tackle by Marcus Cooper),1.400,2.320
1,11:53,1,10,CHI 49,0,0,Tevin Coleman left end for 3 yards (tackle by Quintin Demps),2.320,2.190
1,11:23,2,7,CHI 46,0,0,Matt Ryan pass complete short middle to Tevin Coleman for 3 yards (tackle by Willie Young),2.190,1.880
1,10:39,3,4,CHI 43,0,0,Devonta Freeman left tackle for 5 yards (tackle by Leonard Floyd),1.880,3.050
1,10:01,1,10,CHI 38,0,0,Matt Ryan pass complete short right to Mohamed Sanu for 7 yards (tackle by Leonard Floyd and Jerrell Freeman),3.050,3.450
1,9:24,2,3,CHI 31,0,0,Devonta Freeman right tackle for 2 yards (tackle by Jerrell Freeman and Leonard Floyd),3.450,3.010
1,8:40,3,1,CHI 29,0,0,Tevin Coleman right tackle for -1 yards (tackle by Jerrell Freeman),3.010,1.500
1,8:01,4,2,CHI 30,3,0,Matt Bryant 48 yard field goal good,1.500,3.000
1,7:56,,,ATL 35,3,0,"Matthew Bosher kicks off 62 yards, returned by Benny Cunningham for 23 yards (tackle by Derrick Coleman)",0.000,-0.670
1,7:49,1,10,CHI 26,3,0,Jordan Howard left guard for 1 yard (tackle by De'Vondre Campbell),0.670,0.270
1,7:15,2,9,CHI 27,3,0,"Mike Glennon pass complete short left to Jordan Howard for 3 yards (tackle by Duke Riley). Penalty on Cody Whitehair: Illegal Use of Hands, 10 yards (no play)",0.270,-1.220
1,6:38,2,19,CHI 17,3,0,Mike Glennon pass complete short middle to Tarik Cohen for 8 yards (tackle by De'Vondre Campbell and Duke Riley),-1.220,-0.690
1,6:11,3,11,CHI 25,3,0,Mike Glennon pass complete short right to Zach Miller for 8 yards (tackle by Keanu Neal and Brian Poole),-0.690,-1.180
1,5:33,4,3,CHI 33,3,0,"Pat O'Donnell punts 52 yards, returned by Andre Roberts for 15 yards (tackle by Christian Jones)",-1.180,-0.940
1,5:25,1,10,ATL 30,3,0,Matt Ryan pass incomplete short left intended for Tevin Coleman,0.940,0.390
1,5:22,2,10,ATL 30,3,0,Devonta Freeman right tackle for 4 yards (tackle by Danny Trevathan),0.390,0.230
1,4:36,3,6,ATL 34,3,0,Matt Ryan pass incomplete short right intended for Mohamed Sanu,0.230,-1.110
1,4:32,4,6,ATL 34,3,0,"Matthew Bosher punts 57 yards, returned by Tarik Cohen for 14 yards (tackle by Eric Saubert)",-1.110,-0.480
1,4:19,1,10,CHI 23,3,0,Jordan Howard right end for 11 yards (tackle by Ricardo Allen),0.480,1.200
1,3:41,1,10,CHI 34,3,0,Mike Glennon pass complete short right to Tarik Cohen for -3 yards (tackle by Deion Jones),1.200,0.250
1,3:02,2,13,CHI 31,3,0,Mike Glennon pass complete short right to Tarik Cohen for 5 yards (tackle by De'Vondre Campbell),0.250,0.230
1,2:21,3,8,CHI 36,3,0,Mike Glennon pass complete short middle to Deonte Thompson for 15 yards (tackle by Robert Alford),0.230,2.320
1,1:39,1,10,ATL 49,3,0,Mike Glennon pass incomplete short right intended for Zach Miller,2.320,1.780
1,1:35,2,10,ATL 49,3,0,Tarik Cohen right end for 15 yards (tackle by Ricardo Allen),1.780,3.310
1,0:50,1,10,ATL 34,3,0,Jordan Howard left guard for 2 yards (tackle by Vic Beasley),3.310,3.040
1,0:08,2,8,ATL 32,3,0,Mike Glennon pass incomplete short left intended for Kevin White (defended by Robert Alford),3.040,2.350
1,0:04,3,8,ATL 32,3,0,Mike Glennon sacked by Vic Beasley for -4 yards,2.350,0.880
Quarter,Time,Down,ToGo,Location,ATL,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,12,ATL 36,3,3,Connor Barth 54 yard field goal good,0.880,3.000
2,14:55,,,CHI 35,3,3,"Connor Barth kicks off 65 yards, touchback",0.000,-0.610
2,14:55,1,10,ATL 25,3,3,Tevin Coleman left guard for 5 yards (tackle by Mitch Unrein),0.610,0.740
2,14:18,2,5,ATL 30,3,3,Tevin Coleman right tackle for no gain (tackle by Sam Acho),0.740,0.040
2,13:33,3,5,ATL 30,3,3,Matt Ryan pass incomplete short middle intended for Mohamed Sanu (defended by Roy Robertson-Harris),0.040,-1.370
2,13:29,4,5,ATL 30,3,3,"Matthew Bosher punts 62 yards, returned by Tarik Cohen for 14 yards (tackle by Josh Harris). Penalty on C.J. Goodwin: Unsportsmanlike Conduct, 15 yards",-1.370,-1.400
2,13:16,1,10,CHI 37,3,3,Mike Glennon sacked by Brooks Reed for -12 yards,1.400,-0.760
2,12:31,2,22,CHI 25,3,3,Mike Glennon pass complete short middle to Tarik Cohen for 2 yards (tackle by Keanu Neal),-0.760,-1.150
2,11:53,3,20,CHI 27,3,3,Mike Glennon pass complete short middle to Kevin White for 6 yards (tackle by Brian Poole),-1.150,-1.180
2,11:40,4,14,CHI 33,3,3,"Pat O'Donnell punts 59 yards, returned by Andre Roberts for 9 yards (tackle by Nick Kwiatkoski)",-1.180,0.060
2,11:28,1,10,ATL 17,3,3,Matt Ryan pass complete deep right to Julio Jones for 18 yards (tackle by Eddie Jackson),-0.060,1.270
2,10:56,1,10,ATL 35,3,3,Devonta Freeman right tackle for 1 yard (tackle by Jerrell Freeman and Mitch Unrein),1.270,0.860
2,10:13,2,9,ATL 36,3,3,Matt Ryan pass complete short middle to Taylor Gabriel for 18 yards (tackle by Quintin Demps),0.860,2.520
2,9:35,1,10,CHI 46,3,3,Matt Ryan pass complete short left to Tevin Coleman for 8 yards (tackle by Kyle Fuller),2.520,3.060
2,9:07,2,2,CHI 38,3,3,Tevin Coleman right guard for 1 yard (tackle by Eddie Goldman),3.060,2.480
2,8:22,3,1,CHI 37,3,3,Devonta Freeman left guard for 3 yards (tackle by Quintin Demps),2.480,3.310
2,7:38,1,10,CHI 34,3,3,Matt Ryan sacked by Akiem Hicks for -6 yards,3.310,1.960
2,6:54,2,16,CHI 40,3,3,Matt Ryan pass complete short middle to Julio Jones for 25 yards (tackle by Marcus Cooper),1.960,4.580
2,6:20,1,10,CHI 15,3,3,"Tevin Coleman left end for 6 yards (tackle by Bryce Callahan). Penalty on Jake Matthews: Offensive Holding, 10 yards (no play)",4.580,3.910
2,6:02,1,20,CHI 25,3,3,Tevin Coleman left tackle for 7 yards (tackle by Kyle Fuller),3.910,3.560
2,5:18,2,13,CHI 18,3,3,Matt Ryan left guard for 13 yards,3.560,6.060
2,4:34,1,5,CHI 5,9,3,"Devonta Freeman left tackle for 5 yards, touchdown",6.060,7.000
