Unnamed: 0,ATL,CHI
First Downs,18,20
Rush-Yds-TDs,23-64-1,19-125-1
Cmp-Att-Yd-TD-INT,21-30-321-1-0,26-40-213-1-0
Sacked-Yards,2-13,4-37
Net Pass Yards,308,176
Total Yards,372,301
Fumbles-Lost,0-0,2-0
Turnovers,0,0
Penalties-Yards,8-73,4-40
Third Down Conv.,5-11,5-13
Fourth Down Conv.,0-0,1-2
Time of Possession,30:34,29:26
