Quarter,Time,Tm,Detail,ATL,CHI
1.0,7:56,Falcons,Matt Bryant 48 yard field goal,3,0
2.0,14:55,Bears,Connor Barth 54 yard field goal,3,3
,4:29,Falcons,Devonta Freeman 5 yard rush (Matt Bryant kick),10,3
,0:14,Bears,Jordan Howard 4 yard rush (Connor Barth kick),10,10
3.0,2:10,Falcons,Matt Bryant 28 yard field goal,13,10
4.0,11:55,Falcons,Austin Hooper 88 yard pass from Matt Ryan (Matt Bryant kick),20,10
,7:26,Bears,Tarik Cohen 19 yard pass from Mike Glennon (Connor Barth kick),20,17
,3:24,Falcons,Matt Bryant 37 yard field goal,23,17
