Quarter,Time,Down,ToGo,Location,DEN,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Matt Bosher kicks off 68 yards, returned by Omar Bolden for 17 yards (tackle by Kevin Cone)",0.000,-0.280
1,14:55,1,10,DEN 14,0,0,Peyton Manning pass incomplete short left intended for Demaryius Thomas (defended by Dunta Robinson),-0.280,-0.750
1,14:49,2,10,DEN 14,0,0,Willis McGahee right tackle for -2 yards (tackle by Peria Jerry),-0.750,-1.650
1,14:24,3,12,DEN 12,0,0,Peyton Manning pass incomplete deep right intended for Jacob Tamme is intercepted by William Moore at DEN-34 and returned for 33 yards (tackle by Orlando Franklin),-1.650,-6.970
1,14:13,1,1,DEN 1,0,0,Michael Turner left guard for no gain (tackle by Kevin Vickerson),6.970,5.910
1,13:42,2,1,DEN 1,0,0,"Michael Turner left tackle for no gain (tackle by Keith Brooking and Mike Adams). Michael Turner fumbles (forced by Keith Brooking), recovered by Michael Turner at DEN-1",5.910,5.170
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned.",,
1,13:27,3,1,DEN 1,0,6,"Michael Turner up the middle for 1 yard, touchdown",5.170,7.000
1,13:27,,,DEN 2,0,7,Matt Bryant kicks extra point good,0.000,0.000
1,13:20,,,ATL 35,0,7,"Matt Bosher kicks off 67 yards, returned by Omar Bolden for 30 yards (tackle by Chris Hope)",0.000,0.810
1,13:14,1,10,DEN 28,0,7,"Penalty on John Abraham: Defensive Offside, 5 yards (no play)",0.810,1.540
1,12:52,1,5,DEN 33,0,7,Peyton Manning pass complete short middle to Brandon Stokley for 5 yards (tackle by Christopher Owens),1.540,1.470
1,12:27,1,10,DEN 38,0,7,Peyton Manning left guard for -1 yards (tackle by Sean Weatherspoon),1.470,0.790
1,11:56,2,11,DEN 37,0,7,Peyton Manning pass incomplete deep right intended for Jacob Tamme is intercepted by Thomas DeCoud at ATL-42 and returned for 15 yards (tackle by Eric Decker),0.790,-2.720
1,11:50,1,10,DEN 43,0,7,Matt Ryan pass complete short right to Jason Snelling for 6 yards (tackle by Champ Bailey),2.720,2.990
1,11:22,2,4,DEN 37,0,7,"Michael Turner left end for 7 yards (tackle by Rahim Moore). Penalty on Justin Blalock: Offensive Holding, 10 yards (no play)",2.990,1.640
1,10:52,2,14,DEN 47,0,7,"Matt Ryan pass complete short middle to Tony Gonzalez for 15 yards (tackle by Mike Adams and Rahim Moore). Penalty on Rahim Moore: Face Mask (15 Yards), 15 yards",1.640,4.440
1,10:36,1,10,DEN 17,0,7,Matt Ryan pass complete short left to Julio Jones for -2 yards (tackle by Tracy Porter and Elvis Dumervil),4.440,3.600
1,10:00,2,12,DEN 19,0,7,Matt Ryan pass incomplete short right intended for Roddy White,3.600,2.910
1,9:58,3,12,DEN 19,0,7,Matt Ryan pass incomplete deep left intended for Julio Jones,2.910,2.180
1,9:51,4,12,DEN 19,0,10,Matt Bryant 37 yard field goal good,2.180,3.000
1,9:46,,,ATL 35,0,10,"Matt Bosher kicks off 65 yards, touchback",0.000,0.280
1,9:46,1,10,DEN 20,0,10,Willis McGahee right tackle for no gain (tackle by William Moore),0.280,-0.270
1,9:13,2,10,DEN 20,0,10,Peyton Manning pass complete short left to Jacob Tamme for 9 yards (tackle by Dunta Robinson),-0.270,0.230
1,8:38,3,1,DEN 29,0,10,"Penalty on J.D. Walton: False Start, 4 yards (no play)",0.230,-0.300
1,8:23,3,5,DEN 25,0,10,Peyton Manning pass complete short right to Brandon Stokley for 6 yards (tackle by Christopher Owens),-0.300,1.000
1,7:45,1,10,DEN 31,0,10,Willis McGahee for 15 yards (tackle by William Moore),1.000,1.990
1,7:38,1,10,DEN 46,0,10,Peyton Manning pass complete short left to Demaryius Thomas for 14 yards (tackle by Dunta Robinson),1.990,2.920
1,7:09,1,10,ATL 40,0,10,Peyton Manning pass incomplete deep right intended for Brandon Stokley is intercepted by Robert McClain at ATL-15 and returned for 32 yards (tackle by Willis McGahee). Penalty on Orlando Franklin: Offensive Holding (Declined),2.920,-2.060
1,6:55,1,10,ATL 47,0,10,Julio Jones left end for 1 yard (tackle by Tracy Porter),2.060,1.650
1,6:19,2,9,ATL 48,0,10,Matt Ryan pass complete short middle to Michael Turner for no gain,1.650,0.960
1,5:39,3,9,ATL 48,0,10,Matt Ryan pass incomplete short left intended for Roddy White (defended by Mike Adams),0.960,-0.190
,,,,,,,"DEN challenged the tipped pass ruling, and the original play was overturned.",,
1,5:35,4,9,ATL 48,0,10,"Matt Bosher punts 42 yards, fair catch by Jim Leonhard",-0.190,0.380
1,5:27,1,10,DEN 10,0,10,Willis McGahee for 31 yards (tackle by William Moore),-0.380,1.660
1,4:57,1,10,DEN 41,0,10,Knowshon Moreno left end for -2 yards (tackle by Stephen Nicholas),1.660,0.850
1,4:21,2,12,DEN 39,0,10,Peyton Manning pass complete short left to Joel Dreessen for 7 yards (tackle by Stephen Nicholas),0.850,1.090
1,3:42,3,5,DEN 46,0,10,Peyton Manning pass complete short right to Jacob Tamme for 4 yards (tackle by Asante Samuel),1.090,-0.060
1,2:57,4,1,,0,10,"Britton Colquitt punts 39 yards, fair catch by Dominique Franks",-0.060,0.370
1,2:49,1,10,ATL 11,0,10,Michael Turner left guard for 2 yards (tackle by Keith Brooking),-0.370,-0.630
1,2:12,2,8,ATL 13,0,10,Michael Turner left end for 5 yards (tackle by Rahim Moore),-0.630,-0.600
1,1:34,3,3,ATL 18,0,10,Matt Ryan pass incomplete short left intended for Tony Gonzalez,-0.600,-2.240
1,1:31,4,3,ATL 18,0,10,"Matt Bosher punts 39 yards, fair catch by Jim Leonhard",-2.240,-1.800
1,1:23,1,10,DEN 43,0,10,Willis McGahee left end for 2 yards (tackle by William Moore and Sean Weatherspoon),1.800,1.520
1,0:48,2,8,DEN 45,0,10,Willis McGahee right guard for 10 yards (tackle by Dominique Franks),1.520,2.590
1,0:13,1,10,ATL 45,0,10,"Knowshon Moreno right end for 4 yards (tackle by Stephen Nicholas). Knowshon Moreno fumbles (forced by Stephen Nicholas), recovered by Sean Weatherspoon at ATL-32. Penalty on Ray Edwards: Unnecessary Roughness, 15 yards",2.590,0.060
1,0:02,1,10,ATL 17,0,10,Michael Turner left tackle for 3 yards (tackle by Mike Adams),-0.060,-0.060
Quarter,Time,Down,ToGo,Location,DEN,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,ATL 20,0,10,Matt Ryan pass incomplete short left intended for Julio Jones,-0.060,-0.870
2,14:57,3,7,ATL 20,0,10,"Matt Ryan left guard for 7 yards. Penalty on Joe Mays: Unnecessary Roughness, 15 yards",-0.870,1.730
2,14:27,1,10,ATL 42,0,10,Matt Ryan pass complete short left to Roddy White for 8 yards,1.730,2.270
2,14:02,2,2,,0,10,Matt Ryan pass complete short right to Roddy White for 7 yards,2.270,2.720
2,13:29,1,10,DEN 43,0,10,"Penalty on Garrett Reynolds: False Start, 5 yards (no play)",2.720,2.390
2,13:08,1,15,DEN 48,0,10,Matt Ryan pass incomplete short left intended for Tony Gonzalez,2.390,1.500
2,13:03,2,15,DEN 48,0,10,Matt Ryan pass complete short middle to Tony Gonzalez for 16 yards (tackle by Mike Adams),1.500,3.450
2,12:57,1,10,DEN 32,0,10,"Penalty on DEN: Defensive 12 On-field, 5 yards (no play)",3.450,4.180
,,,,,,,"DEN challenged the too many players on field ruling, and the play was upheld.",,
2,12:07,1,5,DEN 27,0,10,Jacquizz Rodgers right end for 1 yard (tackle by Wesley Woodyard and Mike Adams),4.180,3.710
2,11:38,2,4,DEN 26,0,10,Matt Ryan pass complete short right to Tony Gonzalez for 2 yards (tackle by Wesley Woodyard),3.710,3.270
2,10:52,3,2,DEN 24,0,10,Jacquizz Rodgers right tackle for no gain (tackle by Champ Bailey),3.270,1.990
2,10:10,4,2,DEN 24,0,13,Matt Bryant 42 yard field goal good,1.990,3.000
2,10:05,,,ATL 35,0,13,"Matt Bosher kicks off 65 yards, touchback",0.000,0.280
2,10:05,1,10,DEN 20,0,13,Peyton Manning pass complete short left to Demaryius Thomas for 4 yards (tackle by Dominique Franks),0.280,0.270
2,9:49,2,6,DEN 24,0,13,Willis McGahee right guard for 4 yards (tackle by Vance Walker),0.270,0.000
2,9:09,,,,0,13,Timeout #1 by Atlanta Falcons,0.000,0.100
2,9:09,3,2,DEN 28,0,13,Willis McGahee left tackle for no gain (tackle by Kroy Biermann). Penalty on Manuel Ramirez: Offensive Holding (Declined),0.100,-1.500
2,8:51,4,2,DEN 28,0,13,"Britton Colquitt punts 45 yards, fair catch by Dominique Franks",-1.500,-0.740
2,8:43,1,10,ATL 27,0,13,Michael Turner right end for 3 yards (tackle by Wesley Woodyard),0.740,0.600
2,8:13,2,7,ATL 30,0,13,"Matt Ryan pass incomplete deep left intended for Julio Jones. Penalty on Tony Carter: Defensive Pass Interference, 18 yards (no play)",0.600,2.130
2,8:06,1,10,ATL 48,0,13,Matt Ryan pass complete short right to Harry Douglas for 9 yards (tackle by Mike Adams),2.130,2.800
2,7:24,2,1,DEN 43,0,13,Matt Ryan pass complete deep right to Roddy White for 16 yards (tackle by Champ Bailey),2.800,3.780
2,6:49,1,10,DEN 27,0,13,Matt Ryan pass complete short middle to Tony Gonzalez for 15 yards (tackle by Rahim Moore),3.780,4.780
2,6:05,1,10,DEN 12,0,13,Michael Turner left end for 1 yard (tackle by Rahim Moore),4.780,4.270
2,5:22,2,9,DEN 11,0,13,Matt Ryan pass complete short middle to Harry Douglas for 10 yards (tackle by Kevin Vickerson),4.270,6.970
2,4:45,1,1,DEN 1,0,19,"Matt Ryan pass complete short middle to Tony Gonzalez for 1 yard, touchdown",6.970,7.000
2,4:45,,,DEN 2,0,20,Matt Bryant kicks extra point good,0.000,0.000
2,4:39,,,ATL 35,0,20,"Matt Bosher kicks off 65 yards, touchback",0.000,0.280
2,4:39,1,10,DEN 20,0,20,Peyton Manning pass complete short right to Eric Decker for 5 yards (tackle by Asante Samuel),0.280,0.410
2,4:34,2,5,DEN 25,0,20,Peyton Manning pass complete short right to Eric Decker for 18 yards (tackle by Thomas DeCoud),0.410,1.800
2,4:07,1,10,DEN 43,0,20,"Peyton Manning pass complete short right to Eric Decker for 7 yards (tackle by Asante Samuel). Eric Decker fumbles (forced by Asante Samuel), recovered by Eric Decker at 50. Penalty on Dominique Franks: Illegal Contact, 5 yards (no play)",1.800,2.130
