Quarter,Time,Tm,Detail,DEN,ATL
1.0,13:20,Falcons,Michael Turner 1 yard rush (Matt Bryant kick),0,7
,9:46,Falcons,Matt Bryant 37 yard field goal,0,10
2.0,10:05,Falcons,Matt Bryant 42 yard field goal,0,13
,4:39,Falcons,Tony Gonzalez 1 yard pass from Matt Ryan (Matt Bryant kick),0,20
,0:06,Broncos,Demaryius Thomas 17 yard pass from Peyton Manning (Matt Prater kick),7,20
3.0,7:08,Falcons,Roddy White 4 yard pass from Matt Ryan (Matt Bryant kick),7,27
4.0,11:48,Broncos,Willis McGahee 2 yard rush (Matt Prater kick),14,27
,3:25,Broncos,Willis McGahee 2 yard rush (Matt Prater kick),21,27
