Quarter,Time,Down,ToGo,Location,HOU,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 71 yards, returned by Danieal Manning for 94 yards (tackle by Devin McCourty)",0.000,4.780
1,14:49,1,10,NWE 12,0,0,Arian Foster left guard for 3 yards (tackle by Vince Wilfork and Rob Ninkovich),4.780,4.640
1,14:09,2,7,NWE 9,0,0,Matt Schaub pass incomplete short middle intended for James Casey,4.640,3.700
1,14:05,3,7,NWE 9,0,0,Matt Schaub pass incomplete short middle intended for Andre Johnson,3.700,2.830
1,14:00,4,7,NWE 9,3,0,Shayne Graham 27 yard field goal good,2.830,3.000
1,13:57,,,HOU 35,3,0,"Shayne Graham kicks off 60 yards, returned by Devin McCourty for 14 yards (tackle by Alan Ball)",0.000,0.150
1,13:51,1,10,NWE 19,3,0,Danny Woodhead left guard for no gain (tackle by J.J. Watt and Glover Quin),0.150,-0.390
1,13:23,2,10,NWE 19,3,0,Tom Brady pass complete short middle to Wes Welker for 8 yards (tackle by Kareem Jackson),-0.390,-0.030
1,12:52,3,2,NWE 27,3,0,Tom Brady pass incomplete short right intended for Brandon Lloyd,-0.030,-1.570
1,12:48,4,2,NWE 27,3,0,"Zoltan Mesko punts 61 yards, returned by Keshawn Martin for 5 yards (tackle by Marquice Cole)",-1.570,0.060
1,12:38,1,10,HOU 17,3,0,Matt Schaub pass complete short middle to Owen Daniels for 10 yards (tackle by Steve Gregory),-0.060,0.740
1,12:09,1,10,HOU 27,3,0,Matt Schaub pass complete short right to Andre Johnson for 11 yards (tackle by Aqib Talib),0.740,1.470
1,11:37,1,10,HOU 38,3,0,Matt Schaub pass complete short left to Arian Foster for 13 yards (tackle by Chandler Jones),1.470,2.320
1,10:58,1,10,NWE 49,3,0,Arian Foster up the middle for -1 yards (tackle by Vince Wilfork and Brandon Spikes),2.320,1.650
1,10:17,2,11,,3,0,Matt Schaub pass incomplete short left intended for Andre Johnson,1.650,0.960
1,10:13,3,11,,3,0,Matt Schaub pass complete short middle to Owen Daniels for 5 yards (tackle by Steve Gregory and Aqib Talib),0.960,0.270
1,9:35,4,6,NWE 45,3,0,Donnie Jones punts 33 yards,0.270,0.350
1,9:27,1,10,NWE 12,3,0,Tom Brady pass complete short middle to Aaron Hernandez for 5 yards (tackle by Bradie James and Barrett Ruud),-0.350,-0.230
1,9:07,2,5,NWE 17,3,0,Tom Brady pass complete short right to Aaron Hernandez for 6 yards (tackle by Danieal Manning),-0.230,0.480
1,8:39,1,10,NWE 23,3,0,Shane Vereen left end for -1 yards (tackle by Connor Barwin),0.480,-0.200
1,8:16,2,11,NWE 22,3,0,Tom Brady pass incomplete deep right intended for Rob Gronkowski,-0.200,-0.890
1,8:10,3,11,NWE 22,3,0,Tom Brady pass complete short right to Wes Welker for 11 yards (tackle by Kareem Jackson),-0.890,1.140
1,7:26,1,10,NWE 33,3,0,Tom Brady sacked by J.J. Watt and Brooks Reed for -9 yards,1.140,-0.620
1,6:50,2,19,NWE 24,3,0,Tom Brady pass complete short right to Wes Welker for 11 yards (tackle by Connor Barwin),-0.620,0.170
1,6:05,3,8,NWE 35,3,0,Tom Brady pass incomplete short middle intended for Wes Welker,0.170,-1.040
1,6:00,4,8,NWE 35,3,0,"Zoltan Mesko punts 57 yards, returned by Keshawn Martin for 12 yards (tackle by Patrick Chung)",-1.040,-0.280
1,5:49,1,10,HOU 20,3,0,Matt Schaub pass complete short right to Andre Johnson for 14 yards (tackle by Aqib Talib),0.280,1.200
1,5:27,1,10,HOU 34,3,0,Arian Foster right tackle for 2 yards (tackle by Devin McCourty),1.200,0.930
1,4:43,2,8,HOU 36,3,0,Matt Schaub pass incomplete short left intended for Andre Johnson,0.930,0.230
1,4:40,3,8,HOU 36,3,0,Matt Schaub pass incomplete short middle intended for Arian Foster,0.230,-0.980
1,4:36,4,8,HOU 36,3,0,"Donnie Jones punts 29 yards, out of bounds",-0.980,-1.270
1,4:29,1,10,NWE 35,3,0,Stevan Ridley right guard for 14 yards (tackle by Bradie James),1.270,2.190
1,3:57,1,10,NWE 49,3,0,Stevan Ridley left guard for -2 yards (tackle by Bradie James),2.190,1.380
1,3:20,2,12,NWE 47,3,0,Tom Brady pass complete short right to Stevan Ridley for 13 yards (tackle by Connor Barwin),1.380,2.920
1,2:38,1,10,HOU 40,3,0,Tom Brady pass complete short right to Shane Vereen for 25 yards (tackle by Danieal Manning),2.920,4.580
1,1:55,1,10,HOU 15,3,0,Tom Brady pass complete short left to Aaron Hernandez for 14 yards (tackle by Barrett Ruud and Johnathan Joseph),4.580,6.970
1,1:31,1,1,HOU 1,3,6,"Shane Vereen left tackle for 1 yard, touchdown",6.970,7.000
1,1:31,,,HOU 2,3,7,Stephen Gostkowski kicks extra point good,0.000,0.000
1,1:28,,,NWE 35,3,7,"Stephen Gostkowski kicks off 74 yards, touchback",0.000,0.280
1,1:28,1,10,HOU 20,3,7,Matt Schaub pass complete deep middle to Andre Johnson for 16 yards (tackle by Aqib Talib),0.280,1.330
1,0:50,1,10,HOU 36,3,7,Arian Foster right tackle for -1 yards (tackle by Rob Ninkovich and Jerod Mayo),1.330,0.660
1,0:07,2,11,HOU 35,3,7,Matt Schaub pass complete short left to Arian Foster for 12 yards (tackle by Alfonzo Dennard),0.660,2.060
Quarter,Time,Down,ToGo,Location,HOU,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,HOU 47,3,7,Arian Foster up the middle for no gain (tackle by Vince Wilfork and Dont'a Hightower),2.060,1.520
2,14:25,2,10,HOU 47,3,7,Matt Schaub pass incomplete short middle intended for Owen Daniels,1.520,0.830
2,14:20,3,10,HOU 47,3,7,Matt Schaub pass incomplete deep left intended for Owen Daniels,0.830,-0.260
2,14:14,4,10,HOU 47,3,7,"Donnie Jones punts 37 yards, fair catch by Wes Welker",-0.260,0.140
2,14:07,1,10,NWE 16,3,7,Stevan Ridley right guard for 2 yards (tackle by Brooks Reed and Earl Mitchell),-0.140,-0.350
2,13:35,2,8,NWE 18,3,7,Tom Brady pass incomplete short left intended for Wes Welker,-0.350,-1.070
