Quarter,Time,Tm,Detail,IND,GNB
1.0,14:47,Colts,Jordan Todman 99 yard kickoff return (Adam Vinatieri kick),7,0
,10:46,Packers,Mason Crosby 34 yard field goal,7,3
,4:28,Colts,Frank Gore 7 yard rush (Adam Vinatieri kick),14,3
,0:00,Packers,Jordy Nelson 26 yard pass from Aaron Rodgers (Mason Crosby kick),14,10
2.0,12:05,Colts,Adam Vinatieri 28 yard field goal,17,10
,0:11,Colts,Donte Moncrief 8 yard pass from Andrew Luck (Adam Vinatieri kick),24,10
3.0,1:46,Packers,Mason Crosby 27 yard field goal,24,13
4.0,9:35,Colts,Frank Gore 4 yard rush (Adam Vinatieri kick),31,13
,7:40,Packers,Davante Adams 2 yard pass from Aaron Rodgers (pass failed),31,19
,3:29,Packers,Randall Cobb 3 yard pass from Aaron Rodgers (Mason Crosby kick),31,26
