Quarter,Time,Down,ToGo,Location,IND,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,GNB 35,6,0,"Mason Crosby kicks off 64 yards, returned by Jordan Todman for 99 yards, touchdown",0.000,-7.000
1,14:47,,,GNB 15,7,0,Adam Vinatieri kicks extra point good,0.000,0.000
1,14:47,,,IND 35,7,0,"Pat McAfee kicks off 60 yards, returned by Trevor Davis for 26 yards (tackle by Erik Swoope)",0.000,-1.000
1,14:42,1,10,GNB 31,7,0,Ty Montgomery left end for 24 yards (tackle by D'Qwell Jackson),1.000,2.590
1,14:04,1,10,IND 45,7,0,Ty Montgomery left end for 2 yards (tackle by T.J. Green and Clayton Geathers),2.590,2.310
1,13:24,2,8,IND 43,7,0,Aaron Rodgers pass incomplete short left intended for Davante Adams,2.310,1.620
1,13:16,3,8,IND 43,7,0,Aaron Rodgers pass complete short middle to Richard Rodgers for 12 yards (tackle by T.J. Green),1.620,3.510
1,12:33,1,10,IND 31,7,0,Aaron Rodgers pass complete deep left to Richard Rodgers for 22 yards (tackle by Vontae Davis),3.510,5.140
1,11:47,1,9,IND 9,7,0,Aaron Rodgers sacked by Lavar Edwards for -7 yards,5.140,3.340
1,11:03,2,16,IND 16,7,0,Aaron Rodgers pass incomplete,3.340,2.850
1,10:55,3,16,IND 16,7,0,Aaron Rodgers pass incomplete deep right intended for Jordy Nelson,2.850,2.380
1,10:50,4,16,IND 16,7,3,Mason Crosby 34 yard field goal good,2.380,3.000
1,10:46,,,GNB 35,7,3,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.610
1,10:46,1,10,IND 25,7,3,Frank Gore left tackle for no gain (tackle by Ha Ha Clinton-Dix and Julius Peppers),0.610,0.060
1,10:06,2,10,IND 25,7,3,Frank Gore middle for 5 yards (tackle by Jake Ryan),0.060,0.040
1,9:22,3,5,IND 30,7,3,Andrew Luck pass incomplete deep right intended for Phillip Dorsett is intercepted by Ha Ha Clinton-Dix at IND-49 and returned for 20 yards,0.040,-3.640
1,9:08,1,10,IND 29,7,3,Aaron Rodgers pass complete short left to Davante Adams for 2 yards (tackle by Vontae Davis),3.640,3.370
1,8:26,2,8,IND 27,7,3,Aaron Rodgers pass complete short right to Davante Adams for -3 yards (tackle by Rashaan Melvin),3.370,2.280
1,7:45,3,11,IND 30,7,3,Aaron Rodgers pass incomplete short middle intended for Richard Rodgers,2.280,1.410
1,7:40,4,11,IND 30,7,3,Mason Crosby 48 yard field goal no good,1.410,-1.470
1,7:35,1,10,IND 38,7,3,Andrew Luck pass incomplete short middle intended for Donte Moncrief (defended by Datone Jones),1.470,0.920
1,7:31,2,10,IND 38,7,3,Andrew Luck pass complete short right to Phillip Dorsett for 15 yards (tackle by Quinten Rollins),0.920,2.460
1,7:00,1,10,GNB 47,7,3,Andrew Luck pass complete short middle to T.Y. Hilton for 20 yards (tackle by Jake Ryan),2.460,3.780
1,6:29,1,10,GNB 27,7,3,Andrew Luck pass complete short middle to Frank Gore for no gain,3.780,3.230
1,5:48,2,10,GNB 27,7,3,Andrew Luck pass complete short left to T.Y. Hilton for 5 yards (tackle by Kyler Fackrell),3.230,3.200
1,5:16,3,5,GNB 22,7,3,Andrew Luck pass complete short middle to Dwayne Allen for 15 yards (tackle by Ha Ha Clinton-Dix),3.200,5.600
1,4:33,1,7,GNB 7,13,3,"Frank Gore left end for 7 yards, touchdown",5.600,7.000
1,4:28,,,GNB 15,14,3,Adam Vinatieri kicks extra point good,0.000,0.000
1,4:28,,,IND 35,14,3,"Pat McAfee kicks off 64 yards, returned by Trevor Davis for 17 yards (tackle by Josh McNary)",0.000,-0.040
1,4:23,1,10,GNB 18,14,3,Don Jackson left tackle for 4 yards (tackle by Arthur Jones and Edwin Jackson),0.040,0.140
1,3:44,2,6,GNB 22,14,3,Don Jackson right tackle for 4 yards (tackle by D'Qwell Jackson),0.140,-0.140
1,3:05,3,2,GNB 26,14,3,Aaron Rodgers pass incomplete short middle intended for Richard Rodgers (defended by Clayton Geathers),-0.140,-1.630
1,3:00,4,2,GNB 26,14,3,"Jake Schum punts 54 yards, returned by Chester Rogers for 3 yards (tackle by Jake Ryan). Penalty on Edwin Jackson: Illegal Block Above the Waist, 10 yards",-1.630,0.320
1,2:47,1,10,IND 13,14,3,Frank Gore left tackle for 2 yards (tackle by Jake Ryan),-0.320,-0.570
1,2:13,2,8,IND 15,14,3,Frank Gore middle for 9 yards (tackle by Blake Martinez),-0.570,0.540
1,1:32,1,10,IND 24,14,3,Andrew Luck pass incomplete deep left intended for Jack Doyle is intercepted by Ha Ha Clinton-Dix at IND-47,0.540,-2.460
1,1:25,1,10,IND 47,14,3,Aaron Rodgers for 12 yards (tackle by Patrick Robinson),2.460,3.250
1,0:46,1,10,IND 35,14,3,Aaron Rodgers pass incomplete deep left intended for Richard Rodgers,3.250,2.700
1,0:39,2,10,IND 35,14,3,Aaron Rodgers pass complete short right to Richard Rodgers for 9 yards (tackle by Edwin Jackson),2.700,3.200
1,0:01,3,1,IND 26,14,9,"Aaron Rodgers pass complete deep left to Jordy Nelson for 26 yards, touchdown. Penalty on David Parry: Defensive Offside (Declined)",3.200,7.000
1,0:00,,,IND 15,14,10,Mason Crosby kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,IND,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,,,GNB 35,14,10,"Mason Crosby kicks off 71 yards, returned by Jordan Todman for 61 yards (tackle by Blake Martinez)",0.000,-2.590
2,14:50,1,10,GNB 45,14,10,Andrew Luck pass complete short left to Donte Moncrief for 8 yards (tackle by Ladarius Gunter),2.590,3.120
2,14:35,2,2,GNB 37,14,10,Frank Gore middle for 11 yards (tackle by Nick Perry and Blake Martinez),3.120,3.840
2,14:08,1,10,GNB 26,14,10,Andrew Luck pass incomplete short left intended for Phillip Dorsett,3.840,3.300
2,14:03,2,10,GNB 26,14,10,Andrew Luck pass complete short right to Frank Gore for 11 yards (tackle by Joe Thomas),3.300,4.580
2,13:41,1,10,GNB 15,14,10,Andrew Luck pass incomplete short right intended for Dwayne Allen (defended by Jake Ryan),4.580,3.950
2,13:35,2,10,GNB 15,14,10,Robert Turbin right guard for 3 yards (tackle by Jake Ryan and Nick Perry),3.950,3.580
2,12:53,3,7,GNB 12,14,10,Andrew Luck left end for 2 yards (tackle by Micah Hyde),3.580,2.810
2,12:09,4,5,GNB 10,17,10,Adam Vinatieri 28 yard field goal good,2.810,3.000
2,12:05,,,IND 35,17,10,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.610
2,12:05,1,10,GNB 25,17,10,Aaron Rodgers pass incomplete deep right intended for Jordy Nelson (defended by Rashaan Melvin),0.610,0.060
2,11:59,2,10,GNB 25,17,10,Aaron Rodgers pass incomplete deep middle intended for Jordy Nelson,0.060,-0.620
2,11:53,3,10,GNB 25,17,10,Aaron Rodgers pass incomplete deep left intended for Jeff Janis,-0.620,-1.700
2,11:45,4,10,GNB 25,17,10,"Jake Schum punts 61 yards, muffed catch by Chester Rogers, ball out of bounds at IND-10",-1.700,0.380
2,11:36,1,10,IND 10,17,10,Andrew Luck left end for 6 yards (tackle by Blake Martinez),-0.380,-0.230
2,10:55,2,4,IND 16,17,10,Frank Gore right tackle for 2 yards (tackle by Mike Daniels),-0.230,-0.480
2,10:14,3,2,IND 18,17,10,Andrew Luck pass complete short right to Josh Ferguson for 9 yards (tackle by Blake Martinez),-0.480,0.740
2,10:00,1,10,IND 27,17,10,Andrew Luck left end for 3 yards (tackle by Jake Ryan and Morgan Burnett),0.740,0.600
2,9:29,2,7,IND 30,17,10,Andrew Luck pass incomplete short left intended for Jack Doyle,0.600,-0.100
2,9:23,3,7,IND 30,17,10,Andrew Luck sacked by Ha Ha Clinton-Dix and Nick Perry for -6 yards,-0.100,-1.770
2,9:23,4,13,IND 24,17,10,"Pat McAfee punts 55 yards, fair catch by Trevor Davis",-1.770,-0.340
2,8:39,1,10,GNB 21,17,10,Ty Montgomery right end for 17 yards (tackle by T.J. Green),0.340,1.470
2,8:16,1,10,GNB 38,17,10,Aaron Rodgers pass complete short middle to Justin Perillo for 9 yards (tackle by D'Qwell Jackson),1.470,2.140
2,7:53,2,1,GNB 47,17,10,Ty Montgomery left end for 4 yards (tackle by Clayton Geathers),2.140,2.320
2,7:17,1,10,IND 49,17,10,Aaron Rodgers pass incomplete short left intended for Jordy Nelson,2.320,1.780
2,7:12,2,10,IND 49,17,10,Aaron Ripkowski left guard for 2 yards (tackle by Arthur Jones),1.780,1.360
2,6:25,3,8,IND 47,17,10,Aaron Rodgers sacked by Erik Walden for 0 yards,1.360,0.130
2,5:51,4,8,IND 47,17,10,"Jake Schum punts 43 yards, fair catch by Chester Rogers",0.130,0.380
