Unnamed: 0,IND,GNB
First Downs,22,25
Rush-Yds-TDs,28-85-2,19-116-0
Cmp-Att-Yd-TD-INT,23-36-281-1-2,26-43-297-3-1
Sacked-Yards,2-11,3-8
Net Pass Yards,270,289
Total Yards,355,405
Fumbles-Lost,1-0,0-0
Turnovers,2,1
Penalties-Yards,4-35,4-25
Third Down Conv.,7-14,4-12
Fourth Down Conv.,0-0,0-0
Time of Possession,30:03,29:57
