Unnamed: 0,HOU,ARI
First Downs,8,24
Rush-Yds-TDs,15-42-0,37-172-1
Cmp-Att-Yd-TD-INT,23-32-135-0-0,20-28-261-3-1
Sacked-Yards,2-17,4-36
Net Pass Yards,118,225
Total Yards,160,397
Fumbles-Lost,1-1,1-0
Turnovers,1,1
Penalties-Yards,8-80,7-54
Third Down Conv.,2-13,6-12
Fourth Down Conv.,0-2,1-1
Time of Possession,25:57,34:03
