Quarter,Time,Tm,Detail,HOU,ARI
1.0,2:58,Texans,"Safety, Kyler Murray tackled in end zone by Jacob Martin",2,0
2.0,14:55,Texans,Ka'imi Fairbairn 53 yard field goal,5,0
,9:01,Cardinals,DeAndre Hopkins 1 yard pass from Kyler Murray (Matt Prater kick),5,7
,2:45,Cardinals,Christian Kirk 5 yard pass from Kyler Murray (Matt Prater kick),5,14
,0:05,Cardinals,Matt Prater 31 yard field goal,5,17
3.0,7:58,Cardinals,Zach Ertz 47 yard pass from Kyler Murray (Matt Prater kick),5,24
4.0,10:22,Cardinals,James Conner 18 yard rush (Matt Prater kick),5,31
