Quarter,Time,Down,ToGo,Location,HOU,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,HOU 35,0,0,"Ka'imi Fairbairn kicks off 70 yards, returned by Eno Benjamin for 22 yards (tackle by Kevin Pierre-Louis)",,
1,14:56,1,10,ARI 17,0,0,Kyler Murray pass complete short right to A.J. Green for 13 yards (tackle by Lonnie Johnson),,
1,14:37,1,10,ARI 30,0,0,Kyler Murray pass complete short middle to Zach Ertz for 11 yards (tackle by Kamu Grugier-Hill),,
1,14:05,1,10,ARI 41,0,0,Kyler Murray pass incomplete short left intended for Rondale Moore (defended by Tavierre Thomas),,
1,14:00,2,10,ARI 41,0,0,Kyler Murray sacked by Maliek Collins for -10 yards,,
1,13:22,3,20,ARI 31,0,0,Kyler Murray pass complete short middle to Rondale Moore for 1 yard (tackle by Kamu Grugier-Hill),,
1,12:51,4,19,ARI 32,0,0,"Andy Lee punts 55 yards, returned by Desmond King for 14 yards (tackle by Chris Banjo)",,
1,12:37,1,10,HOU 27,0,0,Davis Mills pass complete short middle to Mark Ingram for 3 yards (tackle by Jordan Hicks),,
1,11:57,2,7,HOU 30,0,0,Davis Mills pass incomplete short right intended for Danny Amendola (defended by Jordan Phillips),,
1,11:51,,,,,,Timeout #1 by Houston Texans,,
1,11:51,3,7,HOU 30,0,0,Davis Mills sacked by Markus Golden for -9 yards,,
1,11:10,4,16,HOU 21,0,0,"Cameron Johnston punts 48 yards, returned by Rondale Moore for 13 yards (tackle by Justin Reid)",,
1,10:56,1,10,ARI 44,0,0,"Max Garcia aborted snap, recovered by Kyler Murray at ARI-32 Kyler Murray for no gain",,
1,10:13,2,22,ARI 32,0,0,Kyler Murray sacked by DeMarcus Walker for -14 yards,,
1,9:28,3,36,ARI 18,0,0,James Conner up the middle for 14 yards (tackle by Kamu Grugier-Hill and Christian Kirksey),,
1,8:37,4,22,ARI 32,0,0,"Andy Lee punts 52 yards, returned by Desmond King for 20 yards (tackle by Demetrius Harris and Jonathan Ward)",,
1,8:23,1,10,HOU 36,0,0,Mark Ingram up the middle for 4 yards (tackle by Michael Dogbe and Leki Fotu),,
1,7:52,2,6,HOU 40,0,0,Davis Mills pass complete short right to Mark Ingram for 10 yards (tackle by Jalen Thompson),,
1,7:12,1,10,ARI 50,0,0,Mark Ingram up the middle for 1 yard (tackle by Budda Baker),,
1,6:30,2,9,ARI 49,0,0,Davis Mills pass complete short middle to Danny Amendola for 10 yards (tackle by Isaiah Simmons),,
1,5:56,1,10,ARI 39,0,0,Phillip Lindsay up the middle for 4 yards (tackle by Deionte Thompson),,
1,5:08,2,6,ARI 35,0,0,Phillip Lindsay up the middle for 4 yards (tackle by Michael Dogbe and Isaiah Simmons),,
1,4:27,3,2,ARI 31,0,0,"David Johnson left tackle for no gain (tackle by Michael Dogbe). Penalty on Jordan Akins: Chop Block, 15 yards (accepted) (no play)",,
1,3:56,3,17,ARI 46,0,0,Davis Mills pass complete short right to David Johnson for no gain (tackle by Isaiah Simmons),,
1,3:19,4,17,ARI 46,0,0,Cameron Johnston punts 44 yards downed by Garret Wallow,,
1,3:06,1,10,ARI 2,2,0,"Kyler Murray left tackle for -2 yards (tackle by Jacob Martin), safety.",,
1,2:58,,,ARI 20,2,0,"Matt Prater kicks off 55 yards, returned by Danny Amendola for 15 yards (tackle by Joe Walker)",,
1,2:53,1,10,HOU 40,2,0,Davis Mills pass complete short middle to Nico Collins for 22 yards (tackle by Budda Baker and Byron Murphy),,
1,2:18,1,10,ARI 38,2,0,Mark Ingram left tackle for no gain (no play),,
1,1:48,1,15,ARI 43,2,0,Mark Ingram left end for -2 yards (tackle by Isaiah Simmons),,
1,1:06,2,17,ARI 45,2,0,Davis Mills pass complete short middle to Jordan Akins for 5 yards (tackle by Devon Kennard),,
1,0:24,3,12,ARI 40,2,0,Davis Mills pass complete short right to Pharaoh Brown for 5 yards (tackle by Dennis Gardeck),,
Quarter,Time,Down,ToGo,Location,HOU,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,7,ARI 35,5,0,Ka'imi Fairbairn 53 yard field goal good,,
2,14:55,,,HOU 35,5,0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",,
2,14:55,1,10,ARI 25,5,0,Chase Edmonds right end for 4 yards (tackle by Terrance Mitchell),,
2,14:33,2,6,ARI 29,5,0,Kyler Murray pass incomplete short right intended for DeAndre Hopkins,,
2,14:24,3,6,ARI 29,5,0,Kyler Murray pass complete short left to Zach Ertz for 8 yards (tackle by Tavierre Thomas),,
2,13:54,1,10,ARI 37,5,0,Chase Edmonds up the middle for 5 yards (tackle by Jonathan Greenard),,
2,13:35,2,5,ARI 42,5,0,Kyler Murray pass complete short left to DeAndre Hopkins for 10 yards (tackle by Desmond King),,
2,13:12,1,10,HOU 48,5,0,Kyler Murray pass complete short left to DeAndre Hopkins for 6 yards (tackle by Desmond King),,
2,12:43,2,4,HOU 42,5,0,Chase Edmonds up the middle for 11 yards (tackle by Justin Reid and Tavierre Thomas),,
2,12:08,1,10,HOU 31,5,0,James Conner left end for 6 yards (tackle by Justin Reid),,
2,11:36,2,4,HOU 25,5,0,James Conner left end for 2 yards (tackle by Justin Reid),,
2,11:04,3,2,HOU 23,5,0,Kyler Murray pass incomplete deep right intended for DeAndre Hopkins,,
2,10:56,4,2,HOU 23,5,0,Kyler Murray pass complete short left to Christian Kirk for 13 yards (tackle by Lonnie Johnson),,
2,10:10,1,10,HOU 10,5,0,Kyler Murray scrambles up the middle for 5 yards (tackle by Tavierre Thomas),,
2,9:33,2,5,HOU 5,5,0,"Zach Ertz for no gain. Zach Ertz fumbles (forced by Justin Reid), recovered by Desmond King at HOU-1 (tackle by DeAndre Hopkins) Replay Assistant challenged the fumble ruling, and the original play was overturned. Zach Ertz left end for 4 yards and Justin Reid and Jacob Martin)",,
2,9:06,3,1,HOU 1,5,6,"Kyler Murray pass complete short middle to DeAndre Hopkins for 1 yard, touchdown",,
2,9:01,,,HOU 15,5,7,Matt Prater kicks extra point good,,
2,9:01,,,ARI 35,5,7,"Matt Prater kicks off 65 yards, touchback.",,
2,9:01,1,10,HOU 25,5,7,Davis Mills pass complete short right to Brandin Cooks for no gain (tackle by Jalen Thompson),,
2,8:24,2,10,HOU 25,5,7,David Johnson up the middle for -2 yards (tackle by J.J. Watt),,
2,7:42,3,12,HOU 23,5,7,Davis Mills pass complete short right to Danny Amendola for -1 yards (tackle by Byron Murphy),,
2,7:42,4,12,HOU 22,5,7,"Penalty on Byron Murphy: Taunting / Defense, 15 yards (accepted) (no play)",,
2,7:11,1,10,HOU 37,5,7,Mark Ingram up the middle for 2 yards (tackle by Josh Mauro and Zaven Collins),,
2,6:34,2,8,HOU 39,5,7,Davis Mills pass complete deep left to Brandin Cooks for 18 yards,,
2,6:01,1,10,ARI 43,5,7,"Davis Mills sacked by Markus Golden for -8 yards. Davis Mills fumbles (forced by Markus Golden), recovered by Markus Golden at HOU-49 (tackle by Markus Golden)",,
2,5:43,1,10,HOU 49,5,7,James Conner up the middle for 17 yards (tackle by Ross Blacklock),,
2,5:04,1,10,HOU 32,5,7,James Conner up the middle for 1 yard (tackle by DeMarcus Walker),,
2,4:20,2,9,HOU 31,5,7,"James Conner up the middle for no gain (tackle by Christian Kirksey). Penalty on Josh Jones: Offensive Holding, 9 yards (accepted) (no play)",,
2,3:51,2,18,HOU 40,5,7,Kyler Murray pass incomplete deep middle intended for Christian Kirk (defended by Christian Kirksey),,
2,3:46,3,18,HOU 40,5,7,"Penalty on DeAndre Hopkins: False Start, 5 yards (accepted) (no play)",,
2,3:46,3,23,HOU 45,5,7,Kyler Murray pass complete deep right to A.J. Green for 41 yards (tackle by Lonnie Johnson),,
2,3:33,1,4,HOU 4,5,7,Chase Edmonds up the middle for -1 yards (tackle by Roy Lopez),,
2,2:54,2,5,HOU 5,5,13,"Kyler Murray pass complete short middle to Christian Kirk for 5 yards, touchdown",,
2,2:45,,,HOU 15,5,14,Matt Prater kicks extra point good,,
2,2:45,,,ARI 35,5,14,"Matt Prater kicks off 65 yards, touchback.",,
2,2:45,1,10,HOU 25,5,14,David Johnson up the middle for 4 yards (tackle by Zaven Collins and Jalen Thompson),,
2,2:04,2,6,HOU 29,5,14,"Davis Mills scrambles right end for no gain. Penalty on Max Scharping: Offensive Holding, 10 yards (accepted) (no play)",,
2,1:56,2,16,HOU 19,5,14,Davis Mills pass incomplete,,
2,1:51,3,16,HOU 19,5,14,David Johnson up the middle for 13 yards (tackle by Jalen Thompson),,
2,1:43,,,,,,Timeout #1 by Arizona Cardinals,,
2,1:43,4,3,HOU 32,5,14,Cameron Johnston punts 42 yards out of bounds,,
2,1:37,1,10,ARI 26,5,14,Chase Edmonds up the middle for 6 yards (tackle by Christian Kirksey),,
2,1:02,2,4,ARI 32,5,14,Kyler Murray pass complete short middle to Christian Kirk for 19 yards (tackle by Lonnie Johnson),,
2,0:44,1,10,HOU 49,5,14,Kyler Murray pass complete short left to DeAndre Hopkins for 15 yards (tackle by Lonnie Johnson),,
2,0:35,1,10,HOU 34,5,14,Kyler Murray pass complete short right to Rondale Moore for 16 yards (tackle by Vernon Hargreaves),,
2,0:27,1,10,HOU 18,5,14,Kyler Murray up the middle for 1 yard (tackle by Kamu Grugier-Hill),,
2,0:22,,,,,,Timeout #2 by Arizona Cardinals,,
2,0:22,2,9,HOU 17,5,14,"Penalty on D.J. Humphries: False Start, 5 yards (accepted) (no play)",,
2,0:22,2,14,HOU 22,5,14,"Kyler Murray sacked by Maliek Collins for no gain. Penalty on Maliek Collins: Roughing the Passer, 11 yards (accepted) (no play)",,
2,0:18,1,10,HOU 11,5,14,Kyler Murray sacked by Jonathan Greenard for -2 yards,,
2,0:13,,,,,,Timeout #3 by Arizona Cardinals,,
2,0:13,2,12,HOU 13,5,14,Kyler Murray pass incomplete short middle intended for Zach Ertz (defended by Jonathan Greenard),,
2,0:09,3,12,HOU 13,5,17,Matt Prater 31 yard field goal good,,
2,0:05,,,ARI 35,5,17,"Matt Prater kicks off 73 yards, returned by Tremon Smith for 27 yards (tackle by Isaiah Simmons)",,
