Quarter,Time,Tm,Detail,WAS,PHI
1.0,8:49,Eagles,Duce Staley 38 yard pass from A.J. Feeley (David Akers kick),0,7
2.0,14:58,Eagles,David Akers 28 yard field goal,0,10
,9:15,Eagles,Duce Staley 1 yard rush (David Akers kick),0,17
,1:55,Redskins,Chris Doering 15 yard pass from Patrick Ramsey (Jose Cortez kick),7,17
3.0,9:55,Eagles,Carlos Emmons 44 yard defensive fumble return (David Akers kick),7,24
,1:55,Eagles,Antonio Freeman 6 yard pass from A.J. Feeley (David Akers kick),7,31
4.0,12:52,Redskins,Rod Gardner 30 yard pass from Patrick Ramsey (Jose Cortez kick),14,31
,8:36,Redskins,Derrius Thompson 21 yard pass from Patrick Ramsey (Jose Cortez kick),21,31
,2:29,Eagles,David Akers 45 yard field goal,21,34
