Quarter,Time,Down,ToGo,Location,DET,DEN,Detail,EPB,EPA
1,2:14,1,5,DET 5,0,7,Melvin Gordon left tackle for 2 yards (tackle by Josh Woods),,
1,1:35,2,3,DET 3,0,7,Melvin Gordon left guard for 2 yards (tackle by Levi Onwuzurike),,
1,0:57,3,1,DET 1,0,13,"Melvin Gordon up the middle for 1 yard, touchdown",,
1,0:53,,,DET 15,0,14,Brandon McManus kicks extra point good,,
1,0:53,,,DEN 35,0,14,"Brandon McManus kicks off 65 yards, touchback.",,
1,0:53,1,10,DET 25,0,14,Jared Goff pass complete short right to Amon-Ra St. Brown for 1 yard (tackle by Patrick Surtain),,
1,0:13,2,9,DET 26,0,14,Craig Reynolds up the middle for 1 yard (tackle by Bradley Chubb),,
Quarter,Time,Down,ToGo,Location,DET,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,8,DET 27,0,14,"Jared Goff scrambles right end for 13 yards (tackle by Kenny Young and Patrick Surtain). Penalty on Bradley Chubb: Defensive Offside, 5 yards (declined)",,
2,14:29,1,10,DET 40,0,14,"Jared Goff pass complete short right to Amon-Ra St. Brown for 13 yards (tackle by Patrick Surtain). Penalty on Dre'Mont Jones: Defensive Offside, 5 yards (declined)",,
2,14:09,1,10,DEN 47,0,14,Craig Reynolds left guard for 35 yards (tackle by Ronald Darby),,
2,13:19,1,10,DEN 12,0,14,Craig Reynolds right end for 5 yards (tackle by Justin Simmons),,
2,12:38,2,5,DEN 7,6,14,"Jared Goff pass complete short left to Kalif Raymond for 7 yards, touchdown",,
2,12:31,,,DEN 15,6,14,"Penalty on Scott Daly: False Start, 5 yards (accepted) (no play)",,
2,12:31,,,DEN 20,7,14,Riley Patterson kicks extra point good,,
2,12:31,,,DET 35,7,14,"Jack Fox kicks off 65 yards, touchback.",,
2,12:31,1,10,DEN 25,7,14,Javonte Williams right tackle for 3 yards (tackle by Nickell Robey-Coleman and Dean Marlowe),,
2,12:00,2,7,DEN 28,7,14,Teddy Bridgewater pass incomplete short left intended for Tim Patrick,,
2,11:56,3,7,DEN 28,7,14,Teddy Bridgewater pass incomplete short middle intended for Tim Patrick,,
2,11:51,4,7,DEN 28,7,14,"Sam Martin punts 47 yards, fair catch by Kalif Raymond at DET-25",,
2,11:44,1,10,DET 25,7,14,Jared Goff pass complete short middle to Tom Kennedy for 7 yards (tackle by Justin Simmons),,
2,11:04,2,3,DET 32,7,14,Craig Reynolds left guard for 9 yards (tackle by Kareem Jackson and Stephen Weatherly),,
2,10:27,1,10,DET 41,7,14,Craig Reynolds right guard for 3 yards (tackle by Mike Purcell),,
2,9:52,2,7,DET 44,7,14,Jared Goff pass complete short left to Brock Wright for 2 yards (tackle by Kareem Jackson),,
2,9:06,3,5,DET 46,7,14,Godwin Igwebuike left end for 4 yards (tackle by Kareem Jackson and Baron Browning),,
2,8:52,4,1,DET 50,7,14,Jared Goff pass complete short right to Kalif Raymond for 9 yards (tackle by Kyle Fuller),,
2,8:11,1,10,DEN 41,7,14,Jared Goff pass complete deep left to Josh Reynolds for 19 yards (tackle by Ronald Darby),,
2,7:28,1,10,DEN 22,7,14,Godwin Igwebuike up the middle for 4 yards (tackle by Justin Simmons),,
2,6:46,2,6,DEN 18,7,14,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown,,
2,6:43,3,6,DEN 18,7,14,Jared Goff pass incomplete short left intended for Shane Zylstra (defended by Shelby Harris),,
2,6:39,4,6,DEN 18,10,14,Riley Patterson 36 yard field goal good,,
2,6:34,,,DET 35,10,14,"Jack Fox kicks off 65 yards, touchback.",,
2,6:34,1,10,DEN 25,10,14,Teddy Bridgewater pass complete short right to Courtland Sutton for 9 yards (tackle by Nickell Robey-Coleman),,
2,5:54,2,1,DEN 34,10,14,Melvin Gordon right guard for 3 yards (tackle by Alim McNeill and Levi Onwuzurike),,
2,5:03,1,10,DEN 37,10,14,Teddy Bridgewater sacked by Alim McNeill for -5 yards,,
2,4:23,2,15,DEN 32,10,14,Melvin Gordon up the middle for -1 yards (tackle by Charles Harris and Levi Onwuzurike),,
2,3:45,3,16,DEN 31,10,14,Teddy Bridgewater pass complete short right to Albert Okwuegbunam for 8 yards (tackle by Josh Woods and Dean Marlowe),,
2,3:11,4,8,DEN 39,10,14,"Sam Martin punts 41 yards, fair catch by Kalif Raymond at DET-20",,
2,3:03,1,10,DET 20,10,14,Craig Reynolds up the middle for 2 yards (tackle by Stephen Weatherly and Mike Purcell),,
2,2:32,2,8,DET 22,10,14,Jared Goff pass complete short left to Kalif Raymond for 7 yards,,
2,2:00,3,1,DET 29,10,14,Godwin Igwebuike up the middle for 3 yards (tackle by Mike Purcell and Stephen Weatherly),,
2,1:30,1,10,DET 32,10,14,Jared Goff pass complete short right to Amon-Ra St. Brown for 5 yards (tackle by Patrick Surtain),,
2,1:27,2,5,DET 37,10,14,Jared Goff pass incomplete short right,,
2,1:20,3,5,DET 37,10,14,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown,,
2,1:16,4,5,DET 37,10,14,"Jack Fox punts 52 yards, returned by Diontae Spencer for 11 yards (tackle by C.J. Moore and Brock Wright)",,
2,1:05,1,10,DEN 22,10,14,Teddy Bridgewater pass complete short middle to Jerry Jeudy for 6 yards (tackle by Jalen Elliott),,
2,0:59,,,,,,Timeout #1 by Denver Broncos,,
2,0:59,2,4,DEN 28,10,14,Teddy Bridgewater pass complete short right to Noah Fant for 7 yards (tackle by C.J. Moore),,
2,0:55,1,10,DEN 35,10,14,Teddy Bridgewater pass complete short right to Noah Fant for 7 yards (tackle by Jalen Elliott),,
2,0:36,2,3,DEN 42,10,14,Teddy Bridgewater pass incomplete deep left intended for Courtland Sutton,,
2,0:30,3,3,DEN 42,10,14,Teddy Bridgewater pass complete short left to Jerry Jeudy for 4 yards (tackle by Josh Woods),,
2,0:26,,,,,,Timeout #2 by Denver Broncos,,
2,0:26,1,10,DEN 46,10,14,Teddy Bridgewater pass incomplete deep right intended for Tim Patrick (defended by Will Harris),,
2,0:19,2,10,DEN 46,10,14,Teddy Bridgewater pass complete short left to Albert Okwuegbunam for 8 yards (tackle by C.J. Moore),,
2,0:11,,,,,,Timeout #3 by Denver Broncos,,
2,0:11,3,2,DET 46,10,14,Teddy Bridgewater pass complete short middle to Jerry Jeudy for 7 yards,,
2,0:03,1,10,DET 39,10,14,"Teddy Bridgewater spiked the ball. Penalty on Jessie Lemonier: Defensive Offside, 5 yards (accepted) (no play)",,
2,0:02,1,5,DET 34,10,17,Brandon McManus 52 yard field goal good,,
Quarter,Time,Down,ToGo,Location,DET,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 35,10,17,"Brandon McManus kicks off 65 yards, touchback.",,
3,15:00,1,10,DET 25,10,17,Craig Reynolds right guard for 5 yards (tackle by Jonathon Cooper),,
3,14:21,2,5,DET 30,10,17,"Godwin Igwebuike right end for 4 yards. Godwin Igwebuike fumbles (forced by Kenny Young), recovered by Jonathon Cooper at DET-36 (tackle by Shelby Harris and Kenny Young)",,
3,14:11,1,10,DET 36,10,17,Melvin Gordon right guard for 6 yards (tackle by Josh Woods),,
3,13:36,2,4,DET 30,10,17,Melvin Gordon right tackle for 16 yards (tackle by Derrick Barnes and Nickell Robey-Coleman),,
3,12:54,1,10,DET 14,10,17,"Melvin Gordon left tackle for no gain (tackle by Josh Woods). Penalty on Albert Okwuegbunam: Offensive Holding, 10 yards (accepted) (no play)",,
3,12:28,1,20,DET 24,10,17,Teddy Bridgewater pass complete short middle to Jerry Jeudy for 9 yards (tackle by Dean Marlowe),,
3,11:49,2,11,DET 15,10,17,Javonte Williams left guard for 5 yards (tackle by Charles Harris and Will Harris),,
3,11:09,3,6,DET 10,10,23,"Teddy Bridgewater pass complete short left to Javonte Williams for 10 yards, touchdown",,
3,11:03,,,DET 15,10,24,Brandon McManus kicks extra point good,,
3,11:03,,,DEN 35,10,24,"Brandon McManus kicks off 65 yards, touchback.",,
3,11:03,1,10,DET 25,10,24,Jared Goff sacked by Dre'Mont Jones for -9 yards,,
3,10:22,2,19,DET 16,10,24,Godwin Igwebuike up the middle for -3 yards (tackle by Dre'Mont Jones),,
3,9:41,3,22,DET 13,10,24,Jared Goff pass complete deep middle to Josh Reynolds for 20 yards (tackle by Ronald Darby),,
3,8:51,4,2,DET 33,10,24,Jared Goff pass incomplete short right intended for Shane Zylstra (defended by Dre'Mont Jones),,
3,8:47,1,10,DET 33,10,24,Javonte Williams right end for 5 yards (tackle by Josh Woods),,
3,8:07,2,5,DET 28,10,24,Javonte Williams left tackle for 5 yards (tackle by Will Harris),,
3,7:21,1,10,DET 23,10,24,Javonte Williams left guard for 9 yards (tackle by Derrick Barnes and Dean Marlowe),,
3,6:38,2,1,DET 14,10,30,"Melvin Gordon up the middle for 14 yards, touchdown",,
3,6:34,,,DET 15,10,31,Brandon McManus kicks extra point good,,
3,6:34,,,DEN 35,10,31,"Brandon McManus kicks off 65 yards, touchback.",,
3,6:34,1,10,DET 25,10,31,"Jared Goff pass complete short left to Brock Wright for 11 yards (tackle by Kareem Jackson and Bradley Chubb) DEN challenged the runner was down by contact ruling, and the play was upheld.",,
3,5:56,1,10,DET 36,10,31,Craig Reynolds right guard for 7 yards (tackle by Jonathon Cooper),,
3,5:36,2,3,DET 43,10,31,Jared Goff pass complete short middle to Taylor Decker for -2 yards (tackle by Baron Browning),,
3,4:55,3,5,DET 41,10,31,Godwin Igwebuike left guard for 3 yards (tackle by Jonathon Cooper),,
3,4:16,4,2,DET 44,10,31,Godwin Igwebuike up the middle for 4 yards (tackle by Bradley Chubb),,
3,3:32,1,10,DET 48,10,31,Jared Goff pass complete short middle to Amon-Ra St. Brown for 9 yards (tackle by Kareem Jackson and Mike Purcell),,
3,2:48,2,1,DEN 43,10,31,Jared Goff pass incomplete deep right intended for Shane Zylstra,,
3,2:42,3,1,DEN 43,10,31,Craig Reynolds up the middle for 3 yards (tackle by Jonathon Cooper),,
3,2:06,1,10,DEN 40,10,31,Jared Goff pass incomplete deep right intended for Kalif Raymond,,
3,1:58,2,10,DEN 40,10,31,Jared Goff pass complete short left to Amon-Ra St. Brown for 9 yards (tackle by Ronald Darby),,
3,1:24,3,1,DEN 31,10,31,"Jason Cabinda left guard for no gain (tackle by Jonathon Cooper and Ronald Darby). Penalty on Ryan McCollum: Offensive Holding, 9 yards (accepted) (no play)",,
3,0:44,3,10,DEN 40,10,31,"Penalty on Taylor Decker: False Start, 5 yards (accepted) (no play)",,
3,0:23,3,15,DEN 45,10,31,Jared Goff pass complete short middle to Amon-Ra St. Brown for 11 yards (tackle by Justin Simmons and Baron Browning),,
Quarter,Time,Down,ToGo,Location,DET,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,4,DEN 34,10,31,"Jared Goff pass complete short left to Amon-Ra St. Brown for 19 yards (tackle by Caden Sterns). Penalty on Caden Sterns: Unnecessary Roughness / Defense, 8 yards (accepted)",,
4,14:34,1,7,DEN 7,10,31,Godwin Igwebuike left end for 6 yards (tackle by Jonas Griffith),,
4,14:07,2,1,DEN 1,10,31,Jared Goff up the middle for -3 yards (tackle by Stephen Weatherly),,
4,13:25,3,4,DEN 4,10,31,Jared Goff pass incomplete short left intended for Brock Wright,,
4,13:17,4,4,DEN 4,10,31,Jared Goff pass incomplete short middle intended for Shane Zylstra (defended by Kareem Jackson),,
4,13:13,1,10,DEN 5,10,31,Melvin Gordon right guard for -1 yards (tackle by Josh Woods),,
4,12:34,2,11,DEN 4,10,31,Melvin Gordon left tackle for 1 yard (tackle by Amani Oruwariye),,
4,11:47,3,10,DEN 5,10,31,Teddy Bridgewater pass incomplete short right intended for Javonte Williams,,
4,11:39,4,10,DEN 5,10,31,"Sam Martin punts 42 yards, returned by Kalif Raymond for -4 yards (tackle by Caden Sterns and Jonas Griffith)",,
4,11:28,1,10,DET 49,10,31,Jared Goff pass complete short right to Josh Reynolds for 13 yards (tackle by Patrick Surtain),,
4,10:51,1,10,DEN 38,10,31,Jared Goff pass complete short middle to Shane Zylstra for 4 yards (tackle by Justin Simmons and Jonas Griffith),,
4,10:11,2,6,DEN 34,10,31,Craig Reynolds up the middle for 8 yards (tackle by Jonas Griffith),,
4,9:39,1,10,DEN 26,10,31,Jared Goff pass complete short middle to Amon-Ra St. Brown for 6 yards (tackle by Kyle Fuller),,
4,9:04,2,4,DEN 20,10,31,Jared Goff pass short right intended for Brock Wright is intercepted by Justin Simmons at DEN-12 and returned for no gain (tackle by Brock Wright),,
4,8:59,1,10,DEN 12,10,31,Teddy Bridgewater pass complete short right to Albert Okwuegbunam for 16 yards (tackle by Anthony Pittman),,
4,8:17,1,10,DEN 28,10,31,Javonte Williams left end for 1 yard (tackle by Josh Woods and Anthony Pittman),,
4,7:30,2,9,DEN 29,10,31,Teddy Bridgewater pass complete short right to Noah Fant for 5 yards (tackle by Josh Woods),,
4,6:41,3,4,DEN 34,10,31,Javonte Williams left guard for 6 yards (tackle by Will Harris),,
4,5:53,1,10,DEN 40,10,31,Javonte Williams right guard for 8 yards (tackle by Levi Onwuzurike and Alim McNeill),,
4,5:06,2,2,DEN 48,10,31,Melvin Gordon up the middle for 3 yards (tackle by Anthony Pittman),,
4,4:19,1,10,DET 49,10,31,Melvin Gordon right guard for 4 yards (tackle by Josh Woods),,
4,4:14,,,,,,Timeout #1 by Detroit Lions,,
4,4:14,2,6,DET 45,10,31,Melvin Gordon right tackle for -1 yards (tackle by Josh Woods and Derrick Barnes),,
4,4:09,,,,,,Timeout #2 by Detroit Lions,,
4,4:09,3,7,DET 46,10,31,"Teddy Bridgewater pass complete short left to Albert Okwuegbunam for 5 yards (tackle by Will Harris and C.J. Moore). Penalty on Jerry Jeudy: Offensive Holding, 10 yards (declined)",,
4,4:03,4,2,DET 41,10,31,Teddy Bridgewater pass complete short middle to Jerry Jeudy for 21 yards (tackle by C.J. Moore and Jessie Lemonier),,
4,3:51,,,,,,Timeout #3 by Detroit Lions,,
4,3:51,1,10,DET 20,10,31,Melvin Gordon left end for 10 yards (tackle by C.J. Moore and Dean Marlowe),,
4,3:05,1,10,DET 10,10,31,Melvin Gordon up the middle for 5 yards (tackle by John Penisini and Josh Woods),,
4,2:20,2,5,DET 5,10,31,Melvin Gordon left guard for 1 yard (tackle by Anthony Pittman),,
4,2:00,3,4,DET 4,10,37,"Teddy Bridgewater pass complete short right to Albert Okwuegbunam for 4 yards, touchdown",,
4,1:51,,,DET 15,10,38,Brandon McManus kicks extra point good,,
4,1:51,,,DEN 35,10,38,"Penalty on Charles Harris: Unsportsmanlike Conduct / Defense, 15 yards (accepted) (no play)",,
4,1:51,1,10,DEN 50,10,38,"Brandon McManus kicks off 50 yards, touchback.",,
4,1:51,1,10,DET 25,10,38,Jared Goff pass incomplete short left intended for Josh Reynolds (defended by Ronald Darby),,
4,1:46,2,10,DET 25,10,38,Jared Goff pass incomplete deep left intended for Josh Reynolds,,
4,1:41,3,10,DET 25,10,38,Jared Goff pass complete short left to Craig Reynolds for 14 yards (tackle by Justin Strnad),,
4,1:34,1,10,DET 39,10,38,Jared Goff pass incomplete deep left intended for KhaDarel Hodge,,
4,1:28,2,10,DET 39,10,38,Jared Goff pass complete short middle to Kalif Raymond for 8 yards (tackle by Mike Ford),,
4,1:07,3,2,DET 47,10,38,Jared Goff pass complete short middle to Shane Zylstra for 14 yards (tackle by Caden Sterns),,
4,0:44,1,10,DEN 39,10,38,Jared Goff pass complete short left to Brock Wright for 7 yards (tackle by Justin Simmons),,
4,0:24,2,3,DEN 32,10,38,Jared Goff pass complete short middle to Craig Reynolds for 2 yards (tackle by Jonas Griffith and Kyle Fuller),,
4,0:02,3,2,DEN 30,10,38,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown (defended by DeShawn Williams),,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
