Quarter,Time,Tm,Detail,DET,DEN
1.0,9:46,Broncos,Javonte Williams 5 yard rush (Brandon McManus kick),0,7
,0:53,Broncos,Melvin Gordon 1 yard rush (Brandon McManus kick),0,14
2.0,12:31,Lions,Kalif Raymond 7 yard pass from Jared Goff (Riley Patterson kick),7,14
,6:34,Lions,Riley Patterson 36 yard field goal,10,14
,0:00,Broncos,Brandon McManus 52 yard field goal,10,17
3.0,11:03,Broncos,Javonte Williams 10 yard pass from Teddy Bridgewater (Brandon McManus kick),10,24
,6:34,Broncos,Melvin Gordon 14 yard rush (Brandon McManus kick),10,31
4.0,1:51,Broncos,Albert Okwuegbunam 4 yard pass from Teddy Bridgewater (Brandon McManus kick),10,38
