Quarter,Time,Down,ToGo,Location,KAN,CHI,Detail,EPB,EPA
1,0:59,2,5,KAN 46,0,0,Cedric Benson left guard for 4 yards (tackle by Jarrad Page),2.320,2.150
1,0:22,3,1,KAN 42,0,0,Cedric Benson left tackle for 2 yards (tackle by Derrick O. Johnson and Napoleon Harris),2.150,2.920
Quarter,Time,Down,ToGo,Location,KAN,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,KAN 40,0,0,Rex Grossman pass complete short right to Rashied Davis for 11 yards (tackle by Donnie Edwards),2.920,3.640
2,14:26,1,10,KAN 29,0,0,Cedric Benson right end for 8 yards (tackle by Jimmy Wilkerson and Donnie Edwards),3.640,4.180
2,13:44,2,2,KAN 21,0,0,Cedric Benson left end for -2 yards (tackle by Napoleon Harris and Jarrad Page),4.180,3.200
2,13:06,3,4,KAN 23,0,0,Rex Grossman pass complete short left to Bernard Berrian for 5 yards (tackle by Benny Sapp),3.200,4.370
2,12:21,1,10,KAN 18,0,0,Rex Grossman pass complete short right to Desmond Clark for 7 yards (tackle by Napoleon Harris),4.370,5.010
2,11:44,2,3,KAN 11,0,0,Cedric Benson right tackle for 6 yards (tackle by Bernard Pollard),5.010,6.060
2,11:11,1,5,KAN 5,0,0,Cedric Benson right tackle for 3 yards (tackle by Napoleon Harris),6.060,5.720
2,10:29,2,2,KAN 2,0,6,"Rex Grossman pass complete short right to John St. Clair for 2 yards, touchdown",5.720,7.000
2,,,,KAN 2,0,7,Robbie Gould kicks extra point good,0.000,0.000
2,,,,CHI 30,0,7,"Robbie Gould kicks off 68 yards, returned by Eddie Drummond for 17 yards (tackle by Kevin Payne)",0.000,0.150
2,10:18,1,10,KAN 19,0,7,Damon Huard pass incomplete short right intended for Larry Johnson (defended by Adewale Ogunleye),0.150,-0.390
2,10:14,2,10,KAN 19,0,7,Larry Johnson right tackle for 6 yards (tackle by Adam Archuleta),-0.390,-0.290
2,9:38,3,4,KAN 25,0,7,Damon Huard pass incomplete short right intended for Larry Johnson,-0.290,-1.700
2,9:33,4,4,KAN 25,0,13,"Dustin Colquitt punts 48 yards, returned by Devin Hester for 73 yards, touchdown",-1.700,-7.000
2,,,,KAN 2,0,14,Robbie Gould kicks extra point good,0.000,0.000
2,,,,CHI 30,0,14,"Robbie Gould kicks off 63 yards, returned by Eddie Drummond for 24 yards (tackle by Israel Idonije)",0.000,1.000
2,9:08,1,10,KAN 31,0,14,Larry Johnson left tackle for -1 yards (tackle by Darwin Walker),1.000,0.320
2,8:40,2,11,KAN 30,0,14,Damon Huard pass complete short right to Tony Gonzalez for 7 yards (tackle by Lance Briggs),0.320,0.560
2,8:03,3,4,KAN 37,0,14,Damon Huard pass complete short left to Samie Parker for 3 yards (tackle by Charles Tillman),0.560,-0.720
2,7:19,4,1,KAN 40,0,14,Dustin Colquitt punts 36 yards,-0.720,-0.610
2,7:09,1,10,CHI 25,0,14,Rex Grossman pass complete short middle to Desmond Clark for 9 yards (tackle by Donnie Edwards),0.610,1.280
2,6:35,2,1,CHI 34,0,14,Rex Grossman pass complete short left to John Gilmore for 7 yards (tackle by Napoleon Harris),1.280,1.660
2,5:59,1,10,CHI 41,0,14,Rex Grossman pass incomplete short right intended for Devin Hester,1.660,1.120
2,5:55,2,10,CHI 41,0,14,Rex Grossman pass complete short right to Adrian Peterson for 11 yards (tackle by Benny Sapp),1.120,2.390
2,5:17,1,10,KAN 48,0,14,Cedric Benson left tackle for 4 yards (tackle by Derrick O. Johnson),2.390,2.390
2,4:35,2,6,KAN 44,0,14,Rex Grossman pass complete short right to Bernard Berrian for 21 yards (tackle by Benny Sapp),2.390,4.040
2,3:49,1,10,KAN 23,0,14,Cedric Benson left end for 1 yard (tackle by Napoleon Harris),4.040,3.630
2,3:08,2,9,KAN 22,0,14,Rex Grossman pass incomplete short middle intended for Rashied Davis,3.630,2.940
2,3:05,3,9,KAN 22,0,14,Rex Grossman sacked by Derrick O. Johnson for -7 yards,2.940,1.500
2,2:30,4,16,KAN 29,0,17,Robbie Gould 47 yard field goal good,1.500,3.000
2,,,,CHI 30,0,17,"Robbie Gould kicks off 63 yards, returned by Eddie Drummond for 10 yards (tackle by Jamar Williams)",0.000,-0.060
2,2:21,1,10,KAN 17,0,17,Damon Huard pass complete short left to Kris Wilson for 31 yards (tackle by Danieal Manning),-0.060,2.130
2,2:00,1,10,KAN 48,0,17,Larry Johnson left tackle for 10 yards (tackle by Brian Urlacher),2.130,2.790
2,1:34,1,10,CHI 42,0,17,Damon Huard pass complete deep middle to Tony Gonzalez for 26 yards (tackle by Danieal Manning),2.790,4.510
2,1:24,,,,0,17,Timeout #1 by Kansas City Chiefs,0.000,4.510
2,1:24,1,10,CHI 16,6,17,"Damon Huard pass complete deep right to Dwayne Bowe for 16 yards, touchdown",4.510,7.000
2,,,,CHI 2,7,17,Dave Rayner kicks extra point good,0.000,0.000
2,,,,KAN 30,7,17,Dave Rayner kicks off 67 yards,0.000,1.600
2,1:17,1,10,CHI 40,7,17,"Adrian Peterson right guard for 1 yard. Penalty on Tamba Hali: Face Mask (5 Yards), 5 yards",1.600,2.330
2,1:07,1,5,CHI 45,7,17,Rex Grossman pass complete short right to Adrian Peterson for 4 yards (tackle by Ty Law),2.330,2.270
2,1:06,2,1,CHI 49,7,17,Rex Grossman pass complete short middle to Adrian Peterson for 8 yards (tackle by Donnie Edwards),2.270,2.720
2,0:58,,,,7,17,Timeout #2 by Chicago Bears,0.000,2.720
2,0:58,1,10,KAN 43,7,17,Rex Grossman pass incomplete deep right intended for Bernard Berrian,2.720,2.180
2,0:50,2,10,KAN 43,7,17,Rex Grossman pass incomplete short left intended for Adrian Peterson,2.180,1.490
2,0:46,3,10,KAN 43,7,17,Rex Grossman pass incomplete short left intended for Muhsin Muhammad (defended by Derrick O. Johnson),1.490,0.400
2,0:41,4,10,KAN 43,7,17,"Dirk Johnson punts 43 yards, touchback",0.400,-0.280
2,0:33,1,10,KAN 20,7,17,Larry Johnson left guard for 9 yards (tackle by Brian Urlacher),0.280,0.950
,,,,,,,"Replay Assistant challenged the fumble ruling, and the original play was overturned.",,
2,0:06,2,1,KAN 29,7,17,Damon Huard pass complete short left to Larry Johnson for 11 yards (tackle by Brian Urlacher),0.950,1.600
Quarter,Time,Down,ToGo,Location,KAN,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,KAN 30,7,17,"Dave Rayner kicks off 63 yards, returned by Devin Hester for 10 yards (tackle by Keyaron Fox)",0.000,-0.060
3,14:56,1,10,CHI 17,7,17,Cedric Benson left end for 6 yards (tackle by Napoleon Harris),-0.060,0.350
3,14:21,2,4,CHI 23,7,17,"Rex Grossman pass incomplete short right intended for Muhsin Muhammad. Penalty on Ty Law: Defensive Pass Interference, 15 yards (no play)",0.350,1.470
3,14:15,1,10,CHI 38,7,17,Cedric Benson left tackle for -2 yards (tackle by Patrick Surtain),1.470,0.650
3,13:35,2,12,CHI 36,7,17,Rex Grossman pass complete short left to Muhsin Muhammad for 7 yards (tackle by Donnie Edwards),0.650,0.890
3,12:58,3,5,CHI 43,7,17,Rex Grossman pass incomplete deep right intended for Rashied Davis,0.890,-0.520
3,12:53,4,5,CHI 43,7,17,"Dirk Johnson punts 45 yards, returned by Eddie Drummond for 6 yards (tackle by Brandon McGowan). Penalty on Keyaron Fox: Illegal Block Above the Waist (Declined), Penalty on Napoleon Harris: Illegal Block Above the Waist, 6 yards, Penalty on Khreem Smith: Offensive Holding (Declined)",-0.520,0.380
3,12:39,1,10,KAN 6,7,17,Larry Johnson right tackle for 2 yards (tackle by Brian Urlacher),-0.380,-0.630
3,12:04,2,8,KAN 8,7,17,Damon Huard pass complete short right to Kris Wilson for -1 yards (tackle by Hunter Hillenmeyer),-0.630,-1.300
3,11:41,3,9,KAN 7,7,17,Larry Johnson right guard for 1 yard (tackle by Ricky Manning),-1.300,-2.490
3,11:05,4,8,KAN 8,7,17,"Dustin Colquitt punts 41 yards, returned by Devin Hester for 31 yards (tackle by Napoleon Harris)",-2.490,-4.370
3,10:51,1,10,KAN 18,7,17,"Rex Grossman pass incomplete short left intended for Desmond Clark. Penalty on Turk McBride: Roughing the Passer, 9 yards, Penalty on Napoleon Harris: Illegal Contact (Declined) (no play)",4.370,5.140
3,10:47,1,9,KAN 9,7,17,Rex Grossman pass complete short right to Jason McKie for -2 yards (tackle by Ty Law),5.140,4.020
3,10:09,2,11,KAN 11,7,17,Cedric Benson right tackle for -1 yards (tackle by Donnie Edwards),4.020,3.100
3,9:23,3,12,KAN 12,7,17,"Rex Grossman pass complete short left to Rashied Davis for 7 yards (tackle by Patrick Surtain). Penalty on Olin Kreutz: Unsportsmanlike Conduct, 15 yards",3.100,2.120
3,8:36,4,20,KAN 20,7,20,Robbie Gould 38 yard field goal good,2.120,3.000
3,,,,CHI 30,7,20,"Robbie Gould kicks off 67 yards, returned by Eddie Drummond for 24 yards (tackle by Rod Wilson)",0.000,0.740
3,8:26,1,10,KAN 27,7,20,Damon Huard pass complete short left to Kris Wilson for no gain,0.740,0.200
3,7:48,2,10,KAN 27,7,20,Damon Huard sacked by Lance Briggs for -3 yards,0.200,-0.890
3,7:12,3,13,KAN 24,7,20,Michael Bennett right guard for 4 yards (tackle by Tommie Harris),-0.890,-1.500
3,6:33,4,9,KAN 28,7,20,Dustin Colquitt punts 37 yards,-1.500,-1.270
3,6:23,1,10,CHI 35,7,20,Rex Grossman pass incomplete short right intended for Adrian Peterson,1.270,0.720
3,6:16,2,10,CHI 35,7,20,"Adrian Peterson left end for 9 yards (tackle by Napoleon Harris). Adrian Peterson fumbles (forced by Napoleon Harris), recovered by Adrian Peterson at CHI-44",0.720,1.220
3,5:34,3,1,CHI 44,7,20,Rex Grossman pass complete short right to Desmond Clark for 5 yards (tackle by Bernard Pollard),1.220,2.190
3,4:52,1,10,CHI 49,7,20,Rex Grossman pass incomplete short left intended for Garrett Wolfe is intercepted by Napoleon Harris at CHI-49 and returned for 4 yards (tackle by Ruben Brown),2.190,-2.590
3,4:44,1,10,CHI 45,7,20,Damon Huard pass complete short right to Jeff Webb for 10 yards (tackle by Charles Tillman),2.590,3.250
3,4:12,1,10,CHI 35,7,20,Larry Johnson right guard for 1 yard (tackle by Tommie Harris and Lance Briggs),3.250,2.840
3,3:40,2,9,CHI 34,7,20,Larry Johnson left end for 7 yards (tackle by Tommie Harris),2.840,3.070
3,3:16,3,2,CHI 27,7,20,Damon Huard pass incomplete short right intended for Jeff Webb (defended by Charles Tillman),3.070,1.800
,,,,,,,"KAN challenged the pass completion ruling, and the play was upheld.",,
3,3:12,4,2,CHI 27,10,20,Dave Rayner 45 yard field goal good,1.800,3.000
3,,,,KAN 30,10,20,"Dave Rayner kicks off 65 yards, returned by Devin Hester for 95 yards. Penalty on Rod Wilson: Offensive Holding, 10 yards",0.000,-0.280
3,2:49,1,10,CHI 14,10,20,Cedric Benson right tackle for 13 yards (tackle by Bernard Pollard),-0.280,0.740
3,2:33,1,10,CHI 27,10,20,Cedric Benson left end for 2 yards (tackle by Donnie Edwards),0.740,0.470
3,1:56,2,8,CHI 29,10,20,Rex Grossman pass complete short right to Bernard Berrian for 10 yards (tackle by Ty Law),0.470,1.530
3,1:29,1,10,CHI 39,10,20,Rex Grossman pass incomplete short left intended for Bernard Berrian,1.530,0.990
3,1:25,2,10,CHI 39,10,20,Cedric Benson left guard for 6 yards (tackle by Tamba Hali and Napoleon Harris),0.990,1.090
3,0:45,3,4,CHI 45,10,20,Rex Grossman sacked by Napoleon Harris for -10 yards,1.090,-1.040
3,0:28,4,14,CHI 35,10,20,"Dirk Johnson punts 60 yards, returned by Eddie Drummond for 22 yards (tackle by Dirk Johnson)",-1.040,-0.740
3,0:12,1,10,KAN 27,10,20,Damon Huard pass complete short left to Dwayne Bowe for 6 yards (tackle by Nathan Vasher),0.740,1.010
Quarter,Time,Down,ToGo,Location,KAN,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,KAN 33,10,20,Larry Johnson right guard for 2 yards (tackle by Lance Briggs),1.010,0.560
4,14:28,3,2,KAN 35,10,20,Michael Bennett left end for 4 yards (tackle by Danieal Manning),0.560,1.530
4,14:00,1,10,KAN 39,10,20,Damon Huard pass incomplete short middle intended for Michael Bennett,1.530,0.990
4,13:56,2,10,KAN 39,10,20,Damon Huard pass complete short left to Larry Johnson for 15 yards (tackle by Lance Briggs),0.990,2.520
4,13:24,1,10,CHI 46,10,20,"Damon Huard pass complete short right to Kris Wilson for 6 yards (tackle by Charles Tillman). Penalty on Mark Anderson: Defensive Offside, 5 yards (no play)",2.520,3.250
4,12:53,1,5,CHI 41,10,20,Damon Huard pass incomplete deep left intended for Dwayne Bowe,3.250,2.650
4,12:47,2,5,CHI 41,10,20,Damon Huard pass incomplete short right intended for Kris Wilson,2.650,1.950
4,12:44,3,5,CHI 41,10,20,Damon Huard pass complete short right to Larry Johnson for 6 yards (tackle by Hunter Hillenmeyer),1.950,3.250
4,12:18,1,10,CHI 35,10,20,"Damon Huard pass complete deep right to Dwayne Bowe for 35 yards. Penalty on KAN: Illegal Shift, 5 yards (no play)",3.250,2.920
4,12:08,1,15,CHI 40,10,20,Damon Huard pass complete short left to Jeff Webb for 6 yards (tackle by Danieal Manning),2.920,2.840
4,11:33,,,,10,20,Timeout #1 by Chicago Bears,0.000,2.840
4,11:33,2,9,CHI 34,10,20,Michael Bennett left guard for -1 yards (tackle by Brian Urlacher),2.840,2.010
4,10:54,3,10,CHI 35,10,20,Michael Bennett right end for 5 yards (tackle by Brian Urlacher),2.010,1.450
4,10:11,4,5,CHI 30,10,20,"Dave Rayner 48 yard field goal no good, blocked by Israel Idonije",1.450,-1.470
4,10:01,1,10,CHI 38,10,20,Cedric Benson right guard for 2 yards (tackle by Jarrad Page),1.470,1.190
4,9:30,2,8,CHI 40,10,20,Rex Grossman pass incomplete deep left intended for Muhsin Muhammad (defended by Patrick Surtain),1.190,0.500
4,9:24,3,8,CHI 40,10,20,Rex Grossman pass incomplete short right intended for Rashied Davis is intercepted by Donnie Edwards at CHI-43 and returned for 18 yards,0.500,-3.910
4,9:15,1,10,CHI 25,10,20,Larry Johnson left end for 2 yards (tackle by Adewale Ogunleye),3.910,3.630
4,8:39,2,8,CHI 23,10,20,Damon Huard pass complete short right to Samie Parker for 7 yards (tackle by Ricky Manning),3.630,4.060
4,7:57,3,1,CHI 16,10,20,Damon Huard pass incomplete deep right intended for Samie Parker is intercepted by Danieal Manning at CHI-28 and returned for 33 yards (tackle by Kyle Turley),4.060,-0.810
4,7:47,1,10,CHI 28,10,20,Cedric Benson right guard for 13 yards (tackle by Ty Law),0.810,1.660
4,7:05,1,10,CHI 41,10,20,Cedric Benson right end for -2 yards (tackle by Donnie Edwards),1.660,0.850
4,6:28,2,12,CHI 39,10,20,"Rex Grossman pass incomplete short right intended for Jason McKie. Penalty on Ruben Brown: Offensive Holding, 10 yards (no play)",0.850,-0.500
4,6:23,2,22,CHI 29,10,20,Rex Grossman pass complete short right to Bernard Berrian for 11 yards. Penalty on Tamba Hali: Defensive Offside (Declined),-0.500,0.300
4,5:59,3,11,CHI 40,10,20,Rex Grossman pass complete short left to Rashied Davis for 2 yards (tackle by Benny Sapp),0.300,-0.590
4,5:22,4,9,CHI 42,10,20,Robbie Gould punts 25 yards,-0.590,-1.140
4,5:14,1,10,KAN 33,10,20,Damon Huard sacked by Brian Urlacher for -5 yards,1.140,-0.080
4,4:51,2,15,KAN 28,10,20,Damon Huard pass complete short right to Tony Gonzalez for 5 yards (tackle by Adam Archuleta),-0.080,-0.100
4,4:46,3,10,KAN 33,10,20,"Damon Huard pass complete short middle to Tony Gonzalez for 3 yards (tackle by Danieal Manning). Penalty on Will Svitek: False Start, 5 yards (no play)",-0.100,-0.760
4,4:46,3,15,KAN 28,10,20,Damon Huard sacked by Tommie Harris for -8 yards,-0.760,-2.030
4,4:17,4,23,KAN 20,10,20,"Dustin Colquitt punts 52 yards, returned by Devin Hester for 24 yards (tackle by Napoleon Harris)",-2.030,-2.390
4,4:00,1,10,KAN 48,10,20,Cedric Benson left tackle for 3 yards (tackle by Tamba Hali),2.390,2.250
4,3:53,,,,10,20,Timeout #2 by Kansas City Chiefs,0.000,2.250
4,3:53,2,7,KAN 45,10,20,Cedric Benson right end for -1 yards (tackle by Tamba Hali),2.250,1.420
4,3:48,,,,10,20,Timeout #3 by Kansas City Chiefs,0.000,1.420
4,3:48,3,8,KAN 46,10,20,Rex Grossman pass incomplete short left intended for Muhsin Muhammad,1.420,0.200
4,3:42,4,8,KAN 46,10,20,"Robbie Gould punts 28 yards, fair catch by Eddie Drummond",0.200,-0.150
4,3:35,1,10,KAN 19,10,20,"Brodie Croyle sacked by Tommie Harris for -3 yards. Penalty on Tommie Harris: Face Mask (15 Yards), 15 yards",0.150,1.000
4,3:31,1,10,KAN 31,10,20,Michael Bennett right guard for -2 yards (tackle by Mark Anderson),1.000,0.190
4,3:11,2,12,KAN 29,10,20,Brodie Croyle pass complete short left to Samie Parker for 10 yards,0.190,0.830
4,3:10,3,2,KAN 39,10,20,Brodie Croyle pass complete deep right to Jeff Webb for 32 yards (tackle by Charles Tillman),0.830,3.640
4,2:48,1,10,CHI 29,10,20,Brodie Croyle pass complete short middle to Michael Bennett for 5 yards (tackle by Brian Urlacher),3.640,3.640
4,2:30,2,7,CHI 24,10,20,"Brodie Croyle pass complete short middle to Michael Bennett for 8 yards (tackle by Charles Tillman). Michael Bennett fumbles (forced by Charles Tillman), recovered by Lance Briggs at CHI-16 (tackle by Michael Bennett)",3.640,0.140
4,2:21,1,10,CHI 16,10,20,Cedric Benson right guard for 12 yards (tackle by Bernard Pollard),-0.140,0.810
4,2:00,1,10,CHI 28,10,20,Rex Grossman kneels for -1 yards,0.810,0.130
4,1:23,2,11,CHI 27,10,20,Rex Grossman kneels for -1 yards,0.130,-0.690
4,0:40,3,12,CHI 26,10,20,Rex Grossman kneels for -1 yards,-0.690,-1.700
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
