Unnamed: 0,KAN,CHI
First Downs,13,18
Rush-Yds-TDs,24-70-0,29-107-0
Cmp-Att-Yd-TD-INT,23-32-230-1-1,20-34-160-1-2
Sacked-Yards,4-19,3-28
Net Pass Yards,211,132
Total Yards,281,239
Fumbles-Lost,2-1,2-1
Turnovers,2,3
Penalties-Yards,9-60,5-55
Third Down Conv.,5-16,3-13
Fourth Down Conv.,0-0,0-0
Time of Possession,28:47,31:13
